地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,43017.48666380495,55121.74349881657,0,2,[]
地块Block_1,4690.534587467613,1226581.931097247,2,3,[]
地块Block_2,1310.6730409288673,2743.469127301293,0,0,[]
地块Block_3,2497.980054377968,340415.44355604565,2,2,[]
地块Block_4,1336.827347131143,5852.4506674354925,0,0,[]
地块Block_5,172.41761368909357,1829.1012813461948,0,0,[]
地块Block_6,150.12667237831806,1280.465865952647,0,0,[]
地块Block_7,1908.7700849962937,216122.583762097,1,1,[]
地块Block_8,1346.3998241292543,2188.4505467761514,0,0,[]
地块Block_9,2340.6090583348573,10536.044338658452,0,2,[]
地块Block_10,2002.8794388619551,29043.98746597199,0,0,[]
地块Block_11,1153.6554298215005,17226.046155008895,0,0,[]
地块Block_12,1881.4884964350706,10880.003916402491,0,2,[]
地块Block_13,116.57338385657383,837.091676474423,0,0,[]
地块Block_14,626.4290748855585,5547.926910838714,0,0,[]
