地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,110702.753184029,139760.20037146265,10,11,[]
地块Block_1,1916.415344327118,209835.72418548595,8,53,[]
地块Block_2,2886.0207570406333,379849.4643720543,29,93,[]
地块Block_3,3193.9027975391014,363699.99421848514,15,91,[]
地块Block_4,1204.2001624288473,86468.03756113845,2,13,[]
地块Block_5,1573.72418351889,138134.0594019978,4,32,[]
地块Block_6,448.59425803075806,12427.795889914327,0,5,[]
地块Block_7,1031.4374779958016,51358.809530845276,2,7,[]
地块Block_8,1348.0046581502704,108616.51079601435,5,15,[]
地块Block_9,1256.7725718924412,97219.5758612418,0,7,[]
地块Block_10,2644.430832150002,475960.32043842156,9,26,[]
地块Block_11,2113.1627801643226,260059.1098038353,6,33,[]
地块Block_12,1085.2586989854863,60562.44648235524,1,6,[]
地块Block_13,1705.4459951745348,158771.5450657986,3,15,[]
地块Block_14,2054.227328826277,233152.15717585495,3,4,[]
地块Block_15,2103.464849153243,237925.51540519032,22,60,[]
地块Block_16,2023.2981750585277,192860.31858679408,0,1,[]
地块Block_17,1490.4027395780547,103455.36185805048,2,30,[]
地块Block_18,3232.304661747205,468965.0539372362,3,7,[]
地块Block_19,974.1723962685675,51453.10795784587,5,8,[]
地块Block_20,987.796796133113,51668.76803203953,0,0,[]
地块Block_21,1141.9484487944146,74532.36663521468,0,0,[]
地块Block_22,1841.6674867645847,178353.67022354098,2,25,[]
地块Block_23,1252.5247730182946,14465.818003964183,0,0,[]
地块Block_24,1173.5681181378754,80889.6257384729,3,6,[]
地块Block_25,1327.0039682293734,107819.91346501365,1,10,[]
地块Block_26,870.3508548917555,9647.806804975715,0,0,[]
地块Block_27,137.25340981566393,871.5154452907962,1,1,[]
地块Block_28,606.1914347643493,22775.81606245572,0,2,[]
地块Block_29,1708.4394849152072,147462.58199748726,1,2,[]
地块Block_30,583.4047645502684,16332.629290120633,1,1,[]
地块Block_31,795.9004589565083,37315.24474503785,6,11,[]
地块Block_32,1140.0153998470068,69045.91078855851,2,3,[]
地块Block_33,366.11187586594133,7940.925678293761,0,0,[]
地块Block_34,557.2324294520153,11526.823962647672,1,3,[]
地块Block_35,1252.1687753666092,8221.896918774039,0,1,[]
地块Block_36,1123.4225673736075,5374.398880607323,0,1,[]
地块Block_37,1114.0083432178392,74495.88604193246,7,14,[]
地块Block_38,96.24803552526734,690.1676171946706,1,3,[]
地块Block_39,1028.7289323338707,4721.775445461804,0,1,[]
地块Block_40,351.18705815428234,1900.4845039694455,0,0,[]
地块Block_41,2309.947782244895,127752.68583443895,2,31,[]
地块Block_42,2025.2114663520317,156717.9626600599,18,34,[]
地块Block_43,593.2303961279106,21732.63152761762,2,11,[]
地块Block_44,1033.8870769880882,50072.65578317447,2,19,[]
地块Block_45,392.40302597359795,1176.2473414973015,0,0,[]
地块Block_46,427.19289408640446,11249.305290461609,1,6,[]
地块Block_47,432.4314340046266,11452.174403892672,4,5,[]
地块Block_48,516.7633475842972,15498.738759993097,0,3,[]
地块Block_49,637.5100713456368,21940.41276320571,0,0,[]
地块Block_50,269.38918238170294,1048.537724127552,0,0,[]
地块Block_51,823.2117072597827,37934.874524428065,3,7,[]
地块Block_52,354.9331319410764,1001.4717886724619,0,0,[]
地块Block_53,329.6159760291928,6652.248307126299,0,1,[]
地块Block_54,397.69045817248855,9564.362997621356,1,3,[]
地块Block_55,283.8073096881509,4976.122367999626,2,4,[]
地块Block_56,2383.212421502232,200797.58218308302,23,39,[]
地块Block_57,1439.5937558242376,116021.28002564653,4,8,[]
地块Block_58,1964.5338343776652,244023.30011536984,19,51,[]
地块Block_59,921.6694975776434,3952.4493644981967,0,2,[]
地块Block_60,1885.9500344838698,218276.80226708946,50,68,[]
地块Block_61,761.8410844575806,35792.80639253745,2,6,[]
地块Block_62,775.9918507917669,32963.00006792849,2,10,[]
地块Block_63,935.0499232461603,55364.65057234312,4,17,[]
地块Block_64,507.02101905260014,15856.200356660982,3,9,[]
地块Block_65,713.5421817357083,31290.963278587536,2,8,[]
地块Block_66,541.295623257901,2213.6402343736504,0,0,[]
地块Block_67,990.8907249436422,53848.57590911596,4,10,[]
地块Block_68,980.5997386651122,46078.079786327886,0,13,[]
地块Block_69,730.3213986383687,31391.509799069074,1,8,[]
地块Block_70,939.1903097544051,54787.56233405161,0,20,[]
地块Block_71,614.0238560580802,21607.564903637096,1,4,[]
地块Block_72,1226.0796102122194,6208.715286524101,0,0,[]
