地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,36473.84993677308,47279.42833612712,2,2,[]
地块Block_1,2311.7214205549576,12784.653167778068,0,1,[]
地块Block_2,1135.2809387619022,7786.316967408489,0,0,[]
地块Block_3,869.0371116022873,32203.51564945219,6,6,[]
地块Block_4,1102.0074630250933,8654.831127168545,0,0,[]
地块Block_5,1854.4284765817404,167376.1862965287,7,11,[]
地块Block_6,2556.1387590949353,18757.232056046356,0,1,[]
地块Block_7,405.2006107362031,6750.909241216733,0,0,[]
地块Block_8,487.07670850762366,3023.2444794262105,0,0,[]
地块Block_9,689.6075020075746,4831.566528566105,0,0,[]
地块Block_10,1168.1182009831923,1488.473759352148,1,1,[]
地块Block_11,4839.7125135451215,6194.359568567741,3,3,[]
地块Block_12,499.6301388702658,5931.440473858716,0,0,[]
地块Block_13,2488.7117577993845,3216.0877603508025,0,0,[]
地块Block_14,103.84466549823048,851.6280985405424,0,0,[]
