地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,67070.03094216014,85045.99260644215,2,2,[]
地块Block_1,2850.8378139614656,537952.4950754563,2,11,[]
地块Block_2,384.2210121247246,3872.0707600252804,0,0,[]
地块Block_3,2197.4514556453864,281188.3432333457,2,13,[]
地块Block_4,1671.8834708099819,65758.79316822927,1,10,[]
地块Block_5,109.07254860598657,795.1119497192578,0,0,[]
地块Block_6,1589.6318182263985,50810.545948384184,0,9,[]
地块Block_7,1225.0026980812554,28520.015167915313,0,6,[]
地块Block_8,313.4838932224253,5670.37592292375,0,1,[]
地块Block_9,1918.3284596219446,20169.80417607822,0,1,[]
地块Block_10,348.43450072027986,2855.48358649931,0,0,[]
地块Block_11,1664.5704916871398,133219.65645761575,2,5,[]
地块Block_12,2999.8717646273217,406177.90810599684,0,2,[]
地块Block_13,2521.454955783377,25324.760595145995,0,0,[]
地块Block_14,1071.6217659627087,11037.497355238169,0,0,[]
地块Block_15,3164.9651440182865,447057.30194713053,0,0,[]
地块Block_16,106.79323101679381,686.888309696934,0,0,[]
地块Block_17,464.00552438302367,9450.304047770196,0,0,[]
地块Block_18,93.16245295748915,684.2589413694171,0,0,[]
地块Block_19,1178.913334774203,82225.17944366534,0,0,[]
地块Block_20,1376.46373279464,59911.31887653705,0,0,[]
地块Block_21,93.97808436054922,696.9202743812127,0,0,[]
地块Block_22,98.64115071423646,767.1284349990025,0,0,[]
地块Block_23,313.16750082903627,6096.77546868483,0,1,[]
地块Block_24,124.71087463649637,1001.135498922798,0,0,[]
地块Block_25,167.455586205815,2210.8746169573174,0,0,[]
地块Block_26,2652.8975751950584,133887.92545156763,1,11,[]
地块Block_27,489.4520208661471,14503.905196625421,0,0,[]
地块Block_28,1876.5824288462575,45816.26320936496,0,10,[]
地块Block_29,171.72326518280695,2027.542932723174,0,0,[]
地块Block_30,825.6466803146418,28924.575104736705,0,5,[]
地块Block_31,444.51997079010124,7482.866180550796,0,2,[]
地块Block_32,291.70219274076817,4510.0874311639,0,1,[]
地块Block_33,233.4290101770151,3097.6846756627224,0,1,[]
地块Block_34,184.51993629798557,2179.6072134086535,0,1,[]
地块Block_35,93.78722172836981,692.4420184582146,0,0,[]
地块Block_36,244.59387033569922,1982.2406898442925,0,0,[]
地块Block_37,180.31905335495586,2018.71976370944,0,1,[]
地块Block_38,1004.5635091076825,8118.537499119586,0,0,[]
地块Block_39,2463.890520149958,342298.10883509344,0,0,[]
地块Block_40,1700.349894434566,97115.92207399053,0,0,[]
地块Block_41,1382.2626528590347,10821.033687782769,0,0,[]
地块Block_42,677.0775406980163,2803.455444787596,0,0,[]
地块Block_43,296.7370224106221,1223.6110589037717,0,0,[]
