地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,54944.73483616575,70698.27551634493,0,0,[]
地块Block_1,846.390904471651,4954.5912703017,0,0,[]
地块Block_2,2006.7067798851542,245875.878912588,0,0,[]
地块Block_3,2158.2574143037286,283369.6219679888,1,1,[]
地块Block_4,1049.2560429058406,4811.435407754088,0,0,[]
地块Block_5,2283.543892469485,311632.46435342863,1,1,[]
地块Block_6,978.3364364569792,2675.665704554631,0,0,[]
地块Block_7,2431.6659942702295,356380.57689806574,0,0,[]
地块Block_8,2744.8914885331687,473945.8216071805,0,0,[]
地块Block_9,2090.9054846247154,6175.20624473691,0,0,[]
地块Block_10,2023.237874578981,254743.74542330395,0,0,[]
地块Block_11,924.4960604821562,3169.4795214819223,0,0,[]
地块Block_12,403.71740743119943,12827.982915198876,0,0,[]
地块Block_13,2598.7034953475018,393993.6505432428,0,0,[]
地块Block_14,2092.805333942829,270982.65021692484,1,1,[]
地块Block_15,1167.4185388806268,3221.716117786647,0,0,[]
地块Block_16,2099.2471645448836,263331.5953227175,0,0,[]
地块Block_17,491.2786811727806,2665.93749336966,0,0,[]
地块Block_18,764.2499374864292,4712.3948835876945,0,0,[]
地块Block_19,2201.311465999881,280369.3038202113,0,0,[]
地块Block_20,878.0626851874557,5254.260993670858,0,0,[]
地块Block_21,3987.12933867466,529599.2467995555,2,3,[]
地块Block_22,3172.2214723661327,461015.7325849059,1,1,[]
地块Block_23,807.3068316234632,3302.482434887208,0,0,[]
