地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,44641.53713520971,56112.0600008196,3,4,[]
地块Block_1,2955.9414481951394,252868.4780158926,6,44,[]
地块Block_2,2928.70585174322,421673.85457470844,10,51,[]
地块Block_3,995.339907258998,50511.63585412655,4,15,[]
地块Block_4,1244.8402700347701,92625.74906306076,3,8,[]
地块Block_5,570.7342322789807,16842.94568588175,0,0,[]
地块Block_6,219.23035886659426,2001.5116074910895,0,0,[]
地块Block_7,255.7864357167835,1399.2504840639663,0,0,[]
地块Block_8,256.8200099576633,690.1923355725005,0,0,[]
地块Block_9,266.84454989031826,1325.5384252732922,0,0,[]
地块Block_10,1101.7702927551436,45682.358981245874,3,13,[]
地块Block_11,1436.7570824158472,117910.64295667634,15,37,[]
地块Block_12,625.5299238678635,15516.450756453847,0,0,[]
地块Block_13,783.5779820019296,38064.702893397836,1,6,[]
地块Block_14,2398.2743945408442,261470.2336405391,17,50,[]
地块Block_15,682.2038041840148,5578.901522376337,0,0,[]
地块Block_16,825.2795738601827,5521.06209486747,1,1,[]
地块Block_17,436.6955035359617,5104.894299241486,0,1,[]
地块Block_18,2027.421269079462,17636.87498066079,0,1,[]
地块Block_19,147.90908864316904,749.4118270580734,0,0,[]
