地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,58128.26376920857,73664.4871106861,1,1,[]
地块Block_1,2039.886196925115,248235.98505479,1,18,[]
地块Block_2,683.7863779392899,3812.641823002901,0,0,[]
地块Block_3,2303.508216089103,15774.789232699004,0,0,[]
地块Block_4,2275.6271410972636,309108.25558034546,0,20,[]
地块Block_5,1355.797121581869,111902.93457350506,0,10,[]
地块Block_6,4112.292680436535,121700.12951559767,0,11,[]
地块Block_7,3269.4684063475333,433711.55432903196,0,110,[]
地块Block_8,2675.405706762891,273831.4861960134,3,24,[]
地块Block_9,1054.9485854647219,66280.25831279925,0,13,[]
地块Block_10,878.766178015664,47478.279088879026,1,1,[]
地块Block_11,100.7340713741141,767.241632636572,0,0,[]
地块Block_12,1547.5754789387158,137157.23810047196,0,0,[]
地块Block_13,2217.9820016517842,143355.83144820045,0,0,[]
地块Block_14,779.1757584336126,6785.016211546874,0,0,[]
地块Block_15,1257.7336671357873,87517.52891181261,0,0,[]
地块Block_16,1773.2499595211048,168330.82486505999,2,15,[]
地块Block_17,153.50742438805446,963.570233194808,0,0,[]
地块Block_18,1456.9654264869912,71122.45045835823,0,0,[]
地块Block_19,1075.4693542701702,71726.73567588374,0,10,[]
地块Block_20,1083.3406789420565,72738.21795298049,0,0,[]
地块Block_21,1647.2630853112778,154402.02052797837,0,14,[]
地块Block_22,2055.506882401522,254051.8903330943,0,0,[]
地块Block_23,2134.374796607574,14034.547149570331,0,0,[]
