地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,86199.87671317025,184949.83253749122,1,1,[]
地块Block_1,2340.6090583348573,10536.04433865844,0,2,[]
地块Block_2,4690.534587468207,1226581.9310972842,2,3,[]
地块Block_3,3255.8314356518945,22018.55244312968,0,0,[]
地块Block_4,3233.3118288328183,22447.233861181765,0,0,[]
地块Block_5,2111.034908978304,11087.388815784952,0,1,[]
地块Block_6,6119.631822586239,728615.0292739138,0,3,[]
地块Block_7,2015.5434310417702,252641.1914867758,0,0,[]
地块Block_8,1249.2883532855476,92763.07959687548,0,0,[]
地块Block_9,1144.103783926617,9578.430874337977,0,1,[]
地块Block_10,3723.8524818041456,195802.42887541783,3,3,[]
地块Block_11,584.131235947668,1420.2453655771146,0,0,[]
地块Block_12,1318.0867262353026,4521.791488919516,0,0,[]
地块Block_13,2228.0954894533575,173011.07298010422,0,0,[]
地块Block_14,146.37764410291027,1105.9476835765454,0,0,[]
地块Block_15,150.46770983029282,1187.914941568499,0,0,[]
地块Block_16,1346.3998241276663,2188.45054676919,0,0,[]
地块Block_17,1150.9619450438124,73990.99146619621,0,1,[]
地块Block_18,388.5288191286624,1300.7214601550227,0,0,[]
地块Block_19,431.23070268132625,1249.648936594856,0,0,[]
地块Block_20,1115.6469151633949,4449.884606742663,0,0,[]
地块Block_21,1209.8116067362712,4643.600508149921,0,0,[]
地块Block_22,1212.120107334722,6131.076807466394,0,0,[]
地块Block_23,1106.5545485042198,5949.263303174521,0,0,[]
地块Block_24,1209.4944445744168,6287.227822852183,0,0,[]
地块Block_25,1091.8311495430723,3900.6887642370575,0,0,[]
地块Block_26,3521.0875214377047,564642.7966269229,0,4,[]
地块Block_27,979.6160952618792,58461.68275815278,0,0,[]
地块Block_28,283.1355928880234,1622.3494404309556,0,0,[]
地块Block_29,294.72424526660967,1930.8613999312488,0,0,[]
地块Block_30,1881.4884964350706,10880.003916402491,0,2,[]
地块Block_31,1223.922542437986,6945.581663362018,0,0,[]
地块Block_32,650.0182022042876,4503.107172011091,0,0,[]
地块Block_33,626.4290748855585,5547.926910838717,0,0,[]
地块Block_34,625.8536052503357,19028.41051436303,0,0,[]
地块Block_35,1216.603528723103,90166.4601956666,0,0,[]
