地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,45463.09268705759,57280.70085325095,0,0,[]
地块Block_1,4497.647245809889,56994.83313257794,0,1,[]
地块Block_2,2698.124206865297,390814.59060736955,0,1,[]
地块Block_3,346.48178161738906,7458.550599669424,0,0,[]
地块Block_4,411.4968683492963,10434.54509565738,0,0,[]
地块Block_5,634.2259096559211,23095.840993580478,0,1,[]
地块Block_6,1054.047266552357,59614.16194560859,0,0,[]
地块Block_7,682.371645439776,18093.116960942323,0,0,[]
地块Block_8,836.127893494661,23283.976775425584,0,0,[]
地块Block_9,839.810066273835,32665.734974242783,0,0,[]
地块Block_10,879.8599778019191,42833.638177097506,0,0,[]
地块Block_11,2063.595728508247,171582.42455774455,1,1,[]
地块Block_12,1692.9824272421783,176711.7987088154,0,0,[]
地块Block_13,1309.6702818576714,106250.90411670401,0,0,[]
地块Block_14,1846.2807917606933,170685.26947824698,0,0,[]
地块Block_15,594.689651550309,15918.140145075242,0,0,[]
地块Block_16,909.1421818487532,24425.635822026048,0,0,[]
地块Block_17,3266.0618033608544,368654.80247909314,0,0,[]
地块Block_18,1711.4007427871568,19447.50504536677,0,0,[]
地块Block_19,857.1362070841187,10450.985069413122,0,0,[]
地块Block_20,1008.7032739005901,58147.67975777658,0,0,[]
地块Block_21,837.7536863485306,43563.099531581865,0,0,[]
地块Block_22,562.6259683957844,16712.614027201213,0,1,[]
地块Block_23,1113.7205772180437,73448.34864244134,0,0,[]
地块Block_24,1349.4663232792168,112958.12249798786,0,0,[]
地块Block_25,1381.9106246423084,118171.60760774909,0,0,[]
