地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,145010.57670702957,185812.80797589078,4,4,[]
地块Block_1,891.0957119540833,49178.95625244475,0,14,[]
地块Block_2,944.2787166195278,2246.0534987989568,0,0,[]
地块Block_3,1215.9834682700975,7001.485992941358,0,0,[]
地块Block_4,1215.200034916803,5068.984784376782,0,0,[]
地块Block_5,1913.7220806424903,211381.72644159512,1,36,[]
地块Block_6,1101.0577400556012,5739.48217681387,0,0,[]
地块Block_7,1850.9967488610907,199699.41941513336,0,14,[]
地块Block_8,1553.7471795222245,104212.6781116946,0,0,[]
地块Block_9,1252.9667818046703,10494.075714733593,0,0,[]
地块Block_10,1967.981576729714,226577.97754358107,1,7,[]
地块Block_11,107.63258801733957,643.3822270444614,0,1,[]
地块Block_12,1234.4638511501198,17899.616201525114,0,1,[]
地块Block_13,1288.9212835990554,97961.04613378811,0,6,[]
地块Block_14,798.3672593026279,6803.793298965833,0,0,[]
地块Block_15,1509.0057246492102,139234.40018273942,1,29,[]
地块Block_16,2874.9852675283137,513071.4704132181,9,39,[]
地块Block_17,1424.5723298364155,15684.717775039151,0,0,[]
地块Block_18,1858.8011711098284,9825.973568316245,0,0,[]
地块Block_19,1888.2816550636899,227103.9967502801,1,33,[]
地块Block_20,1013.5230547028348,8580.872154974553,0,0,[]
地块Block_21,1619.5087670396729,160562.08449823834,0,26,[]
地块Block_22,2072.888105700278,249939.72384022202,0,23,[]
地块Block_23,2270.4541930925648,29059.415530446793,0,1,[]
地块Block_24,2039.0904249050473,172674.17545737216,2,9,[]
地块Block_25,1500.3452904719077,135449.71815785818,1,8,[]
地块Block_26,688.5605836240857,4152.493463298756,0,0,[]
地块Block_27,1862.002488387548,10459.98112893632,0,0,[]
地块Block_28,1827.2611212549737,13518.63428361235,0,0,[]
地块Block_29,441.00631731120035,7572.151709525036,1,3,[]
地块Block_30,116.78682665686526,763.8087830955235,0,0,[]
地块Block_31,1410.9074266086075,11892.074898653944,0,0,[]
地块Block_32,741.5329800637664,4096.67694237727,0,0,[]
地块Block_33,1896.2538900079405,150370.579629065,1,18,[]
地块Block_34,724.706734099385,5061.9929628330165,0,0,[]
地块Block_35,1496.0635958941625,137484.309104685,0,12,[]
地块Block_36,867.0745380742436,8059.901512189636,0,0,[]
地块Block_37,710.9040584362801,3372.481304624574,0,0,[]
地块Block_38,1524.0365340924188,143821.47015365356,0,21,[]
