地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,719.6498941544678,939.7584241043994,0,0,[]
地块Block_1,39210.99696346945,50301.48162148383,6,6,[]
地块Block_2,354.8303359256582,7516.079910102331,0,0,[]
地块Block_3,3471.891859356527,32029.873121267232,0,0,[]
地块Block_4,3289.5335986313003,15381.200589672191,0,0,[]
地块Block_5,1382.2496144870365,7821.83636016988,0,0,[]
地块Block_6,1590.51752078002,7212.494504032276,0,0,[]
地块Block_7,363.6393296453573,2040.4146697193044,0,0,[]
地块Block_8,1578.1401245910538,10447.293846872892,0,0,[]
地块Block_9,162.90312783150208,841.243366457967,0,0,[]
地块Block_10,287.9982380261989,5027.003425760972,0,0,[]
地块Block_11,248.14510219394757,981.4979523604009,0,0,[]
地块Block_12,147.909088643169,749.4118270580734,0,0,[]
地块Block_13,436.6955035359616,5104.894299241487,0,1,[]
地块Block_14,170.4302467669285,1590.7240872270045,1,1,[]
地块Block_15,298.56689689007555,4830.018650095143,1,1,[]
地块Block_16,655.3460817799452,25006.434684355976,1,1,[]
地块Block_17,18427.590971539397,23678.659593027984,0,0,[]
地块Block_18,1810.7177991919348,7130.87198557501,0,0,[]
地块Block_19,3223.254418963182,461590.1956328441,1,1,[]
地块Block_20,1732.9215017891704,15720.52212641798,0,0,[]
地块Block_21,1149.0107452350726,12298.151149643736,0,0,[]
地块Block_22,1095.5783532473215,1342.124811783513,0,0,[]
地块Block_23,449.5892002263929,12894.710683989566,0,5,[]
