地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,69894.55274245465,89908.27011688858,5,5,[]
地块Block_1,2199.737530616607,13452.181340194948,0,0,[]
地块Block_2,2207.36212473355,20186.92497733698,0,0,[]
地块Block_3,2187.130200094465,14914.376215656637,0,0,[]
地块Block_4,8194.615259273003,2075965.9335564196,25,25,[]
地块Block_5,2172.0338418162137,22393.55800065246,0,1,[]
地块Block_6,1727.9603037313334,173815.3659756371,1,1,[]
地块Block_7,696.9321382615381,6713.163016999225,0,0,[]
地块Block_8,3696.408407277881,648686.9374322642,6,29,[]
地块Block_9,278.086404984648,845.4523741223137,0,0,[]
地块Block_10,162.85426697504008,917.7447307393105,0,0,[]
地块Block_11,151.76323130185838,1008.8818406294813,0,0,[]
地块Block_12,704.9977171100942,31584.23417106306,0,0,[]
地块Block_13,922.732232047188,9047.89718710866,0,0,[]
地块Block_14,593.464563568784,1913.3371744463009,0,0,[]
地块Block_15,575.2922144682017,1525.8930684924844,0,0,[]
地块Block_16,1770.065810460267,17520.25726148065,0,0,[]
地块Block_17,2787.4140847360404,472266.6688205203,3,17,[]
地块Block_18,1056.2756979569979,46067.53028581642,1,1,[]
地块Block_19,900.1589847637231,33334.091468413855,1,1,[]
地块Block_20,598.4341677793204,3733.5511537079483,0,0,[]
地块Block_21,1603.2359949581241,108294.84020983441,0,0,[]
地块Block_22,1566.5133479285391,109658.00026537082,0,0,[]
地块Block_23,1651.2086579832255,159479.92265094924,0,6,[]
地块Block_24,839.2657217681043,33260.11824912826,1,1,[]
地块Block_25,2690.8657376712654,210398.34448825,1,1,[]
地块Block_26,851.7425378989598,4630.47329161772,0,0,[]
地块Block_27,905.1752290799044,43475.21702959544,1,1,[]
地块Block_28,1528.7802852652446,15824.402535399344,0,0,[]
地块Block_29,2372.4748371981013,324498.39567670925,1,1,[]
地块Block_30,358.07194071215,5874.849205695363,0,0,[]
地块Block_31,2754.8714636691257,3528.6263317703197,0,0,[]
地块Block_32,1350.1181816727246,62677.857466793714,1,1,[]
