地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,93448.70498541144,119253.09863427671,9,9,[]
地块Block_1,644.2698475573555,18859.74570633599,1,2,[]
地块Block_2,852.4901274337807,34359.930744432284,2,4,[]
地块Block_3,1563.675268036022,131221.58055570495,7,10,[]
地块Block_4,604.4821798328566,13242.279405243487,2,2,[]
地块Block_5,901.7489221969928,49763.910324944954,1,6,[]
地块Block_6,669.0315772734709,27243.210593322397,0,6,[]
地块Block_7,3855.3699871082295,89947.88486077657,4,5,[]
地块Block_8,2479.735427769271,42166.05742096919,0,0,[]
地块Block_9,2804.863788163901,130049.3959892395,8,21,[]
地块Block_10,1078.507751970976,71928.3272822065,0,15,[]
地块Block_11,1026.507108237904,69399.12433305536,0,13,[]
地块Block_12,776.0638495580066,32544.68115502733,0,6,[]
地块Block_13,3657.796192051211,93080.13527923751,4,8,[]
地块Block_14,396.3680124164058,7372.594949002185,0,1,[]
地块Block_15,360.23559572652505,7895.575199092001,0,1,[]
地块Block_16,829.8933771409866,30503.904867907604,1,3,[]
地块Block_17,360.100306921012,2039.111482526402,0,0,[]
地块Block_18,3842.168794788542,383538.8593729373,43,80,[]
地块Block_19,1152.7344030858753,82929.35638773897,0,16,[]
地块Block_20,248.1478088546714,1371.6938725280688,0,0,[]
地块Block_21,1545.687980400346,40447.473969637525,0,5,[]
地块Block_22,1001.0629061115584,4396.728003309311,0,0,[]
地块Block_23,2590.977942397619,8739.646390810834,0,0,[]
地块Block_24,862.2378562425482,5465.128585599995,0,0,[]
地块Block_25,1461.118407795332,22621.893158866846,0,0,[]
地块Block_26,1430.4441556987026,9706.324195223184,0,0,[]
地块Block_27,1041.8238724496337,66126.49463351202,2,13,[]
地块Block_28,538.2924689318567,3119.203686856363,1,1,[]
地块Block_29,926.4747805785223,48877.22749601483,7,10,[]
地块Block_30,2166.9268400800265,199750.41512240155,2,2,[]
地块Block_31,347.4998966976421,2209.749337365929,0,0,[]
地块Block_32,666.1101397819864,4396.919207848985,0,0,[]
地块Block_33,404.92556016849164,2206.8094233277243,0,0,[]
地块Block_34,752.1740051529965,29942.749585767688,0,6,[]
地块Block_35,432.53631055982737,11107.400985335067,0,2,[]
地块Block_36,733.1515550703447,24239.41738314491,1,2,[]
地块Block_37,820.8458173492917,37458.18881120481,2,5,[]
地块Block_38,281.0138698039125,1463.933957679841,0,0,[]
地块Block_39,491.73654099570166,14398.647301513205,1,3,[]
地块Block_40,270.5046021523066,1499.4441829371933,0,0,[]
地块Block_41,427.16894257540065,2644.478614618667,0,0,[]
地块Block_42,659.4458990031472,26400.27073104258,0,0,[]
地块Block_43,728.0385169564439,17032.762333975592,0,0,[]
地块Block_44,714.1409721357456,29638.243211513676,0,0,[]
地块Block_45,1245.6750650553072,69860.92658394316,4,20,[]
地块Block_46,703.0624591607605,15278.5061001548,2,3,[]
地块Block_47,718.9209066410143,4346.593361182928,0,0,[]
地块Block_48,888.5749513543026,48828.55906106663,3,5,[]
地块Block_49,669.8478126690987,27364.30390331997,0,1,[]
地块Block_50,2571.1142115719094,138587.6572752256,3,4,[]
地块Block_51,341.416342916626,6462.4174030421755,1,1,[]
地块Block_52,388.19096345930234,7676.843251260287,0,0,[]
地块Block_53,1134.3578936294814,53850.010778005206,2,10,[]
地块Block_54,955.4843796492172,57742.16386723095,0,12,[]
地块Block_55,365.1980724983681,2490.447606413232,0,0,[]
地块Block_56,806.7444593575098,37173.609300870135,0,4,[]
地块Block_57,549.8900163059216,18951.57422944548,1,2,[]
地块Block_58,770.1572692247674,33553.453009288074,1,3,[]
地块Block_59,465.28595338419893,10684.519317219776,0,0,[]
地块Block_60,180.15056489928946,916.0203968579557,0,0,[]
地块Block_61,756.8888133411924,34038.2232813955,1,1,[]
地块Block_62,293.48703263472817,3597.6241491414594,0,0,[]
地块Block_63,1086.53211566873,12708.938022253737,0,0,[]
地块Block_64,637.7263218944516,19172.007914937312,1,1,[]
