地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,131965.234209806,166776.73786069892,5,6,[]
地块Block_1,1330.8201355061433,110166.28369767424,1,7,[]
地块Block_2,748.4983101906496,7361.073408207021,0,0,[]
地块Block_3,1448.9047884293718,105078.03529542712,0,13,[]
地块Block_4,1289.4318286007397,102422.79343824761,3,4,[]
地块Block_5,1265.528962303985,15211.62914985082,0,0,[]
地块Block_6,5331.80519639545,710191.4151757155,4,11,[]
地块Block_7,3063.8139798055554,50514.48456055209,0,1,[]
地块Block_8,1177.1991553975884,70292.36980058944,1,4,[]
地块Block_9,1682.7533521628793,173909.59636637542,1,10,[]
地块Block_10,1418.3424067699552,123713.28955519309,0,9,[]
地块Block_11,1251.6595430735306,96656.71538489644,0,20,[]
地块Block_12,2510.4088553337388,372676.17918606277,3,17,[]
地块Block_13,820.4621527010128,8046.943177562327,0,0,[]
地块Block_14,957.8891806966839,26931.43776835593,1,1,[]
地块Block_15,1292.9945520052527,10252.92193314277,0,0,[]
地块Block_16,912.8691855053456,6577.541041506218,0,0,[]
地块Block_17,3045.7989159838653,305855.1637686793,4,19,[]
地块Block_18,970.6597646778787,7952.372686478229,0,0,[]
地块Block_19,882.0100792919587,10730.138448273245,0,0,[]
地块Block_20,6739.377258540777,368665.45509275846,1,1,[]
地块Block_21,2386.475483691636,288500.2449510156,2,4,[]
地块Block_22,1813.511403603328,18028.69858199096,0,0,[]
地块Block_23,1327.9256163311993,11407.22697107046,0,0,[]
地块Block_24,1890.3819850367681,180556.68705304989,0,0,[]
地块Block_25,735.6879800730708,11593.432447638488,0,0,[]
地块Block_26,308.1948454569042,4596.113752763646,0,0,[]
地块Block_27,1263.167213408727,5635.281262101389,0,0,[]
地块Block_28,421.14680352981435,4905.812615967029,1,1,[]
地块Block_29,511.7943350703206,3263.0536313007315,0,0,[]
地块Block_30,135.3054289311366,880.5223160445247,0,0,[]
地块Block_31,414.2113205521106,3146.6824906184265,0,0,[]
地块Block_32,1200.5882510962747,88974.80335094885,0,0,[]
地块Block_33,1335.6325806799487,10842.666791142949,0,0,[]
地块Block_34,795.3717911851525,36026.66269487794,0,0,[]
地块Block_35,1306.5992967924667,37463.445629677335,3,5,[]
地块Block_36,276.0565991475598,4558.583988807547,0,1,[]
地块Block_37,376.72643049711326,7729.409074768688,0,4,[]
地块Block_38,1133.0393480971693,8480.912379569449,0,1,[]
地块Block_39,708.4500833810448,6949.23396966425,0,0,[]
地块Block_40,1237.8127288274645,94934.00746609068,0,14,[]
地块Block_41,1286.6065900639928,103536.82427501772,0,2,[]
地块Block_42,714.7979249820758,7015.8136419539815,0,0,[]
地块Block_43,116.78682665686524,763.8087830955234,0,0,[]
地块Block_44,1601.6714319386183,159845.94862733388,2,12,[]
地块Block_45,1562.2263688536134,147599.28832015494,5,12,[]
地块Block_46,1446.2165269126233,130766.4376475021,0,2,[]
地块Block_47,760.5880406736019,10905.091979415649,0,0,[]
地块Block_48,1338.5008278504674,108229.54242130925,3,3,[]
地块Block_49,841.3393067385452,9964.2679059601,0,0,[]
地块Block_50,1257.0330561818741,12576.554462856053,0,0,[]
地块Block_51,1941.2853694797623,220618.53845287173,1,12,[]
地块Block_52,1268.437312153589,99658.23594661964,0,4,[]
地块Block_53,1747.2038717984872,15920.938776952436,0,0,[]
地块Block_54,2257.877787396188,32938.04559943715,0,1,[]
地块Block_55,3434.4993784430976,171021.04938393994,4,9,[]
地块Block_56,947.5051332919522,12987.463079499546,0,0,[]
地块Block_57,737.8132878953942,20918.455209547974,0,1,[]
地块Block_58,1226.150605070339,75170.30738840788,0,2,[]
地块Block_59,1498.3483452548235,137917.53582123655,0,10,[]
地块Block_60,1394.760090446885,117928.69658314789,1,4,[]
地块Block_61,867.6340597867533,6616.657800646124,0,1,[]
地块Block_62,128.23364672298317,956.7545974591137,0,1,[]
地块Block_63,1782.9157441656719,133072.33103196966,0,7,[]
地块Block_64,1413.7986536704807,119766.26345391979,0,13,[]
地块Block_65,887.9662600836521,8154.104610720453,0,0,[]
地块Block_66,2446.5632993718577,132167.67580159093,7,19,[]
地块Block_67,880.9644637188582,7503.315010524002,0,0,[]
地块Block_68,2185.0877727009206,147765.62705699913,1,10,[]
地块Block_69,1435.292355908758,128590.00259778817,1,23,[]
地块Block_70,1286.918374525114,102128.14536058865,0,13,[]
地块Block_71,769.2841273538419,8010.610133212434,0,0,[]
地块Block_72,1167.6949333039547,14832.323295526538,0,0,[]
地块Block_73,1909.8905251280485,220854.3491559743,1,3,[]
地块Block_74,597.120541441587,7118.591921367915,0,0,[]
地块Block_75,108.01997259154882,725.7771529534226,0,0,[]
地块Block_76,1293.9939506268065,102618.97508783391,1,2,[]
地块Block_77,441.0063173112003,7572.151709525039,1,3,[]
地块Block_78,747.5313187121905,5641.860970843616,0,0,[]
地块Block_79,826.5968818770477,7102.823777697107,0,2,[]
地块Block_80,679.7035941403835,7702.872698521839,0,1,[]
地块Block_81,1868.5705638971951,209116.28782602277,0,0,[]
地块Block_82,759.5545424103819,4571.409245337738,0,1,[]
地块Block_83,814.6390696075399,7367.536545849518,0,0,[]
地块Block_84,225.98231178532586,1172.9376154196966,0,0,[]
地块Block_85,722.4273618497998,840.3287561543259,0,0,[]
