地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,115508.63461047038,146877.1694771129,1,1,[]
地块Block_1,1237.1525168899354,88807.99550005427,0,13,[]
地块Block_2,2225.5983158533704,289878.2505415795,0,0,[]
地块Block_3,3658.1170707847796,724281.3966412394,7,12,[]
地块Block_4,2175.4153774877063,13917.471192745055,0,0,[]
地块Block_5,950.8178473752674,6488.208310036744,0,0,[]
地块Block_6,861.39571577841,4272.745289259757,0,0,[]
地块Block_7,848.9593252129176,4643.8639187877725,0,0,[]
地块Block_8,933.3814222840992,3255.5668204561925,0,0,[]
地块Block_9,316.9266017469202,1770.1854553630762,0,0,[]
地块Block_10,940.1528086802946,5338.422822172276,0,0,[]
地块Block_11,2202.038688696054,291786.5842849944,4,11,[]
地块Block_12,1155.9154581602809,6913.840872487239,0,0,[]
地块Block_13,1179.902759356502,6223.704583280722,0,0,[]
地块Block_14,1110.3798153923228,4415.968229539714,0,0,[]
地块Block_15,232.7099295084057,1601.3561066662646,0,0,[]
地块Block_16,1121.849008814456,8641.460086212814,0,0,[]
地块Block_17,1117.8455986248132,3801.3548797565472,0,0,[]
地块Block_18,1135.26319849845,7087.434125861848,0,0,[]
地块Block_19,3496.969509643433,716213.2884252291,1,1,[]
地块Block_20,1321.134460843281,12659.436461921594,0,0,[]
地块Block_21,2151.9862958532117,275170.20277578535,0,0,[]
地块Block_22,2012.8192156884988,15605.388034799898,0,0,[]
地块Block_23,3007.2074525228923,478820.8937735147,1,2,[]
地块Block_24,979.3449378596415,12523.18234330757,0,0,[]
地块Block_25,1875.7386966210163,212409.52008412124,0,0,[]
地块Block_26,1428.2063849926787,15926.741171621079,0,0,[]
地块Block_27,1051.1832961361383,7017.793009680489,0,0,[]
地块Block_28,1643.8219450337388,10729.29393430264,0,0,[]
地块Block_29,953.8343260184447,4544.791082464,0,0,[]
地块Block_30,933.4378315753895,7020.788393260594,0,0,[]
地块Block_31,926.9402417556364,7217.318038178538,0,0,[]
地块Block_32,896.4592619524238,6694.488524699787,0,0,[]
地块Block_33,1231.179305077159,12684.499819240198,0,0,[]
地块Block_34,1325.7349834927486,9916.29299359607,0,0,[]
地块Block_35,1828.2241135272873,131162.65886336556,1,3,[]
地块Block_36,1230.271939673495,8999.603513214099,0,0,[]
地块Block_37,2858.6837994363814,221130.85227525243,0,24,[]
地块Block_38,765.0306184274963,36295.53844386937,0,6,[]
地块Block_39,2164.9391026638787,274384.75270304614,2,54,[]
地块Block_40,792.3827611445865,4879.65393014582,0,0,[]
地块Block_41,1349.7267873973055,8532.936854635685,0,0,[]
地块Block_42,941.0955007987882,52278.33949207727,0,0,[]
地块Block_43,1039.7896268809704,65117.5216295016,0,0,[]
地块Block_44,930.926246322833,47576.346317395044,0,0,[]
地块Block_45,875.3971215347763,42925.382127436824,0,0,[]
地块Block_46,1025.6573306649116,61741.22257870637,0,0,[]
地块Block_47,1160.8420996012358,4410.662967128275,0,0,[]
地块Block_48,2471.733549740339,37774.807429053784,0,0,[]
地块Block_49,589.9128061115935,1991.885946719216,0,0,[]
地块Block_50,921.5821684422885,48513.36897760995,0,0,[]
地块Block_51,750.6320426860667,35612.53623831452,0,0,[]
地块Block_52,379.74937388270536,836.2223140809833,0,0,[]
地块Block_53,504.7006321362589,2456.566913243357,0,0,[]
地块Block_54,744.8971469245828,34103.41375710531,0,0,[]
地块Block_55,390.04475988216427,2176.874879407969,0,0,[]
地块Block_56,580.7913502829589,3468.953784755597,0,0,[]
地块Block_57,349.3937613370081,1360.4529300942459,0,0,[]
地块Block_58,585.1185180116529,3710.12525562476,0,0,[]
地块Block_59,1022.7501441239041,64560.35287994566,1,1,[]
地块Block_60,660.8169431112525,3907.4287920848733,0,0,[]
地块Block_61,834.4892662622105,38566.717807081615,0,0,[]
地块Block_62,870.984481493642,43313.52086459212,0,0,[]
地块Block_63,905.2504058995107,47873.42442305762,0,0,[]
地块Block_64,901.9470617031996,47732.25443283516,0,0,[]
