地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,36268.65974617289,46647.160867287144,3,3,[]
地块Block_1,2556.1387592947185,18757.232068137775,0,1,[]
地块Block_2,1854.4284765817404,167376.18629652876,7,11,[]
地块Block_3,405.20061073840014,6750.940818811066,0,0,[]
地块Block_4,2311.7214205549576,12784.653167778064,0,1,[]
地块Block_5,689.6075020075746,4831.566528566104,0,0,[]
地块Block_6,487.07670871620275,3023.244490175697,0,0,[]
地块Block_7,1674.3115936027054,62049.53326606415,0,0,[]
地块Block_8,183.01321005788415,2594.1124320097533,0,0,[]
地块Block_9,1941.0690325562973,15018.322813607185,0,0,[]
地块Block_10,747.4830692032762,5236.624744228851,0,0,[]
地块Block_11,646.5495736480976,878.8968727050834,0,0,[]
地块Block_12,2488.71175779937,3216.0877606296654,0,0,[]
地块Block_13,103.84466549823047,851.6280985405424,0,0,[]
地块Block_14,1770.247550066008,2198.2827382582163,0,0,[]
