地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,90727.463056699,117273.99245208054,3,3,[]
地块Block_1,2215.7400182980277,60693.53740194982,1,9,[]
地块Block_2,687.3866664005019,5359.112383306199,0,0,[]
地块Block_3,821.2467971452502,9893.715118918293,0,0,[]
地块Block_4,145.4467775609942,1279.7648971302226,0,0,[]
地块Block_5,319.69033298634764,5692.121653916181,0,1,[]
地块Block_6,275.5155203811999,3735.4596397463893,0,1,[]
地块Block_7,2449.848309563259,32093.917311225854,0,0,[]
地块Block_8,1936.0571064480284,235845.54547026797,4,6,[]
地块Block_9,1097.290881598404,18056.12764733379,0,0,[]
地块Block_10,3093.663516968888,534953.8261305562,0,0,[]
地块Block_11,3388.5562097373836,709085.5464835555,8,28,[]
地块Block_12,983.4544643128081,4290.997998165389,0,0,[]
地块Block_13,1068.9568613161173,10279.273379358598,0,0,[]
地块Block_14,1811.0063536601801,200050.45089602884,7,9,[]
地块Block_15,631.394258477152,16762.461042875668,0,2,[]
地块Block_16,236.53153711512192,2802.4506023546137,0,1,[]
地块Block_17,438.14711653874343,10105.949339503459,0,0,[]
地块Block_18,244.29493213255506,3400.0391960933134,0,1,[]
地块Block_19,187.93480117813982,1586.2055656351617,0,0,[]
地块Block_20,298.46748113263743,4482.998860358673,0,1,[]
地块Block_21,2528.694523832132,371659.40591207554,11,46,[]
地块Block_22,1620.0844321122393,24708.622955928065,0,0,[]
地块Block_23,2209.155014088011,298851.8031426885,13,28,[]
地块Block_24,1911.3331768757573,205396.78719333687,4,6,[]
地块Block_25,497.17588283659,2795.561966642704,0,0,[]
地块Block_26,3735.3383537344844,625498.2154777241,5,29,[]
地块Block_27,1024.8211998697795,7736.054302254328,0,0,[]
地块Block_28,2421.9719470840478,53205.54844987083,0,0,[]
地块Block_29,876.0546938549988,7065.474922537036,0,0,[]
地块Block_30,1522.6665550730297,134822.3646895913,1,1,[]
地块Block_31,1486.0673930089172,12720.737527664867,0,0,[]
地块Block_32,278.9575556975774,4840.815041702249,0,1,[]
地块Block_33,348.720826384937,6997.677480615208,0,2,[]
地块Block_34,235.6283190021257,3552.067233769403,0,1,[]
地块Block_35,222.37772062490035,2389.850884402688,0,0,[]
地块Block_36,749.0166242882065,7682.67411168911,0,0,[]
地块Block_37,313.0496875410866,4264.268053776487,0,1,[]
地块Block_38,176.28846304363552,1857.657158955842,0,0,[]
地块Block_39,435.7226075049635,7051.752844220818,0,2,[]
地块Block_40,318.9302399160832,4575.426676904115,0,1,[]
地块Block_41,369.85119643487445,5515.529446658908,0,0,[]
地块Block_42,312.5008555937812,4464.151230210776,0,1,[]
地块Block_43,295.6039948396122,4345.7485597038785,0,1,[]
地块Block_44,277.6669203332366,3104.791970290081,0,1,[]
地块Block_45,320.98845330723486,4540.514823562353,0,0,[]
地块Block_46,367.3168277478756,8207.989611510273,0,1,[]
地块Block_47,265.66370579809353,4091.8268123710022,0,1,[]
地块Block_48,277.97746126756704,4660.020753777491,1,1,[]
地块Block_49,317.22091874954293,6093.212962694838,0,1,[]
地块Block_50,364.53565009888575,6565.211533848283,0,2,[]
地块Block_51,1513.734117616694,120087.95257721988,2,19,[]
地块Block_52,1689.0258105946918,181475.3400669267,1,1,[]
地块Block_53,918.7352379136263,8950.865167002088,0,0,[]
地块Block_54,354.0725157540584,7506.22319236313,0,1,[]
地块Block_55,210.0303027857434,2917.6588024312664,0,1,[]
地块Block_56,273.3330731841442,4242.31578035925,0,1,[]
地块Block_57,261.2584058075919,3788.397226559403,0,1,[]
地块Block_58,275.345361662946,4293.489030528602,0,1,[]
地块Block_59,228.57477690294886,3045.8331234589436,0,1,[]
地块Block_60,362.8329979609062,7672.767821269959,0,1,[]
地块Block_61,269.70730626735946,4023.3525506488872,0,1,[]
地块Block_62,350.35018684763946,7380.520553661053,0,2,[]
地块Block_63,312.10887768271124,4443.406219164685,0,2,[]
地块Block_64,655.6946486545719,2473.4994206671217,0,0,[]
地块Block_65,1425.402361287142,111289.52412910269,0,0,[]
地块Block_66,2010.4639540805479,236240.5952278549,0,0,[]
地块Block_67,1105.6456613601508,22654.76589871812,0,0,[]
地块Block_68,3001.3186830072273,425786.42338811804,4,13,[]
地块Block_69,1877.9375048335166,218270.90131610076,1,1,[]
地块Block_70,1090.5668464635955,8330.379954095637,0,0,[]
地块Block_71,473.66400868560595,1796.3464762806477,0,0,[]
地块Block_72,789.7639731331356,36407.04791284846,0,0,[]
地块Block_73,1143.6536156642867,77809.31489009765,0,0,[]
地块Block_74,600.6343621531283,2759.174102657229,0,0,[]
地块Block_75,1074.2493448528853,9803.064620165196,0,0,[]
地块Block_76,969.919891540035,15686.764411312563,0,0,[]
地块Block_77,114.02058470528337,695.487377865948,0,0,[]
地块Block_78,219.19528157657692,2163.241240149275,0,0,[]
地块Block_79,220.3323029773157,2813.923643582798,0,0,[]
地块Block_80,815.478905172553,43588.81030868911,0,0,[]
地块Block_81,637.3174375706348,10354.534528303053,0,0,[]
地块Block_82,231.50193090851516,2337.4047970846223,0,0,[]
地块Block_83,771.7056326935682,974.183563670888,0,0,[]
