地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,96432.38020859279,198616.73636037682,4,4,[]
地块Block_1,979.6160952618792,58461.68275815278,0,0,[]
地块Block_2,283.1355928880234,1622.3494404309545,0,0,[]
地块Block_3,980.2116141699873,7411.891645512124,0,0,[]
地块Block_4,2133.7037129186897,83188.68004293366,6,9,[]
地块Block_5,1524.7659719570595,147883.51630784903,1,1,[]
地块Block_6,1539.8756956190653,6113.992549708329,0,0,[]
地块Block_7,4315.338818062358,341890.030734717,5,7,[]
地块Block_8,2201.9898168802665,8814.208017577475,0,0,[]
地块Block_9,885.1151094344403,4189.258542681885,0,0,[]
地块Block_10,1972.5619501298831,177560.1486460377,2,4,[]
地块Block_11,961.947331584821,4123.733321263984,0,0,[]
地块Block_12,1546.4843504777336,141366.61321215983,5,5,[]
地块Block_13,922.7865378199338,2796.9647349391644,0,0,[]
地块Block_14,1311.0113675333218,96003.49045679606,3,3,[]
地块Block_15,971.0512360861844,3909.913414228622,0,0,[]
地块Block_16,1249.2883532855474,92763.07959687547,0,0,[]
地块Block_17,3486.582569907086,545810.129109423,0,0,[]
地块Block_18,1851.4864055852772,169414.1046228532,2,2,[]
地块Block_19,1119.852419449962,35883.32687179246,0,0,[]
地块Block_20,1318.0867262353026,4521.7914889195235,0,0,[]
地块Block_21,1404.7768725381907,11033.118253311048,0,0,[]
地块Block_22,1677.50471366998,149062.51590940283,0,0,[]
地块Block_23,584.1312359517751,1420.2453657037422,0,0,[]
地块Block_24,2228.095489453357,173011.07298010425,0,0,[]
地块Block_25,367.8465806565952,7887.623629412579,0,0,[]
地块Block_26,731.3542728243021,6719.499981480857,0,0,[]
地块Block_27,647.7310852790027,5964.828113342739,0,0,[]
地块Block_28,161.68053457811902,1620.0901185491962,0,0,[]
地块Block_29,158.59285823161332,1506.8287953372085,0,0,[]
地块Block_30,1223.9225424382812,6945.581707057572,0,0,[]
地块Block_31,294.724245266611,1930.8613836693048,0,0,[]
地块Block_32,650.0182022042893,4503.107192360509,0,0,[]
地块Block_33,477.7299528615373,4641.341521738714,0,0,[]
地块Block_34,533.4362160523773,5340.030813369067,0,0,[]
地块Block_35,637.8846412171702,5249.373055728785,0,0,[]
地块Block_36,166.69886257172212,1656.897721428961,0,0,[]
地块Block_37,163.41976101635248,1604.9450736333756,0,0,[]
地块Block_38,585.93760378872,4271.464508119989,0,0,[]
地块Block_39,534.7566144269867,4206.539091625641,0,0,[]
地块Block_40,4249.453443723602,765714.4006991992,11,11,[]
地块Block_41,1080.3201102516487,5431.991908354549,0,0,[]
地块Block_42,3329.141180242192,401794.54193158814,12,16,[]
地块Block_43,1257.2621298673719,7032.34773602058,0,0,[]
地块Block_44,1028.9820556838783,46692.54645079935,12,33,[]
地块Block_45,1058.795460172273,8377.028979500923,0,0,[]
地块Block_46,569.58136210562,7171.516352871582,0,1,[]
地块Block_47,828.1200689240668,2799.6125609571636,0,0,[]
地块Block_48,858.0709726453753,2336.009535884249,0,0,[]
地块Block_49,706.9736443098861,4825.471356344656,0,0,[]
地块Block_50,606.1962015728146,2300.5180833710983,0,0,[]
地块Block_51,846.7061873465011,7057.21716836565,0,0,[]
地块Block_52,170.24921626140232,906.184010503427,0,1,[]
地块Block_53,235.89469775594077,3046.4583262641795,1,1,[]
地块Block_54,569.2638184022767,2127.130199519445,0,0,[]
地块Block_55,768.9730048302749,8217.080050819139,0,0,[]
地块Block_56,553.031714949608,4226.5903299931715,0,0,[]
地块Block_57,351.79993393750317,1768.1417636781916,0,0,[]
地块Block_58,741.8602917717351,19843.18998695728,0,0,[]
地块Block_59,453.1498980731407,2265.202963482296,0,0,[]
地块Block_60,433.8077977508498,2153.8890743633583,0,0,[]
地块Block_61,625.8536052510996,19028.431794223427,0,0,[]
地块Block_62,1216.603528723103,90166.46019566659,0,0,[]
地块Block_63,709.2372109662989,922.6885341886201,0,0,[]
