地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,35444.5788315512,43876.63084871947,4,4,[]
地块Block_1,825.2795738601827,5521.062094867468,1,1,[]
地块Block_2,2884.4453861226607,455873.6216350003,3,4,[]
地块Block_3,2995.4606978384872,475931.34680959745,7,9,[]
地块Block_4,2027.4212690794625,17636.87498594045,0,1,[]
地块Block_5,147.909088643169,749.4118270580734,0,0,[]
地块Block_6,436.6955035359617,5104.894299241487,0,1,[]
地块Block_7,2337.0600273672594,34613.997905686796,0,1,[]
地块Block_8,1466.8482902489009,36484.22013337259,0,0,[]
地块Block_9,2366.952087447709,3006.004162026842,0,0,[]
地块Block_10,598.8242699887535,15283.454897528667,0,0,[]
地块Block_11,166.35435699847523,768.1594794691808,0,0,[]
地块Block_12,1095.578353247322,1342.1248117835185,0,0,[]
地块Block_13,449.5892002263929,12894.710683989564,0,5,[]
