地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,1585.467361248157,1980.0427549154047,0,0,[]
地块Block_1,1406.6979624762562,1692.7224826348436,0,0,[]
地块Block_2,924.395143925293,1102.4358596322384,0,0,[]
地块Block_3,45582.73898461138,66344.59095240111,0,0,[]
地块Block_4,3436.539334418679,263707.73981952126,0,0,[]
地块Block_5,1208.2268113316445,79489.96006359113,1,1,[]
地块Block_6,1570.8955739279477,51095.818039365025,2,11,[]
地块Block_7,1856.3207475347174,86328.07852040236,0,11,[]
地块Block_8,1471.215476911332,142147.38620809268,2,4,[]
地块Block_9,1290.4722652821,96459.97923892972,0,1,[]
地块Block_10,787.8717826320265,7415.1459985287365,0,0,[]
地块Block_11,2802.3639835867057,77492.72371853076,0,3,[]
地块Block_12,2344.2105000109123,218862.03626471202,1,1,[]
地块Block_13,1044.7382399102046,26572.583257633218,0,3,[]
地块Block_14,841.1689080198604,26863.413579337084,0,7,[]
地块Block_15,424.38897455579985,10348.616477434929,0,2,[]
地块Block_16,837.5275557878861,7889.698874695168,0,0,[]
地块Block_17,294.62859955609997,1427.8403937619044,0,0,[]
地块Block_18,1672.58242717065,93898.16248877201,0,0,[]
地块Block_19,2906.475367414286,489515.6906341768,3,4,[]
地块Block_20,795.3007714089465,6528.233585694514,0,0,[]
地块Block_21,1211.7146557737474,85121.59487968605,0,0,[]
地块Block_22,1126.4100485628528,74627.7439979721,0,0,[]
地块Block_23,1451.6397769058285,21701.052563598452,0,0,[]
地块Block_24,627.3787861143425,3730.762091902404,0,0,[]
地块Block_25,735.7448492045297,28762.40237155293,0,0,[]
地块Block_26,1336.3862956987732,19773.02856421386,0,0,[]
地块Block_27,584.7624443108036,27167.256136748532,0,0,[]
