地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,173910.89920963594,219952.92135835087,21,22,[]
地块Block_1,1872.73460426764,207002.25067241283,12,34,[]
地块Block_2,1774.5813397601648,188756.13689738463,16,35,[]
地块Block_3,2383.212421502267,200797.58219997666,23,39,[]
地块Block_4,1964.533834377648,244023.30011519184,19,51,[]
地块Block_5,921.6694975776435,3952.449364498196,0,2,[]
地块Block_6,1885.95003448387,218276.80226708954,50,68,[]
地块Block_7,713.5421817394149,31290.981063960167,2,8,[]
地块Block_8,775.9918507958132,32963.00006821488,2,10,[]
地块Block_9,935.0499232461606,55364.65057234312,4,17,[]
地块Block_10,1408.9390520049412,116115.68352510345,0,35,[]
地块Block_11,1044.4349820909536,63093.75954246691,0,28,[]
地块Block_12,1321.2575964766663,88527.3398051502,4,24,[]
地块Block_13,1476.0799656507334,68419.25931005576,2,22,[]
地块Block_14,2111.3501541484356,272256.1915669289,35,104,[]
地块Block_15,2886.0207570447837,379849.4653214196,29,93,[]
地块Block_16,3193.90279753903,363699.9927921479,15,91,[]
地块Block_17,1114.0083432178728,74495.88607491358,7,14,[]
地块Block_18,2025.211466352761,156717.96266003922,18,34,[]
地块Block_19,1033.8870769881341,50072.6557831745,2,19,[]
地块Block_20,2309.9477822452677,127752.68583447406,2,31,[]
地块Block_21,1763.034947430519,147062.38935988303,3,37,[]
地块Block_22,2618.2289808564065,189133.36522810985,2,25,[]
地块Block_23,2113.162780164331,260059.1098038979,6,33,[]
地块Block_24,1085.2586989854865,60562.44648235523,1,6,[]
地块Block_25,1705.4459951745346,158771.5450657986,3,15,[]
地块Block_26,366.11187586594133,7940.92567829376,0,0,[]
地块Block_27,1573.7241835188638,138134.0590986855,4,32,[]
地块Block_28,1140.0153998450426,69045.9107885015,2,3,[]
地块Block_29,1348.0046581502704,108616.51079601434,5,15,[]
地块Block_30,1256.7725718924412,97219.57586124177,0,7,[]
地块Block_31,1173.5681181378136,80889.62573847285,3,6,[]
地块Block_32,974.1723962329086,51453.10703334858,5,8,[]
地块Block_33,606.1914347643493,22775.81606245572,0,2,[]
地块Block_34,2103.4648491564953,237925.560913755,22,60,[]
地块Block_35,2054.2273288259444,233152.15717608304,3,4,[]
地块Block_36,987.7967961362958,51668.76085713092,0,0,[]
地块Block_37,1141.9484487944146,74532.3666352147,0,0,[]
地块Block_38,1708.4394849152072,147462.58199748723,1,2,[]
地块Block_39,583.4047645470689,16332.591223011403,1,1,[]
地块Block_40,557.2324294522082,11526.823962651242,1,3,[]
地块Block_41,1204.2001624288473,86468.03756113845,2,13,[]
地块Block_42,795.9004589523457,37315.24474488914,6,11,[]
地块Block_43,448.59425803075806,12427.795889914327,0,5,[]
地块Block_44,427.1928940864042,11249.305290288874,1,6,[]
地块Block_45,1031.4374779975892,51358.80953081835,2,7,[]
地块Block_46,392.40302597359795,1176.2473414973017,0,0,[]
地块Block_47,593.2303961279504,21732.63410592602,2,11,[]
