地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,121905.9589001158,155602.48781308145,0,0,[]
地块Block_1,390.0447598820971,2176.8748794079684,0,0,[]
地块Block_2,750.6320426860667,35612.53623831452,0,0,[]
地块Block_3,379.74937387990275,836.2223139663624,0,0,[]
地块Block_4,1448.7231528125187,11419.234849797116,0,0,[]
地块Block_5,2202.038688696054,291786.5842849944,4,11,[]
地块Block_6,1977.0399745644247,203751.06570124967,2,5,[]
地块Block_7,934.9543978452735,14738.332642814474,0,0,[]
地块Block_8,917.6102231757349,5657.3104058998,0,0,[]
地块Block_9,975.163148668403,13454.10236489533,0,0,[]
地块Block_10,134.23149295245832,801.5025788717448,0,0,[]
地块Block_11,122.45621834740817,706.2826872499143,0,0,[]
地块Block_12,1429.9336979594914,11759.75929557923,0,0,[]
地块Block_13,2968.0083392619135,444640.71407610056,0,0,[]
地块Block_14,964.5621687806447,57158.96974284864,0,0,[]
地块Block_15,1303.6574444664438,103674.47486970591,0,0,[]
地块Block_16,674.5870956249241,3660.471883832158,0,0,[]
地块Block_17,894.4245324203678,45722.88962706641,0,0,[]
地块Block_18,520.1904750356642,3613.110741284761,0,0,[]
地块Block_19,799.0050987358426,38150.84344915307,0,0,[]
地块Block_20,769.659027476261,35106.255106947916,0,0,[]
地块Block_21,1321.134460843281,12659.436461921594,0,0,[]
地块Block_22,2151.9862958548238,275170.2027757063,0,0,[]
地块Block_23,1431.6277567535321,10798.660906101266,0,0,[]
地块Block_24,566.783829373425,4429.749923737704,0,0,[]
地块Block_25,3325.618347182714,126818.01106803745,0,0,[]
地块Block_26,2415.232060656812,361023.6488475414,2,9,[]
地块Block_27,1074.0206463918998,18857.63342665595,0,0,[]
地块Block_28,874.920861909968,41100.37656609222,0,0,[]
地块Block_29,2903.7908731738703,466412.48857320653,6,9,[]
地块Block_30,1037.94787731862,6301.093248962198,0,0,[]
地块Block_31,310.024717779291,2349.997873767168,0,0,[]
地块Block_32,1428.206384992679,15926.741171621072,0,0,[]
地块Block_33,1875.7386966300653,212409.5200842747,0,0,[]
地块Block_34,2041.6765233422313,32979.69458609826,0,0,[]
地块Block_35,198.85978182915585,2530.0371709113338,0,0,[]
地块Block_36,863.0499506821941,6970.7964106880845,0,0,[]
地块Block_37,2199.9074019214695,269927.91415996716,0,0,[]
地块Block_38,979.3449378596415,12523.18234330757,0,0,[]
地块Block_39,896.4592619524238,6694.488524699787,0,0,[]
地块Block_40,248.02876568590477,2183.0011599601753,0,0,[]
地块Block_41,2511.170987422987,223017.62903672177,1,3,[]
地块Block_42,491.7872366043588,1449.050605630317,0,0,[]
地块Block_43,1436.0790178684015,119677.23613281791,0,0,[]
地块Block_44,1029.347007110384,7382.338723015602,0,0,[]
地块Block_45,996.9371958974697,17328.892214716896,0,0,[]
地块Block_46,1180.5748246103133,22213.72929507936,0,0,[]
地块Block_47,748.9236806788593,31660.372142462285,0,0,[]
地块Block_48,547.4223700781426,6485.23694410658,0,0,[]
地块Block_49,428.5840468509873,3811.8507368309556,0,0,[]
地块Block_50,771.5665409464641,7664.660423505961,0,0,[]
地块Block_51,566.8849385404761,2438.4860293917022,0,0,[]
地块Block_52,569.1301951950418,2329.480985662695,0,0,[]
地块Block_53,538.8472586236527,6562.252912847296,0,0,[]
地块Block_54,745.9632092156768,31400.721702109324,0,0,[]
地块Block_55,595.0698058382558,5987.14166420123,0,0,[]
地块Block_56,553.4894013332544,2659.6119452688945,0,0,[]
地块Block_57,720.117920321388,6017.2893719283375,0,0,[]
地块Block_58,1158.723697972232,81867.68079671063,0,0,[]
地块Block_59,795.341008418184,37633.88543720085,0,0,[]
地块Block_60,833.2806572554615,42013.35313254992,0,0,[]
地块Block_61,529.611621897581,3893.956870332129,0,0,[]
地块Block_62,349.60198205683145,3470.6038532066086,0,0,[]
地块Block_63,810.9429118628938,39409.68643528178,0,0,[]
地块Block_64,932.7391350552657,48230.524521793624,0,0,[]
地块Block_65,660.816943104938,3907.4287918992754,0,0,[]
地块Block_66,1039.7896268800068,65117.52162942335,0,0,[]
地块Block_67,930.9262463239163,47576.346317397765,0,0,[]
地块Block_68,1160.8420996012353,4410.662967128281,0,0,[]
地块Block_69,1552.8933034440136,23249.72573399129,0,0,[]
地块Block_70,580.791350284536,3468.9537845467844,0,0,[]
地块Block_71,941.0955007954421,52278.33949175393,0,0,[]
地块Block_72,589.9128061126144,1991.8859467773218,0,0,[]
地块Block_73,921.5821684422885,48513.36897760995,0,0,[]
地块Block_74,744.8971469273154,34103.413757264156,0,0,[]
地块Block_75,504.7006321294996,2456.5669634924952,0,0,[]
地块Block_76,349.3937613370081,1360.4529300942468,0,0,[]
地块Block_77,513.9608664120103,3861.916620261495,0,0,[]
地块Block_78,1022.7501441233636,64560.35288006679,1,1,[]
地块Block_79,870.984481493642,43313.52086459212,0,0,[]
地块Block_80,901.9470616850665,47732.024742988244,0,0,[]
地块Block_81,905.2504058995189,47873.42659293194,0,0,[]
地块Block_82,1025.657330664833,61741.22036122367,0,0,[]
地块Block_83,875.3971215325444,42925.38212742851,0,0,[]
地块Block_84,585.1185180116529,3710.1252518096935,0,0,[]
地块Block_85,900.5769371877302,47492.70681128946,0,0,[]
地块Block_86,834.4892662622107,38566.717807081615,0,0,[]
地块Block_87,917.5724877787907,49702.8430865818,0,0,[]
地块Block_88,923.9249936977477,49871.73398547558,0,0,[]
