地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,51945.34934355809,66830.36590288967,3,4,[]
地块Block_1,3788.14420897344,628450.8325763274,4,15,[]
地块Block_2,1874.9551475117878,96870.16311508724,4,10,[]
地块Block_3,940.9357788754463,3063.371948209449,0,1,[]
地块Block_4,1543.7187840464442,6760.931694734934,0,0,[]
地块Block_5,3680.8089135827804,816464.7237551253,9,152,[]
地块Block_6,1369.8230865566404,6151.331925016377,0,1,[]
地块Block_7,406.89885222414364,2402.257374419796,0,0,[]
地块Block_8,962.2230402574969,55368.952440273155,1,3,[]
地块Block_9,125.83789104436653,752.1567228920379,0,0,[]
地块Block_10,355.5985867014611,1079.284683779427,0,0,[]
地块Block_11,2672.514929357799,399356.997673344,5,9,[]
地块Block_12,3218.683476163638,41939.15474695342,1,2,[]
地块Block_13,1569.9987538278244,16144.388567474038,0,1,[]
地块Block_14,593.0020268532721,1665.7927342960343,0,1,[]
地块Block_15,440.5544959873125,1292.9461031123324,0,1,[]
地块Block_16,342.87200824014946,1260.8004672790112,0,0,[]
地块Block_17,1102.0074630241488,8654.831127135,0,0,[]
地块Block_18,1457.8639138750548,1848.1593573539778,0,0,[]
