地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,105780.68614730629,134643.58970339954,1,1,[]
地块Block_1,634.1190595469084,2606.4015921710393,0,0,[]
地块Block_2,1656.1043495636202,161066.51640599564,0,0,[]
地块Block_3,691.7310497729777,6175.74851892913,0,0,[]
地块Block_4,2868.631416072574,375999.67289799097,6,9,[]
地块Block_5,1020.903756170484,10518.433357335953,0,0,[]
地块Block_6,799.1889839200895,6489.890466460638,0,0,[]
地块Block_7,1734.0764304142972,187378.4276088212,8,18,[]
地块Block_8,3433.568286128911,366149.3878250792,1,12,[]
地块Block_9,2470.226178622982,343111.8433672852,3,3,[]
地块Block_10,688.8179144699105,1771.1159758937492,0,0,[]
地块Block_11,945.6304206085113,2828.424811046156,0,0,[]
地块Block_12,1328.945773568802,99045.26487505913,0,0,[]
地块Block_13,947.8978722211423,53857.47145205252,0,0,[]
地块Block_14,386.05727049211896,1263.10795979868,0,0,[]
地块Block_15,4114.98065625117,633261.3043500263,6,9,[]
地块Block_16,2271.664919253006,7918.93340117776,0,0,[]
地块Block_17,649.2986555455014,4714.279249826708,0,1,[]
地块Block_18,1523.5392390240888,137217.64275113528,3,6,[]
地块Block_19,3342.7133853988394,596288.1352791953,2,4,[]
地块Block_20,2134.795512855095,15728.189153406076,0,0,[]
地块Block_21,2517.2927043420736,203896.11622760765,1,2,[]
地块Block_22,742.9739703313505,2309.117981433665,0,0,[]
地块Block_23,1967.6576033199522,228537.24071656357,1,11,[]
地块Block_24,446.2399186106215,1844.2043149549147,0,0,[]
地块Block_25,1116.4123472685158,8464.460157957003,0,0,[]
地块Block_26,2023.2908147319022,251996.30626940486,1,1,[]
地块Block_27,727.0972664121028,5654.728152125626,0,0,[]
地块Block_28,988.2894877725997,3681.5011174531046,0,0,[]
地块Block_29,1284.0233509993238,3891.274555446948,0,0,[]
地块Block_30,999.5445289783297,3947.622295445568,0,0,[]
地块Block_31,457.7725998778851,1923.4270473276201,0,0,[]
地块Block_32,1926.0936178238676,162251.18336728067,2,3,[]
地块Block_33,1520.4521312804518,12369.036024068706,0,0,[]
地块Block_34,925.9875531665294,3538.325265179128,0,0,[]
地块Block_35,1168.3929795392435,8849.261027075092,0,0,[]
地块Block_36,819.3242943349597,3144.7122132862123,0,0,[]
地块Block_37,727.7136533798146,2690.3734430465233,0,0,[]
地块Block_38,1033.5318939532594,3696.1596510401396,0,0,[]
地块Block_39,793.9099229385208,30302.640300255003,0,0,[]
地块Block_40,535.8123278572954,1629.4854242835809,0,0,[]
地块Block_41,1004.4511337459348,9173.50204100071,0,0,[]
地块Block_42,1199.3707156562446,72522.58281200413,0,1,[]
地块Block_43,1713.646762046804,176420.10712083807,2,16,[]
地块Block_44,869.4453599800703,7570.872365082623,0,0,[]
地块Block_45,1642.0036017199427,166905.1947058556,0,5,[]
地块Block_46,1065.5182774253908,56904.51041947371,1,1,[]
地块Block_47,741.8710570954713,2391.2767246218873,0,0,[]
地块Block_48,1323.193487956423,109391.98278872453,1,2,[]
地块Block_49,892.2224475122875,44253.102656829,3,4,[]
地块Block_50,621.796964470295,4203.962559426067,0,0,[]
地块Block_51,1356.9037004420518,68021.96642824309,0,0,[]
地块Block_52,1764.02560725212,187808.25315772154,0,0,[]
地块Block_53,771.3406645384422,6786.93547553798,0,0,[]
地块Block_54,1891.4745292701655,205178.8169837189,1,2,[]
地块Block_55,714.8911996518028,2064.0612273135453,0,0,[]
地块Block_56,1239.9022624583058,12281.195110115877,0,0,[]
地块Block_57,1056.6324450468958,6465.796999438361,0,0,[]
地块Block_58,1003.9404272569604,2510.8139033551174,0,0,[]
地块Block_59,1013.3333410919842,9379.383653425733,0,0,[]
地块Block_60,1270.2310506185065,75152.80786885358,0,1,[]
地块Block_61,1397.2277684951216,109482.56712414404,0,1,[]
地块Block_62,1202.8444582448167,66511.47880997111,0,1,[]
地块Block_63,817.0630773626999,2659.164701601185,0,0,[]
地块Block_64,1252.7067566525593,73752.66997442525,0,0,[]
地块Block_65,1159.0738991838057,72996.68913825805,2,2,[]
地块Block_66,593.8801296363475,4588.460981271018,0,0,[]
地块Block_67,605.5095822890297,4501.863440272353,0,0,[]
地块Block_68,568.9596510601223,16347.29413424938,1,2,[]
