地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,115819.89194539221,148481.2276924126,9,9,[]
地块Block_1,842.5550270347672,2304.6310550773223,0,0,[]
地块Block_2,851.5659379233872,4955.23379572411,0,0,[]
地块Block_3,838.2905235151088,2184.2436177369354,0,0,[]
地块Block_4,1504.8461533297007,139988.05324096407,0,24,[]
地块Block_5,1523.9767324764293,144505.52798096894,8,14,[]
地块Block_6,741.5329800637664,4096.676942377269,0,0,[]
地块Block_7,1896.2538900079408,150370.57962906492,1,18,[]
地块Block_8,867.0745380742436,8059.901512189637,0,0,[]
地块Block_9,1524.0365340960984,143821.4701540178,0,21,[]
地块Block_10,1454.5168177084063,130167.10689429587,0,12,[]
地块Block_11,749.889894263097,6371.6474756404305,0,0,[]
地块Block_12,1561.4168547383908,6626.7997908714815,0,0,[]
地块Block_13,1391.5228094239565,11549.619040411864,0,0,[]
地块Block_14,1320.3601766203415,108537.8690394327,0,26,[]
地块Block_15,1251.6595431020705,96657.0673598532,0,20,[]
地块Block_16,1023.763944069066,6939.037392894945,0,0,[]
地块Block_17,633.4526449279826,3488.8469966201064,0,0,[]
地块Block_18,1555.6192665108695,5772.358717866119,1,1,[]
地块Block_19,610.1956295830904,4588.43117879671,0,0,[]
地块Block_20,1309.6327820899824,106420.50628964222,2,8,[]
地块Block_21,724.4577697572921,1893.890818969996,0,0,[]
地块Block_22,1508.6794569998035,142100.07439737927,0,15,[]
地块Block_23,805.428544082759,7603.413797293747,0,0,[]
地块Block_24,689.4069921761363,7276.576871703276,0,0,[]
地块Block_25,740.6395091439441,9381.885372917683,0,0,[]
地块Block_26,773.3613666973414,1929.6792658505458,0,0,[]
地块Block_27,1429.1038066326762,126332.50410982432,0,11,[]
地块Block_28,1214.5881972741442,91240.16389666313,0,15,[]
地块Block_29,672.9930353533182,3505.668232552573,1,1,[]
地块Block_30,1500.3436754807547,139862.7425873914,1,7,[]
地块Block_31,710.9040674028831,3372.4813400980674,0,0,[]
地块Block_32,1519.9612377006,141634.58259103718,0,20,[]
地块Block_33,883.7052312395331,6998.272975776623,0,0,[]
地块Block_34,718.5049925947449,3398.2714368329266,0,0,[]
地块Block_35,840.4843213059753,7530.468955190666,0,0,[]
地块Block_36,657.7371096359861,1912.8265075648678,0,0,[]
地块Block_37,688.6635373833149,1905.5584651236763,0,0,[]
地块Block_38,1330.8201364938566,110166.28385603799,1,7,[]
地块Block_39,748.4983101906512,7361.073451010701,0,0,[]
地块Block_40,761.2269218082974,33530.07932759399,0,0,[]
地块Block_41,3511.181434416833,18819.612089631,0,0,[]
地块Block_42,2488.4700727399904,328933.12534754124,0,34,[]
地块Block_43,1858.8011711077206,9825.973568242467,0,0,[]
地块Block_44,1888.2816550645532,227103.99675051152,1,33,[]
地块Block_45,1013.5230547028348,8580.872154974553,0,0,[]
地块Block_46,768.1988670986441,5640.726367587821,0,0,[]
地块Block_47,2072.8881057002777,249939.72384022205,0,23,[]
地块Block_48,1410.9074266086072,11892.074898653946,0,0,[]
地块Block_49,395.6828621790221,3308.375718089851,0,0,[]
地块Block_50,1161.7901144570258,71597.67540117318,0,0,[]
地块Block_51,749.8149966756204,6246.165005276508,0,0,[]
地块Block_52,1619.5087670396729,160562.0844982383,0,26,[]
地块Block_53,724.7067340993849,5061.992962833016,0,0,[]
地块Block_54,482.9477512313248,3743.8231577155593,0,0,[]
地块Block_55,956.8007580251644,56654.680768126665,0,0,[]
地块Block_56,335.4898720223026,2078.849361708635,0,0,[]
地块Block_57,852.8169532808367,5212.760535373347,0,0,[]
地块Block_58,1298.676719057663,9664.963579432433,0,0,[]
地块Block_59,1566.46432743158,21799.981767049412,0,0,[]
地块Block_60,1292.4608501505488,10373.754558682163,0,0,[]
地块Block_61,887.9945247154681,8694.382684788543,0,0,[]
地块Block_62,1252.9667818046705,10494.075714727333,0,0,[]
地块Block_63,1967.9815767297137,226577.9775435811,1,7,[]
地块Block_64,739.6962460808496,5252.580703726555,0,0,[]
地块Block_65,1050.081346336261,8165.935724706912,0,0,[]
地块Block_66,150.77654385991093,991.8313653596014,0,0,[]
地块Block_67,191.39362815262314,1046.9609828313583,0,0,[]
地块Block_68,107.63258801733957,643.3822270444614,0,1,[]
地块Block_69,7796.402238255432,9268.203972901734,0,0,[]
地块Block_70,110.90380620581443,969.733984254042,0,0,[]
