地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,32542.621551783603,41490.10296455954,0,1,[]
地块Block_1,1193.0762811510185,5756.17359846884,0,0,[]
地块Block_2,1954.2989651187472,18572.20458160381,0,0,[]
地块Block_3,1143.6536156642865,77809.31489009765,0,0,[]
地块Block_4,3885.0112693429137,598126.6478117635,0,1,[]
地块Block_5,853.3187952503761,7991.362875381854,0,1,[]
地块Block_6,473.66400868560595,1796.3464757582165,0,0,[]
地块Block_7,789.7639731331356,36407.047912848466,0,0,[]
地块Block_8,1425.4023613366428,111289.5245402822,0,0,[]
地块Block_9,1202.8923617069047,91254.81283635403,1,1,[]
地块Block_10,655.6946486572263,2473.4994200825386,0,0,[]
地块Block_11,600.6343621531284,2759.174102989415,0,0,[]
地块Block_12,1074.2493448528853,9803.064620165198,0,0,[]
地块Block_13,791.8126030173647,7420.820363342289,0,1,[]
地块Block_14,2070.4653190651125,261522.55748232186,0,0,[]
