地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,92523.67460721711,116970.29887546046,0,0,[]
地块Block_1,392.0652106552513,1561.051247511474,0,0,[]
地块Block_2,1558.5958180991772,111695.12437326834,0,20,[]
地块Block_3,360.8998132500203,924.6472664838211,0,0,[]
地块Block_4,990.4240463853607,60897.65834620752,0,0,[]
地块Block_5,1391.5060304267038,10279.96005606325,0,0,[]
地块Block_6,579.0450581343283,1992.8297996657723,0,0,[]
地块Block_7,3178.6220326907815,162819.78481212578,1,1,[]
地块Block_8,2255.2826702068746,264121.6024196657,1,4,[]
地块Block_9,1234.1736772034346,12346.41618459604,0,0,[]
地块Block_10,1701.5939367221013,14765.360741884975,0,0,[]
地块Block_11,2070.676103285379,164716.94486721835,1,2,[]
地块Block_12,4197.868421176815,608728.619130498,1,29,[]
地块Block_13,1153.8608377712449,81508.93829461964,0,0,[]
地块Block_14,2459.7608050717336,137786.46348582054,0,1,[]
地块Block_15,571.0096598425342,2259.8741597617,0,0,[]
地块Block_16,1118.8302690151982,77594.31063148094,0,0,[]
地块Block_17,600.0224898195597,5821.140215693233,0,0,[]
地块Block_18,1166.478580930471,84084.2196889048,0,5,[]
地块Block_19,1734.7485703508985,6121.885410266988,0,0,[]
地块Block_20,700.7913466837334,2256.3937356757165,0,0,[]
地块Block_21,585.7299380047617,2533.359334287276,0,0,[]
地块Block_22,1532.0716723306405,139095.07516561463,0,0,[]
地块Block_23,1064.2741819649486,11038.699882377612,0,0,[]
地块Block_24,629.468984421238,2107.096043946391,0,0,[]
地块Block_25,1394.682582028511,124688.18068320572,0,13,[]
地块Block_26,1140.7947951511171,10485.668362793387,0,0,[]
地块Block_27,596.726865702243,2514.702936210323,0,0,[]
地块Block_28,933.4150067840609,3665.865561097016,0,0,[]
地块Block_29,591.6869567929937,2351.724507440797,0,0,[]
地块Block_30,407.64483366760015,1121.70561117278,0,0,[]
地块Block_31,667.2324564141538,2106.6971575363755,0,0,[]
地块Block_32,1302.755289976531,16114.50392516508,0,0,[]
地块Block_33,992.1477781099233,5594.537984262444,0,1,[]
地块Block_34,1091.0930675738216,73675.25027553808,0,0,[]
地块Block_35,588.025355521424,5557.462195803429,0,0,[]
地块Block_36,549.6335066409279,2702.1263120492704,0,0,[]
地块Block_37,1171.8291123999504,84934.21682504917,2,7,[]
地块Block_38,802.508969184791,8079.422047552791,0,0,[]
地块Block_39,388.4976545504066,1383.009182506341,0,0,[]
地块Block_40,445.7284122903693,1427.4770324938322,0,0,[]
地块Block_41,435.09730581009427,1485.770740650924,0,0,[]
地块Block_42,849.8934084817844,2827.9391080122195,0,0,[]
地块Block_43,874.053343102594,46282.60638596573,0,0,[]
地块Block_44,398.8399159097947,1190.5639170550166,0,0,[]
地块Block_45,1762.4342748192398,18946.5626058228,0,0,[]
地块Block_46,692.4050259446424,1964.0640286411367,0,0,[]
地块Block_47,520.0789866319126,1453.9230228684783,0,0,[]
地块Block_48,1247.3281751771528,94873.24887900871,0,6,[]
地块Block_49,538.0980888384075,2467.3006947172594,0,0,[]
地块Block_50,454.4423916802858,4029.3742345535816,0,0,[]
地块Block_51,1040.029784641324,64158.90150964839,0,0,[]
地块Block_52,958.0912798990557,49711.66708152388,0,0,[]
地块Block_53,872.0565245909277,44662.7237093424,0,0,[]
地块Block_54,923.4109884235934,52383.89099981199,0,0,[]
地块Block_55,400.77964361949904,1582.0284365698358,0,0,[]
地块Block_56,1150.2163215559967,72376.25213457963,0,16,[]
地块Block_57,774.6659701237153,2558.6927025173113,0,0,[]
地块Block_58,595.8186616431391,4612.804476615685,0,0,[]
地块Block_59,1210.867279525951,89812.1754404154,0,4,[]
地块Block_60,997.2770456210045,62086.09161933802,0,0,[]
地块Block_61,757.8027457037177,32765.102761579237,0,0,[]
地块Block_62,735.2670180998722,6591.893123567145,0,0,[]
地块Block_63,561.0583923263197,2040.3753846664545,0,0,[]
地块Block_64,526.5004677813407,1711.1018553945491,0,0,[]
地块Block_65,1132.4521869520797,78271.63686550695,0,0,[]
地块Block_66,631.424262531073,1983.4082421344353,0,0,[]
地块Block_67,524.2584746707213,1507.5339496013105,0,0,[]
地块Block_68,270.9252893086682,778.9078630864044,0,0,[]
