地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,93804.98946160461,117743.30711785315,1,2,[]
地块Block_1,3269.9655840429355,650271.8489062822,0,1,[]
地块Block_2,1328.1579280688636,10093.940974485595,0,1,[]
地块Block_3,2953.039010760237,427016.18002648046,2,3,[]
地块Block_4,1321.526166623114,106647.40655142814,0,0,[]
地块Block_5,589.9177408967819,5523.146124224631,0,0,[]
地块Block_6,1875.4168094553356,204075.64992457815,0,1,[]
地块Block_7,1248.060229762819,10188.362214305302,0,1,[]
地块Block_8,2418.8894025858863,340242.2447788627,3,5,[]
地块Block_9,917.939873970033,2786.883496093512,0,0,[]
地块Block_10,1084.1606302113125,1863.2026467666738,0,0,[]
地块Block_11,1140.8164569466223,6550.535155648575,0,0,[]
地块Block_12,1181.4566963855789,15595.092400559952,0,0,[]
地块Block_13,2600.444558308847,363116.5303197995,0,16,[]
地块Block_14,1001.5712888131536,59152.917412557865,0,9,[]
地块Block_15,317.3738653182314,1571.544791658494,0,0,[]
地块Block_16,1042.4256001937588,4125.4089086817585,0,0,[]
地块Block_17,1129.8074133801938,4413.083957438712,0,0,[]
地块Block_18,1492.9611162970352,4646.553872673945,0,0,[]
地块Block_19,838.9080511754853,3148.5163384769567,0,0,[]
地块Block_20,786.6924006275175,34798.872321705334,1,2,[]
地块Block_21,309.00620143161865,1140.673600154943,0,0,[]
地块Block_22,518.2995485966657,4498.448128595706,0,1,[]
地块Block_23,739.4079544572522,3164.7841522447075,0,0,[]
地块Block_24,538.3179949244335,4184.674597135509,0,0,[]
地块Block_25,651.7392760600269,3964.559766522725,0,0,[]
地块Block_26,349.4125925696445,2895.6394523447616,0,0,[]
地块Block_27,1113.5556947791424,64340.39527759502,0,0,[]
地块Block_28,332.5695710715529,2791.2385821220705,0,0,[]
地块Block_29,738.3078374074805,35209.7162399003,0,0,[]
地块Block_30,533.617110034689,17706.125083368344,0,1,[]
地块Block_31,595.0709827981678,3766.8178937508965,0,0,[]
地块Block_32,265.3897578714678,2642.64090267871,0,0,[]
地块Block_33,200.80074233897216,1326.6333284528391,0,0,[]
地块Block_34,224.18168894945333,1131.755409482468,0,0,[]
地块Block_35,2325.9959487020797,13688.43581373365,0,0,[]
地块Block_36,780.4580839055346,1479.1222077774628,0,0,[]
地块Block_37,409.56989966849653,1642.9564988839213,0,0,[]
地块Block_38,466.7454918674287,3194.7925658637587,0,0,[]
地块Block_39,194.44851388603206,1274.1561803646075,0,0,[]
地块Block_40,894.2258817352689,5868.383744281149,0,0,[]
地块Block_41,3065.503725603319,24606.013697945145,0,0,[]
地块Block_42,2552.550001958079,179958.74737647883,0,0,[]
地块Block_43,1321.9618985209734,8467.760223933774,0,2,[]
地块Block_44,2709.4752735322268,21721.622311195275,0,0,[]
地块Block_45,1114.9966782031254,66883.3207386549,0,0,[]
地块Block_46,1068.3187479902172,8966.54301040669,0,0,[]
地块Block_47,1390.5372572229282,10329.802123385893,0,1,[]
地块Block_48,1999.9235309669696,128300.3001962118,2,3,[]
地块Block_49,1966.4126950186503,116173.19827419813,1,1,[]
地块Block_50,160.04418097607353,1263.3912712185904,0,0,[]
地块Block_51,558.7558440828822,4246.915752691113,0,0,[]
地块Block_52,267.3174884370394,1403.3482618861383,0,0,[]
地块Block_53,850.2891210976372,46018.58904761766,0,0,[]
地块Block_54,234.5634302620355,1477.7341915705683,0,0,[]
地块Block_55,516.7977252082596,1941.9996098997499,0,0,[]
地块Block_56,1176.8348961820582,9295.881633224182,0,0,[]
