地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,97577.75531283858,124115.33342635483,2,2,[]
地块Block_1,1915.4900160387579,229417.63357941815,0,74,[]
地块Block_2,4520.325445642413,30498.975555099696,0,0,[]
地块Block_3,4085.643503242954,1018383.4834986848,31,50,[]
地块Block_4,2407.4587762229744,260757.5526285059,8,10,[]
地块Block_5,945.5410039765366,2415.114651041148,0,0,[]
地块Block_6,1772.25503703806,146628.1688892374,10,11,[]
地块Block_7,1853.822585794083,160189.67542315164,6,7,[]
地块Block_8,1195.640925961213,57199.88032827067,2,2,[]
地块Block_9,3932.172535429494,545508.0552959195,14,24,[]
地块Block_10,1140.616661885609,6085.1100704630735,0,1,[]
地块Block_11,2378.27270024731,149381.3874624808,5,14,[]
地块Block_12,1312.409042350763,57734.51707538444,0,0,[]
地块Block_13,2172.8621442436583,218904.4429720189,5,11,[]
地块Block_14,809.5896264491232,3104.9711223363943,0,0,[]
地块Block_15,1483.6758658071049,6259.45249908991,0,0,[]
地块Block_16,1929.785788039008,194575.39243235558,6,9,[]
地块Block_17,913.9577451867026,42470.378680100504,0,1,[]
地块Block_18,655.8174917261614,22666.386605401967,0,0,[]
地块Block_19,1647.6167505405897,139244.46640960858,8,11,[]
地块Block_20,445.90118839749573,2499.8338814493727,0,0,[]
地块Block_21,1224.0763422237437,76244.86745410819,0,0,[]
地块Block_22,1385.0990511974856,102589.57668872675,1,1,[]
地块Block_23,182.28404678466407,2557.2144430435737,0,1,[]
地块Block_24,453.61070948823397,2172.8906099370206,0,0,[]
地块Block_25,823.6688819593231,34093.37730992189,2,3,[]
地块Block_26,457.22682317817817,9612.337721988575,0,0,[]
地块Block_27,544.7688757182749,18010.75681306891,1,1,[]
地块Block_28,374.6756015886018,1667.8341521627824,0,0,[]
地块Block_29,1400.7612055397572,84611.56932710245,1,1,[]
地块Block_30,1013.5803653779103,3553.0308509945603,0,0,[]
地块Block_31,1056.6597583806965,51878.38064011453,0,2,[]
地块Block_32,663.8764373092703,25899.892773072384,0,0,[]
地块Block_33,850.2732910405695,44428.26734956501,0,0,[]
地块Block_34,761.3757823829712,34988.134664289486,0,0,[]
地块Block_35,540.3608712360722,12794.365572215003,0,1,[]
地块Block_36,948.7901694179466,48123.52140607722,0,4,[]
地块Block_37,781.7213721883778,32358.857047894187,1,4,[]
地块Block_38,841.180077818965,2133.8607414518806,0,0,[]
地块Block_39,922.7865378199338,2796.9647349391644,0,0,[]
地块Block_40,1311.0113680537638,96003.49051350381,3,3,[]
地块Block_41,1393.0734363536724,113162.34472603137,6,12,[]
地块Block_42,1796.574125318739,200069.93463891832,2,11,[]
地块Block_43,790.1679152094656,3029.303338191811,0,0,[]
地块Block_44,787.8179353803675,2674.025199619892,0,0,[]
地块Block_45,788.713102506062,4026.5460261489243,0,0,[]
地块Block_46,1505.082653812711,11164.12589170317,0,0,[]
地块Block_47,2321.714284608408,251704.3426758372,2,12,[]
地块Block_48,430.1679907761596,13002.143734756502,0,1,[]
地块Block_49,532.1256451708296,21986.68795331916,2,3,[]
地块Block_50,191.7743694896097,1368.852869010865,0,0,[]
地块Block_51,637.8846412141356,5249.373055289358,0,0,[]
地块Block_52,477.72995286153275,4641.341447663395,0,0,[]
地块Block_53,533.4362160523772,5340.030813369067,0,0,[]
地块Block_54,1051.6844485820682,11225.707038856937,0,0,[]
地块Block_55,1443.1119008577084,105395.50752227445,3,6,[]
地块Block_56,460.1359716622168,1744.135170030582,0,0,[]
地块Block_57,2536.666104725351,265944.8462970497,3,6,[]
地块Block_58,2044.3730207110186,18314.15556849851,0,1,[]
地块Block_59,242.78971761708925,1650.0870861813153,0,1,[]
地块Block_60,1253.9667085821957,7068.292484233569,0,0,[]
地块Block_61,1628.9005212230106,2192.136360449631,0,0,[]
