地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,64049.13747617433,83024.58453066621,0,0,[]
地块Block_1,2116.0115250191175,16236.956477873793,0,0,[]
地块Block_2,2074.8554479942563,14440.171948149426,0,0,[]
地块Block_3,2038.6145525835655,14354.875907577143,0,0,[]
地块Block_4,6038.321801255326,917504.423872431,2,30,[]
地块Block_5,1671.1923299751218,21261.27827812953,0,1,[]
地块Block_6,2197.005000465592,14753.9752567392,0,0,[]
地块Block_7,2313.88942343325,16727.25307166196,0,0,[]
地块Block_8,2271.03427381762,16668.01845317254,0,0,[]
地块Block_9,6569.308990406042,676148.8532491265,1,20,[]
地块Block_10,1912.934360988761,16689.65304592392,0,1,[]
地块Block_11,663.1079517671486,27019.17423176904,1,1,[]
地块Block_12,1840.5752843044686,15041.138548005658,0,1,[]
地块Block_13,2362.2810908019446,219033.45673092277,2,4,[]
地块Block_14,1656.509527951657,168076.48005322253,6,6,[]
地块Block_15,1230.4262936285998,67601.165834319,0,0,[]
地块Block_16,972.7514897102017,54725.36100054959,0,0,[]
地块Block_17,163.21144455479327,934.8775977429393,0,0,[]
地块Block_18,1416.4130357410747,110815.68991133204,0,0,[]
地块Block_19,1209.465851960801,15170.613449150034,0,0,[]
地块Block_20,949.7951177508514,6896.996954017221,0,0,[]
地块Block_21,2120.28375649263,261210.1405097731,1,1,[]
地块Block_22,1169.6832520350852,15441.713457773803,0,0,[]
地块Block_23,411.5493450742633,5393.048172876785,0,0,[]
地块Block_24,2030.4657993937492,212827.8651913683,1,1,[]
地块Block_25,621.5255517245218,13874.262774382529,0,0,[]
地块Block_26,267.69893484533065,4353.346856415779,0,0,[]
地块Block_27,1322.6701744792006,1822.5430818177165,0,0,[]
地块Block_28,438.31378892415273,2017.4156254249654,0,0,[]
地块Block_29,1112.2273871046066,1516.1428780739666,0,0,[]
地块Block_30,2207.4292232657335,2684.386258629074,0,0,[]
