地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,52131.41022852249,66114.37989605094,1,1,[]
地块Block_1,3141.7001518326233,604346.447477282,0,0,[]
地块Block_2,595.8130986377673,3633.61682312387,0,0,[]
地块Block_3,1194.1051738633716,87347.9537231633,1,2,[]
地块Block_4,1238.5147224203254,92385.27235810267,0,0,[]
地块Block_5,1090.436597196898,4349.921058789053,0,0,[]
地块Block_6,2028.3820339360036,234029.32703827182,0,0,[]
地块Block_7,1448.5189550598907,7626.229696313961,0,0,[]
地块Block_8,2452.633105861656,282669.2482709188,0,0,[]
地块Block_9,1129.659225075025,75210.38856938387,0,0,[]
地块Block_10,2182.2867148276014,12594.67128355498,0,0,[]
地块Block_11,2104.900892094723,15881.410094424296,0,0,[]
地块Block_12,1367.8992239730496,4595.942273611684,0,0,[]
地块Block_13,2087.106754274078,216989.2197135744,3,3,[]
地块Block_14,2054.19670352882,236109.56711542213,0,0,[]
地块Block_15,1379.1120432366934,115903.52847354977,0,0,[]
地块Block_16,830.8534556968166,4538.097515041337,0,0,[]
地块Block_17,824.050796297282,33113.03706309701,2,5,[]
地块Block_18,2472.1847090548376,2939.6391196261065,0,0,[]
