地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,36683.79100294611,47697.03219866586,0,3,[]
地块Block_1,1485.1495479620883,16469.773917312315,0,0,[]
地块Block_2,633.3065511623855,6574.913834318071,0,0,[]
地块Block_3,1128.5558402848749,48385.888175194006,1,1,[]
地块Block_4,1697.7462505927022,22132.74448548532,0,0,[]
地块Block_5,985.0227238523794,60335.06140211715,0,0,[]
地块Block_6,1162.4729878509909,48041.03863901271,0,1,[]
地块Block_7,679.5427095408255,3012.0470534813003,0,0,[]
地块Block_8,2267.9985609116125,301053.0087261824,1,1,[]
地块Block_9,1421.679416375237,10691.015368390157,0,0,[]
地块Block_10,2136.4872975328135,17515.921447662437,0,2,[]
地块Block_11,241.1360068195015,1016.6985214013948,0,0,[]
地块Block_12,2494.7511940155287,18296.92917207797,0,0,[]
地块Block_13,545.7557898845891,8026.517898141491,0,0,[]
地块Block_14,1390.9824629464167,29858.882514517187,0,2,[]
地块Block_15,1573.4468556533304,79997.98864460022,2,2,[]
地块Block_16,627.8922201708884,4498.509778108648,0,0,[]
地块Block_17,270.7882929999616,1767.0834197675022,0,0,[]
