地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,79341.42633693697,101433.568627042,0,0,[]
地块Block_1,2109.409870125743,24142.944365702686,0,0,[]
地块Block_2,2715.2918432732895,363430.47983970685,0,0,[]
地块Block_3,1474.9461929465517,130073.80021122121,0,0,[]
地块Block_4,1240.8456410830001,13909.491376718928,0,0,[]
地块Block_5,1470.8650644185227,134015.3409907658,0,0,[]
地块Block_6,737.0699305277712,3206.1825724115515,0,0,[]
地块Block_7,1146.6865971576697,81852.19571426211,0,0,[]
地块Block_8,614.238150399185,2874.75521937768,0,0,[]
地块Block_9,760.4758166495384,7604.063201146422,0,0,[]
地块Block_10,1774.646880522626,191918.9862099873,0,0,[]
地块Block_11,440.4186490021182,4109.410766235788,0,0,[]
地块Block_12,1418.2576047531693,120067.88630034568,0,0,[]
地块Block_13,777.2750645210017,9075.47801510743,0,0,[]
地块Block_14,2346.124926241768,275201.3277601106,0,0,[]
地块Block_15,1417.9242151674896,10632.787155704866,0,0,[]
地块Block_16,1571.4782609413535,151354.52920111918,0,0,[]
地块Block_17,1816.1500004189934,20608.640163230433,0,0,[]
地块Block_18,739.6098123907165,7383.0843986459495,0,0,[]
地块Block_19,110.07616594447504,663.1456564176916,0,0,[]
地块Block_20,840.6666084394362,9590.043637976903,0,0,[]
地块Block_21,581.5145757006823,2717.799946429535,0,0,[]
地块Block_22,1235.8265421330927,94230.01798333056,0,0,[]
地块Block_23,657.9190872238709,3948.023479905174,0,0,[]
地块Block_24,638.6872367001364,4647.035374351376,0,0,[]
地块Block_25,1221.8502627159376,89039.26946744128,0,0,[]
地块Block_26,783.6171059036067,6180.328516284502,0,0,[]
地块Block_27,1350.818237126558,107883.86286728784,0,0,[]
地块Block_28,558.7516340638817,2595.77739849564,0,0,[]
地块Block_29,905.0663634562574,8322.116510611588,0,0,[]
地块Block_30,1380.5931085356162,108204.46550167115,0,0,[]
地块Block_31,555.4142071098554,4784.2938694803815,0,0,[]
地块Block_32,1349.448967085839,14000.380162669953,0,1,[]
地块Block_33,1832.6211103352546,187599.38863667953,0,1,[]
地块Block_34,1820.9642928214685,190028.22214320305,0,0,[]
地块Block_35,1246.2926239639517,91575.65388876389,0,0,[]
地块Block_36,761.0268274154528,3921.202480644668,0,0,[]
地块Block_37,1946.7617129001537,13662.382551667271,0,0,[]
地块Block_38,3326.4307910531843,25769.13813509046,0,1,[]
地块Block_39,1077.3735912689906,10867.645685236412,0,1,[]
地块Block_40,1237.2290220245393,92548.5593635038,0,0,[]
地块Block_41,740.977898229162,4994.887009518768,0,0,[]
地块Block_42,1729.0985694222713,17111.03135834148,0,0,[]
地块Block_43,2545.317066658545,377223.30903839297,1,1,[]
地块Block_44,1430.4301150059512,128366.24059790546,0,0,[]
地块Block_45,813.2978540458398,3541.512743379713,0,0,[]
地块Block_46,1188.6322742450927,1597.601820937311,0,0,[]
地块Block_47,1158.6436864252591,1544.7415411673796,0,0,[]
