地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,39795.47470421785,49862.73413241664,0,0,[]
地块Block_1,1373.7869487763353,9979.286441550297,0,0,[]
地块Block_2,3842.9255851840835,713752.9364866305,3,20,[]
地块Block_3,2376.813019131548,331292.35641743394,0,3,[]
地块Block_4,2557.3973311138784,408158.2866899042,0,5,[]
地块Block_5,915.9928456742496,10181.167721402297,0,0,[]
地块Block_6,1277.563608641731,9815.686801798372,0,0,[]
地块Block_7,687.8684423935981,5091.529306416876,0,0,[]
地块Block_8,943.4165883638584,6779.916538635954,0,0,[]
地块Block_9,1198.8937012501078,9686.759017943981,0,0,[]
地块Block_10,990.487944513037,4418.572593030379,0,0,[]
地块Block_11,1530.206850240337,9679.097871841903,0,0,[]
地块Block_12,980.1668750171216,4471.827104425438,0,0,[]
地块Block_13,1219.1578962757972,9438.525985453354,0,0,[]
地块Block_14,493.19567473840755,2017.7138492644644,0,0,[]
地块Block_15,494.4950896481753,1973.703045512245,0,0,[]
地块Block_16,623.8991486680777,846.5622219480151,0,0,[]
地块Block_17,611.1926334342057,829.3476042970366,0,0,[]
