地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,76092.61785519408,97518.83472130932,6,6,[]
地块Block_1,756.8888133411997,34038.2232813955,1,1,[]
地块Block_2,2721.089339005907,433149.9032336257,12,20,[]
地块Block_3,2104.499643523852,135029.1093439176,1,1,[]
地块Block_4,1086.53211566873,12708.938022253727,0,0,[]
地块Block_5,2686.948551634014,54121.677620921284,0,0,[]
地块Block_6,1737.6974914119482,151158.75094032186,0,0,[]
地块Block_7,365.19807249841074,2490.447606413291,0,0,[]
地块Block_8,806.7444593576322,37173.60925539148,0,4,[]
地块Block_9,549.8900163063702,18951.574265471994,1,2,[]
地块Block_10,2571.11421157163,138587.65755029747,3,4,[]
地块Block_11,669.8478126691359,27364.303903411408,0,1,[]
地块Block_12,341.416342916626,6462.4174030421755,1,1,[]
地块Block_13,388.1909634593024,7676.843251260287,0,0,[]
地块Block_14,770.1572692247673,33553.453009288074,1,3,[]
地块Block_15,180.15056489928946,916.0203968579557,0,0,[]
地块Block_16,293.4870326347281,3597.624149141458,0,0,[]
地块Block_17,208.6944085069213,1334.3036792023852,0,0,[]
地块Block_18,1458.6506153748592,5066.511221652988,0,0,[]
地块Block_19,3214.9295725509664,551387.1062055083,0,15,[]
地块Block_20,2317.703335321288,107132.67513894559,0,0,[]
地块Block_21,1236.532226212765,85920.00576317217,2,3,[]
地块Block_22,637.7263218944518,19172.007914937312,1,1,[]
地块Block_23,509.7927869653693,4126.431599087754,0,0,[]
地块Block_24,1694.6110044298805,130798.21737728095,4,9,[]
地块Block_25,2198.2399540435167,15624.28501308408,0,0,[]
地块Block_26,209.88461603340983,1408.8574430298409,0,0,[]
地块Block_27,2331.1345279477537,306098.63786715677,0,0,[]
地块Block_28,1005.2577885058968,8472.200875064915,0,0,[]
地块Block_29,210.20099090806568,1389.035987648586,0,0,[]
地块Block_30,1004.181196838267,10250.816664405369,0,0,[]
地块Block_31,889.8667694246672,38900.00409588854,0,0,[]
地块Block_32,652.8805593087666,3126.82314869813,0,0,[]
地块Block_33,1676.9820720190685,163730.67357789492,0,0,[]
地块Block_34,2121.5961749996536,79061.23299524434,0,0,[]
地块Block_35,2169.0140201217037,263412.0013981493,16,24,[]
地块Block_36,978.0356969688636,4087.95378131337,0,0,[]
地块Block_37,1109.796655536403,5479.630774644976,0,0,[]
地块Block_38,1016.7794833172536,8163.398288509634,0,0,[]
地块Block_39,175.76767968442294,1117.5146803875,0,0,[]
地块Block_40,1147.5011850647181,81463.55644987771,1,10,[]
地块Block_41,1484.097062744714,69106.96598195158,0,0,[]
地块Block_42,164.796720090229,1056.5227824234353,0,0,[]
地块Block_43,1214.289256830229,1570.5401637593882,0,0,[]
