地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,71759.74965953069,91874.85891280016,6,6,[]
地块Block_1,1231.3033126572327,10991.03453823659,0,0,[]
地块Block_2,2194.828390981749,271469.2662346885,1,2,[]
地块Block_3,1878.0304922962364,190374.05695615555,0,0,[]
地块Block_4,1310.7537797844082,19201.31257659495,0,0,[]
地块Block_5,3671.336472926182,697178.1548003111,4,4,[]
地块Block_6,198.91259324466634,2291.3882534207005,1,1,[]
地块Block_7,933.6432805037899,38441.61498548136,1,1,[]
地块Block_8,2051.4149613136883,15106.796200415629,0,0,[]
地块Block_9,1258.5970034400098,80180.52807013807,0,6,[]
地块Block_10,1899.6704753953477,245934.939888213,2,5,[]
地块Block_11,1344.2188851277542,51868.16103386692,4,5,[]
地块Block_12,637.3174375690797,10354.534528288117,0,0,[]
地块Block_13,231.50193090851513,2337.4047970846227,0,0,[]
地块Block_14,1223.8456773988678,29098.920926095685,0,0,[]
地块Block_15,528.7509910290195,8710.773186605547,0,0,[]
地块Block_16,975.7665465935421,14425.297764313176,0,0,[]
地块Block_17,220.33230297731566,2813.923643582798,0,0,[]
地块Block_18,219.1952815766634,2163.2412401399342,0,0,[]
地块Block_19,1105.6456613601508,22654.765898718117,0,0,[]
地块Block_20,410.92060554175805,5880.39411104478,0,0,[]
地块Block_21,757.5748943017353,13614.28486154231,0,0,[]
地块Block_22,1268.4255727912682,51642.83315913598,1,1,[]
地块Block_23,154.7921164329406,1292.903436720217,1,1,[]
地块Block_24,2063.897882198458,20093.910010351046,0,0,[]
地块Block_25,1152.8720573914475,4255.397476034902,0,0,[]
地块Block_26,2752.9679505273434,48060.57723712168,0,0,[]
地块Block_27,947.4790737404961,3989.560852858448,0,0,[]
地块Block_28,440.92810747798336,10031.174029376138,1,1,[]
地块Block_29,521.0421027332302,16891.659423257395,0,0,[]
地块Block_30,782.5215152610958,17743.004889193497,0,0,[]
地块Block_31,158.29706065381555,1388.1029336623076,0,0,[]
地块Block_32,1540.5885429353077,11918.873946247448,0,0,[]
地块Block_33,172.6152384914671,1525.9366931941067,0,0,[]
地块Block_34,589.7778602704677,2709.989037520581,0,0,[]
地块Block_35,106.93593496681575,893.9290931255929,0,0,[]
地块Block_36,1461.118407795332,22621.893158866853,0,0,[]
地块Block_37,1430.4441556987026,9706.324195223193,0,0,[]
地块Block_38,172.87732686175002,705.0189540663883,0,0,[]
地块Block_39,933.5040815145475,1188.0689560002115,1,1,[]
