地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,75015.32232074613,96692.0839984949,1,2,[]
地块Block_1,1958.8272133531393,220521.35802968222,0,0,[]
地块Block_2,1880.1532147260737,202397.8167141882,2,3,[]
地块Block_3,1210.556866656281,7258.754470160202,0,1,[]
地块Block_4,2556.11308036015,398761.9991288056,0,1,[]
地块Block_5,3582.785384598601,441801.5428245056,0,0,[]
地块Block_6,2352.755803081542,10739.601523471663,0,0,[]
地块Block_7,2009.3149933517195,155723.64807357336,0,0,[]
地块Block_8,685.8429797771886,29397.518354564494,0,0,[]
地块Block_9,626.8142899477564,24349.926684198545,0,0,[]
地块Block_10,773.5596841269023,39682.08448301353,0,0,[]
地块Block_11,2438.0041413538524,208232.14300860587,4,6,[]
地块Block_12,1966.3640444925209,239614.32828849542,1,1,[]
地块Block_13,1840.8250759517969,207138.02511035863,0,0,[]
地块Block_14,1269.3854527859683,75874.0011688049,0,0,[]
地块Block_15,772.5890009969467,39717.666542941886,0,0,[]
地块Block_16,396.79389824796317,1739.1003271486343,0,0,[]
地块Block_17,976.0246976840906,54835.74164064854,1,1,[]
地块Block_18,2309.838857633908,11536.924968867448,0,0,[]
地块Block_19,1693.9519478956709,174119.18376013864,1,4,[]
地块Block_20,1860.6693352307227,199025.7370779723,5,16,[]
地块Block_21,1237.6579486481935,6792.620613662967,0,0,[]
地块Block_22,1363.5970434685994,93798.99802498065,1,3,[]
地块Block_23,1728.5842340751478,180232.76311503397,0,1,[]
地块Block_24,1706.711239763381,172992.7122060665,4,11,[]
地块Block_25,1080.1812483374708,7948.766985673457,0,1,[]
地块Block_26,1627.2330481023637,152044.91787319313,2,7,[]
地块Block_27,1016.2216485967979,5829.037444906134,0,0,[]
地块Block_28,1974.2568408094385,199043.95113951,1,1,[]
地块Block_29,1660.2881060455395,166663.72998716077,3,8,[]
地块Block_30,1007.8158311135205,5029.526759575659,0,0,[]
地块Block_31,1781.72149595169,189634.2499045229,3,7,[]
地块Block_32,1884.2643211206,221839.56253277778,0,1,[]
地块Block_33,524.2200856901421,8009.253773417583,0,1,[]
地块Block_34,729.6805298642536,9398.61142540418,0,0,[]
地块Block_35,383.0508664435142,1896.6582110642564,0,0,[]
地块Block_36,307.01367747381306,1461.2997167388635,0,0,[]
