地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,118240.93296873802,151563.97515714052,2,2,[]
地块Block_1,1741.3105628403644,10109.004218744616,0,0,[]
地块Block_2,4623.981723961977,414626.0623549447,1,1,[]
地块Block_3,1349.9946273444898,102639.04463275801,2,3,[]
地块Block_4,997.0798564657721,4709.7433923616345,0,0,[]
地块Block_5,1931.0705890970967,56497.906784424675,0,0,[]
地块Block_6,1491.4222540465016,27102.67377970685,0,0,[]
地块Block_7,780.0143794140182,12566.336276429474,0,0,[]
地块Block_8,669.0219041647513,14261.747967007723,0,0,[]
地块Block_9,1439.2427816891056,120748.43784748788,0,0,[]
地块Block_10,2179.5037912255725,285663.71376318356,2,3,[]
地块Block_11,1474.3307065451556,113952.44558551096,1,2,[]
地块Block_12,4401.752673805972,488244.3125399999,5,11,[]
地块Block_13,524.2200856901421,8009.253773417585,0,1,[]
地块Block_14,6289.415852680421,291976.35940047115,7,10,[]
地块Block_15,352.06003716851876,2006.9848385222135,0,0,[]
地块Block_16,1774.9342606599084,194521.9810347588,7,10,[]
地块Block_17,1781.72149595169,189634.2499045229,3,7,[]
地块Block_18,1860.6693352307225,199025.7370779723,5,16,[]
地块Block_19,1237.6579486481935,6792.620613662964,0,0,[]
地块Block_20,1363.5970434685994,93798.99802498064,1,3,[]
地块Block_21,3030.926595883691,440989.24655715656,4,9,[]
地块Block_22,1706.711239755968,172992.88567276185,4,11,[]
地块Block_23,1080.1812483374702,7948.767000556749,0,1,[]
地块Block_24,1016.2216485967979,5829.037444906134,0,0,[]
地块Block_25,1974.2568408094385,199043.95113951,1,1,[]
地块Block_26,1627.2330481013,152044.9428877896,2,7,[]
地块Block_27,3536.7691921643273,793160.2614525432,1,1,[]
地块Block_28,1693.951947895671,174119.18376013867,1,4,[]
地块Block_29,1660.2881060455393,166663.72998716077,3,8,[]
地块Block_30,1884.2643211202192,221839.562532613,0,1,[]
地块Block_31,1007.8158311135207,5029.526764640701,0,0,[]
地块Block_32,600.4494365065267,2957.961176348514,0,0,[]
地块Block_33,1136.852064786203,83093.83575100765,0,1,[]
地块Block_34,950.0555543030558,9936.00363010853,0,0,[]
地块Block_35,1283.1584076180393,14586.436947573078,0,0,[]
地块Block_36,1150.0995064364022,53163.92609810822,0,0,[]
地块Block_37,1506.2650746916436,17837.011143002754,0,0,[]
地块Block_38,729.6805298642537,9398.611425404179,0,0,[]
地块Block_39,713.3710557715032,30058.93511659955,1,1,[]
地块Block_40,1667.7790023139305,172627.79499106205,6,12,[]
地块Block_41,384.8682777881774,5900.040382595997,0,0,[]
地块Block_42,796.1152159786214,19633.781731992596,0,0,[]
地块Block_43,1579.7388396945767,131954.6091699001,4,5,[]
地块Block_44,433.855606519423,2132.894532575035,0,0,[]
地块Block_45,307.01367747381306,1461.299716738863,0,0,[]
地块Block_46,383.05086644351417,1896.6582110642573,0,0,[]
地块Block_47,925.7021070886901,51872.13300885075,0,0,[]
地块Block_48,189.41231852227955,1753.9714510562328,0,0,[]
地块Block_49,252.99706828352578,3270.208887384638,0,0,[]
地块Block_50,257.9142944004736,3499.4538749769927,0,0,[]
地块Block_51,276.834566159538,3782.375067774222,0,0,[]
地块Block_52,297.54148742066485,4501.101366412804,0,0,[]
地块Block_53,310.7704073578989,3842.420716445731,0,0,[]
地块Block_54,315.7140980205264,4653.255053082149,0,0,[]
地块Block_55,301.77509961618523,4199.1868037402455,0,0,[]
地块Block_56,234.03227272409893,2596.6973880982046,0,0,[]
地块Block_57,242.31765354000964,3242.778236644726,0,0,[]
地块Block_58,233.77144399511118,2847.9835059503393,0,0,[]
地块Block_59,251.9574717454983,3359.012764979016,0,0,[]
地块Block_60,253.88195685385415,3431.449235328458,0,0,[]
地块Block_61,249.7272987548194,3233.1894358302443,0,0,[]
地块Block_62,249.07193510289557,3186.0080211958953,0,0,[]
地块Block_63,346.55873898321283,7448.591653303594,0,0,[]
地块Block_64,253.585341782948,3536.2718595263505,0,0,[]
地块Block_65,244.715781508169,3089.313895576859,0,0,[]
地块Block_66,1298.9296612699582,6733.46468916211,0,0,[]
地块Block_67,843.3414855984821,36923.5275521286,0,0,[]
地块Block_68,408.5783461915918,2137.021073371579,0,0,[]
地块Block_69,690.8831530735486,3569.291582674511,0,0,[]
地块Block_70,1669.906594926488,144771.25009407738,1,1,[]
地块Block_71,326.15791475369286,989.4969521707029,0,0,[]
地块Block_72,1767.267145041167,150365.4925618687,1,1,[]
地块Block_73,905.4086567547895,41612.771438961696,0,0,[]
地块Block_74,837.8610108192294,55411.90368843528,0,0,[]
地块Block_75,683.6307069081913,28995.904061891095,2,3,[]
地块Block_76,634.1710432905901,23986.305187089423,0,0,[]
地块Block_77,823.1628583982044,32285.609952645656,0,0,[]
