地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,77601.10417421209,97688.28711432894,0,0,[]
地块Block_1,3596.980986993794,802438.99193925,1,2,[]
地块Block_2,909.058812715027,11526.849048154314,0,1,[]
地块Block_3,1590.55547812113,158310.15487843356,0,2,[]
地块Block_4,2205.36365873604,314087.7568065817,4,5,[]
地块Block_5,1842.444298406996,25162.889356746986,0,1,[]
地块Block_6,520.1590874120667,21377.988486742826,0,1,[]
地块Block_7,635.4865537482824,12316.431201817653,0,0,[]
地块Block_8,1532.063540006055,7998.291600272676,0,0,[]
地块Block_9,1671.7219548629596,172911.13625835086,0,3,[]
地块Block_10,1085.4876728998847,23180.729577269623,0,0,[]
地块Block_11,1689.9923234159357,156252.21266832462,0,0,[]
地块Block_12,1165.769037784884,10060.900277132872,0,0,[]
地块Block_13,2382.6837425135222,34077.54784190725,0,0,[]
地块Block_14,1468.1170551892114,8289.983776334657,0,0,[]
地块Block_15,1478.9565532648364,10318.669489636612,0,0,[]
地块Block_16,1495.462131014052,15827.397703052788,0,0,[]
地块Block_17,1323.3094459945785,109046.76541210842,0,0,[]
地块Block_18,1476.6278769951155,12979.70551967541,0,0,[]
地块Block_19,598.183131426033,22781.112009730616,0,2,[]
地块Block_20,355.08085703798747,2719.0534449446486,0,0,[]
地块Block_21,939.1027387826989,50574.75213889149,0,0,[]
地块Block_22,1126.9847031309255,79671.82102853735,0,0,[]
地块Block_23,1065.339243505165,72156.94368938278,1,1,[]
地块Block_24,751.4128690808976,31979.34856938482,1,1,[]
地块Block_25,968.1813221221738,53370.15102661159,0,0,[]
地块Block_26,1643.8219450323913,10729.293951836456,0,0,[]
地块Block_27,1428.206384992679,15926.74117162107,0,0,[]
地块Block_28,2199.9074019214677,269927.9141417192,0,0,[]
地块Block_29,2164.6792231024774,35619.460863803564,0,0,[]
地块Block_30,4879.564891679102,481613.03852586757,5,8,[]
地块Block_31,310.02471777689607,2349.997873622896,0,0,[]
地块Block_32,917.8378739459736,49358.76522819668,0,1,[]
地块Block_33,609.1498197952725,2618.3419096742136,0,0,[]
地块Block_34,765.8540224106322,6176.89502518483,0,0,[]
地块Block_35,863.0499506821941,6970.796410688081,0,0,[]
地块Block_36,485.40093424992733,3965.2139063444683,0,0,[]
地块Block_37,296.253113997222,2214.364949511193,0,0,[]
地块Block_38,1875.738696627868,212409.5200841316,0,0,[]
地块Block_39,979.3449378596415,12523.18234330757,0,0,[]
地块Block_40,896.4592619524238,6694.488524699778,0,0,[]
地块Block_41,1321.1344608432814,12659.436461921592,0,0,[]
地块Block_42,248.02876568590474,2183.001159960175,0,0,[]
