地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,47122.39863730421,60916.45380455071,4,5,[]
地块Block_1,3993.167162266516,418007.50372943486,6,7,[]
地块Block_2,1102.007463024149,8654.831127134996,0,0,[]
地块Block_3,1569.9987538278247,16144.38856747404,0,1,[]
地块Block_4,3218.6834761636965,41939.15474696665,1,2,[]
地块Block_5,342.8720082401495,1260.8004672790112,0,0,[]
地块Block_6,593.0020268532721,1665.7927342960343,0,1,[]
地块Block_7,440.55449598731246,1292.946103112332,0,1,[]
地块Block_8,940.9357788754462,3063.3719482094566,0,1,[]
地块Block_9,355.5985867014611,1079.284683779427,0,0,[]
地块Block_10,2703.635064784236,22565.59093893897,0,0,[]
地块Block_11,869.0371116024221,32203.515649452278,6,6,[]
地块Block_12,1008.9810240575222,47411.097940418906,1,1,[]
地块Block_13,196.28087555519386,1349.3631285009706,0,0,[]
地块Block_14,1135.280938761902,7786.316967408486,0,0,[]
地块Block_15,2311.721420554957,12784.653167778064,0,1,[]
地块Block_16,405.2006107359894,6750.909241242876,0,0,[]
