地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,101735.07467725452,128276.74404209612,6,8,[]
地块Block_1,3307.0205693613066,25397.88706104965,0,0,[]
地块Block_2,948.3672742302955,3905.5407021462142,0,0,[]
地块Block_3,5152.501070944982,1080884.840975625,13,114,[]
地块Block_4,1253.6733387164847,3706.8605289997536,0,0,[]
地块Block_5,3411.9194664508777,15569.108798602067,0,0,[]
地块Block_6,2522.091571546479,333241.8594739831,1,2,[]
地块Block_7,4013.162013624453,932183.188624268,4,14,[]
地块Block_8,677.3468667486482,19187.564101854718,0,0,[]
地块Block_9,2759.7563824413755,343878.6777747366,2,83,[]
地块Block_10,1189.2694933615019,10646.170254067896,0,1,[]
地块Block_11,5813.374462538734,814476.1050577598,21,138,[]
地块Block_12,874.3929239331753,47175.50816314464,0,7,[]
地块Block_13,442.7114268739482,4496.651344019712,0,0,[]
地块Block_14,205.39454999872177,1659.3489408046603,0,1,[]
地块Block_15,252.36370522508665,3053.320861442506,0,1,[]
地块Block_16,395.47742264044473,9870.999002176699,0,2,[]
地块Block_17,261.46031474418163,1030.7699971445065,0,1,[]
地块Block_18,181.03392164307044,1285.768347307055,0,1,[]
地块Block_19,186.48941408624597,913.4717995138872,0,1,[]
地块Block_20,596.8848075676052,5468.573200322344,0,1,[]
地块Block_21,137.25216579808858,855.0432737270519,0,0,[]
地块Block_22,1119.1665409334917,14036.06837372328,0,0,[]
地块Block_23,620.0996890286622,6567.283985521903,2,2,[]
地块Block_24,8263.485362247548,63020.366926869916,1,2,[]
地块Block_25,389.5056837548842,1665.5027337644406,0,0,[]
地块Block_26,722.9982869736297,4110.396355934189,0,0,[]
地块Block_27,375.9186101963085,1734.2778309106516,0,1,[]
地块Block_28,721.0241772038141,4894.473701909759,0,0,[]
地块Block_29,382.60070927199354,1992.3566578954633,0,1,[]
地块Block_30,606.4200504534064,2496.9967520469145,0,0,[]
地块Block_31,580.456249170408,2492.382828191919,0,0,[]
地块Block_32,516.8814306882412,4648.503217260395,1,1,[]
地块Block_33,753.9962292699084,4952.252080076073,0,0,[]
地块Block_34,411.6496635868814,8931.762534296815,0,2,[]
地块Block_35,305.1901364673901,1339.4922263481826,0,0,[]
地块Block_36,203.60201014854434,678.0195783924671,0,0,[]
地块Block_37,1014.2177871803328,6483.558574397568,0,0,[]
地块Block_38,787.0418348501953,8898.762407303127,0,0,[]
地块Block_39,680.7711204183925,23498.411959861638,0,10,[]
地块Block_40,702.7665392143018,23018.376641769766,0,0,[]
地块Block_41,677.822844886185,20926.26407712709,0,0,[]
地块Block_42,1064.8210509661344,52198.2611829356,0,0,[]
地块Block_43,408.9029697952981,8974.577281081989,1,1,[]
地块Block_44,654.2267793752493,24980.917575511205,0,0,[]
地块Block_45,953.9603701193363,46560.85048218702,1,1,[]
地块Block_46,1320.8638945235782,94661.80960115076,1,2,[]
地块Block_47,807.5144061769154,33465.10342007669,0,0,[]
地块Block_48,1138.9075808493744,61485.5773012135,0,0,[]
地块Block_49,664.9017924040652,25057.560219456136,0,0,[]
地块Block_50,690.5924302832397,27726.484862523757,0,0,[]
地块Block_51,633.2410416677046,22216.83221991601,0,0,[]
地块Block_52,691.9521912721195,27993.67439818163,0,0,[]
地块Block_53,1154.760499447563,62814.29340790402,0,0,[]
地块Block_54,457.22682317817817,9612.337721988579,0,0,[]
地块Block_55,132.48499248139453,1385.8939664611617,0,0,[]
地块Block_56,182.2840467859326,2557.2144430798962,0,1,[]
