地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,116907.29023077602,146777.43187305992,9,9,[]
地块Block_1,5466.125960747867,837181.1773707647,32,151,[]
地块Block_2,647.3422218856078,25777.59985593785,2,3,[]
地块Block_3,847.805645264137,5021.886549700266,0,0,[]
地块Block_4,717.0650721287159,19485.30425682754,2,5,[]
地块Block_5,1139.1698292769627,77709.95591678341,2,43,[]
地块Block_6,1684.6906912972804,72541.23622212851,9,69,[]
地块Block_7,1309.974376114365,60554.88945341042,2,56,[]
地块Block_8,755.8903958973837,29036.914871842433,6,21,[]
地块Block_9,570.104386498957,19207.819701350443,4,12,[]
地块Block_10,395.18029443025665,7805.774797077854,0,5,[]
地块Block_11,754.1535294116314,26644.35273521261,0,11,[]
地块Block_12,1695.7107167544143,67488.38946093198,9,29,[]
地块Block_13,1301.7130107546423,95570.9307248498,5,9,[]
地块Block_14,306.2249026818246,1584.2592635216376,0,1,[]
地块Block_15,933.6035121093703,55970.46902791454,0,8,[]
地块Block_16,512.4706923568649,15518.756694056137,1,6,[]
地块Block_17,453.16172559869943,11900.029262449998,2,6,[]
地块Block_18,1381.1619899522996,82594.17949388483,13,48,[]
地块Block_19,891.9288771728393,39553.848556050296,2,5,[]
地块Block_20,372.74324290902604,1911.8908542159036,0,1,[]
地块Block_21,689.5021531542684,28806.03752705349,5,9,[]
地块Block_22,1023.4308709336763,65880.59388077812,0,35,[]
地块Block_23,961.794247536573,53137.01338752461,3,25,[]
地块Block_24,919.6087003756569,40029.645978690176,2,18,[]
地块Block_25,838.8306496731419,44493.19748349969,2,5,[]
地块Block_26,659.942729695642,23018.46759118065,3,5,[]
地块Block_27,389.91540251854457,8990.272117785978,0,8,[]
地块Block_28,854.3015228116772,45397.94158958415,0,8,[]
地块Block_29,646.9845607551518,22191.197999643777,1,7,[]
地块Block_30,980.5997386651122,46078.079786327886,0,13,[]
地块Block_31,1318.7278289493686,99865.82602797421,3,44,[]
地块Block_32,1226.0796101824512,6208.715296113318,0,0,[]
地块Block_33,649.91572761909,25724.844361343028,2,4,[]
地块Block_34,370.87765961144146,6216.404633272647,0,3,[]
地块Block_35,568.9439893690846,3830.5688992702167,0,2,[]
地块Block_36,792.7653176462507,4492.564824695405,0,0,[]
地块Block_37,864.9549111428532,36380.66188604136,1,9,[]
地块Block_38,356.32614555668664,7821.96933844044,1,4,[]
地块Block_39,562.7170213046285,16076.445448532799,0,7,[]
地块Block_40,1016.8347549922971,45716.301399160206,1,22,[]
地块Block_41,702.087126691458,18867.00666870709,0,7,[]
地块Block_42,561.2173712130518,14370.819349109472,1,6,[]
地块Block_43,955.3784003235579,30481.961604106265,1,11,[]
地块Block_44,861.8981525063342,41407.82089228427,1,17,[]
地块Block_45,492.607277792143,14715.242130837069,5,10,[]
地块Block_46,295.060997495641,5228.104268671519,0,3,[]
地块Block_47,783.4605258442903,26259.18924994284,1,7,[]
地块Block_48,865.5791715600828,46269.61728771456,0,0,[]
地块Block_49,406.8988522241435,2402.257374419797,0,0,[]
地块Block_50,8468.714480612269,630362.2860028282,5,98,[]
地块Block_51,2695.870765495358,413600.50612295663,4,31,[]
地块Block_52,810.8357424914452,32295.23986701515,0,19,[]
地块Block_53,311.3981065401714,5283.706935447085,0,4,[]
地块Block_54,899.2956020004594,37228.03721462996,12,32,[]
地块Block_55,2178.464883868972,199037.90845424237,9,51,[]
地块Block_56,535.4708495473112,17293.53184420214,1,9,[]
地块Block_57,1138.9397991052629,71533.54344373036,1,13,[]
地块Block_58,781.0883062879999,32522.374714220805,1,16,[]
地块Block_59,1386.3648479571207,34310.9982024796,1,17,[]
地块Block_60,1786.034370720023,28831.27592234863,0,0,[]
地块Block_61,436.7176950939738,11491.322683305212,3,5,[]
地块Block_62,2773.841085986379,479341.3906791953,4,10,[]
地块Block_63,1369.8230865586859,6151.331925040144,0,1,[]
地块Block_64,2215.7927413300067,8898.827311852572,0,0,[]
地块Block_65,2264.9269895599114,12263.41276095627,0,0,[]
地块Block_66,1450.2542824625773,6644.10452147095,0,0,[]
地块Block_67,1447.7472654062221,5522.632236890632,0,0,[]
地块Block_68,1444.9557521813556,6790.2721566955615,0,0,[]
地块Block_69,2398.2743945408442,261470.23364053894,17,50,[]
地块Block_70,682.2038041840148,5578.901522376339,0,0,[]
地块Block_71,962.2230402574969,55368.95244027311,1,3,[]
地块Block_72,125.83789104436653,752.1567228920379,0,0,[]
地块Block_73,355.59858670146104,1079.2846837794275,0,0,[]
地块Block_74,342.87200824014946,1260.8004672790112,0,0,[]
地块Block_75,940.9357788754463,3063.371948209452,0,1,[]
地块Block_76,1543.718784046444,6760.931698292286,0,0,[]
