地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,66427.08351748627,83695.86388374545,0,1,[]
地块Block_1,1972.231592206817,24788.18704757267,0,0,[]
地块Block_2,2278.133321127083,290128.08996144147,1,4,[]
地块Block_3,520.1590874120667,21377.988486742823,0,1,[]
地块Block_4,1532.0635400060548,7998.291600272691,0,0,[]
地块Block_5,608.5256810123634,7253.630894017472,0,0,[]
地块Block_6,886.8837653472219,47274.704561575054,0,1,[]
地块Block_7,1219.9632204986885,93075.15317012997,0,0,[]
地块Block_8,1385.3473354895518,124879.40723893236,2,2,[]
地块Block_9,988.1394954450705,59591.93161629229,0,0,[]
地块Block_10,1506.7002456031134,142914.6154716245,7,14,[]
地块Block_11,982.3616119268964,9350.17452413794,0,0,[]
地块Block_12,131.9619736231753,813.250416077058,0,0,[]
地块Block_13,297.13959977880785,2267.9162118840964,0,0,[]
地块Block_14,1386.1392464561968,120303.17596236795,1,1,[]
地块Block_15,2301.9970182564493,194327.41953649506,0,3,[]
地块Block_16,267.0636515646623,3221.598613677536,0,0,[]
地块Block_17,408.50576767198794,10429.152284158363,0,1,[]
地块Block_18,2141.588176011638,17998.952732223013,0,0,[]
地块Block_19,2205.363658736039,314087.75680547155,4,5,[]
地块Block_20,1590.5554781211297,158310.1548784336,0,2,[]
地块Block_21,1842.444298406996,25162.889356746986,0,1,[]
地块Block_22,635.4865537482824,12316.431201817652,0,0,[]
地块Block_23,1165.7690377823055,10060.90024213003,0,0,[]
地块Block_24,864.3278118038775,48832.382551190465,0,0,[]
地块Block_25,1689.992323415936,156252.21266832462,0,0,[]
地块Block_26,1671.7219548629596,172911.13625835077,0,3,[]
地块Block_27,1085.4876728998847,23180.729577269623,0,0,[]
地块Block_28,863.049950682194,6970.7964106880845,0,0,[]
地块Block_29,1323.3094459945785,109046.76541210842,0,0,[]
地块Block_30,1468.1170551892112,8289.983776334673,0,0,[]
地块Block_31,1478.9565532660406,10318.66948964589,0,0,[]
地块Block_32,1495.4621310140521,15827.397703052779,0,0,[]
地块Block_33,909.0588127150271,11526.849048154316,0,1,[]
地块Block_34,1664.286945577134,2264.4760266615144,0,0,[]
地块Block_35,1784.7563679970385,2428.898072805734,0,0,[]
地块Block_36,876.9213695167422,1065.399908230888,0,0,[]
