地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,129545.55625166827,164795.50155732545,7,7,[]
地块Block_1,1133.039348097169,8480.912379569447,0,1,[]
地块Block_2,1335.6325806799487,10842.666791142949,0,0,[]
地块Block_3,1682.7533522227686,173910.29991564644,1,10,[]
地块Block_4,3045.7989159856666,305855.16376882227,4,19,[]
地块Block_5,1418.3424067681217,123713.28955492606,0,9,[]
地块Block_6,1448.485529698538,126273.02764804616,4,12,[]
地块Block_7,1017.1197291414002,62372.33772722675,1,1,[]
地块Block_8,626.527150994592,4770.799741215107,0,0,[]
地块Block_9,889.4051659083076,9246.756211018552,0,0,[]
地块Block_10,1227.1546201640115,92878.09168385752,0,0,[]
地块Block_11,774.6509809483846,6644.318429434654,0,0,[]
地块Block_12,883.2255607441019,14833.438273958973,0,0,[]
地块Block_13,844.0535029153705,23182.310098676597,0,0,[]
地块Block_14,724.5159536868235,19132.738817144924,1,1,[]
地块Block_15,2803.8862111458634,76138.7912045815,1,1,[]
地块Block_16,595.64649024925,4711.034617896493,0,0,[]
地块Block_17,957.889180696684,26931.437768355936,1,1,[]
地块Block_18,1292.9945520052527,10252.92193314277,0,0,[]
地块Block_19,912.8691855053456,6577.541041506218,0,0,[]
地块Block_20,970.6597646778787,7952.372686478229,0,0,[]
地块Block_21,2006.0656862065973,229122.0170956749,0,0,[]
地块Block_22,1366.3495465432525,38818.62309484774,0,0,[]
地块Block_23,1672.5418930127282,151809.55366366947,0,8,[]
地块Block_24,671.024593905353,2957.889179281517,0,0,[]
地块Block_25,1166.1200055619304,49285.77086137148,0,0,[]
地块Block_26,308.1948454569042,4596.113752763646,0,0,[]
地块Block_27,735.6879800730708,11593.43244763849,0,0,[]
地块Block_28,511.7943350760782,3263.0536313202183,0,0,[]
地块Block_29,135.3054289311366,880.5223160445247,0,0,[]
地块Block_30,414.2113205521105,3146.6824906184265,0,0,[]
地块Block_31,1327.9256163305345,11407.22697107241,0,0,[]
地块Block_32,421.1468035298143,4905.812615967029,1,1,[]
地块Block_33,1306.5992967924667,37463.44562967735,3,5,[]
地块Block_34,276.0565991475598,4558.583988807547,0,1,[]
