地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,115782.0357949533,146332.464883748,4,4,[]
地块Block_1,2620.4154397835355,14683.419154586138,0,0,[]
地块Block_2,724.0795224902362,3827.445193822565,0,0,[]
地块Block_3,1869.5029580991052,14832.592695299572,0,0,[]
地块Block_4,1820.6668369272718,13307.639755498623,0,0,[]
地块Block_5,1873.8905861716303,208297.54696360906,0,33,[]
地块Block_6,766.8381494696598,5031.592671463828,0,1,[]
地块Block_7,2890.2426460694837,185314.85288608205,6,44,[]
地块Block_8,1223.652711224007,91306.21222639101,1,17,[]
地块Block_9,3110.054946710382,23691.67012959653,0,0,[]
地块Block_10,3121.3139858636014,22876.77437827971,0,0,[]
地块Block_11,3115.9974873533115,19750.91391567339,0,0,[]
地块Block_12,1757.7008002023535,195353.05813441167,2,4,[]
地块Block_13,860.8022903822227,9123.310490637059,0,0,[]
地块Block_14,1246.941962359574,98454.43280983617,0,0,[]
地块Block_15,1418.7336132215553,128812.05405852299,0,25,[]
地块Block_16,2847.567743865292,258821.80321597398,0,15,[]
地块Block_17,929.9350900202044,4825.341011219898,0,0,[]
地块Block_18,1355.2866328217858,108441.68033496343,1,30,[]
地块Block_19,1745.1791848294356,179281.42285557414,1,44,[]
地块Block_20,2834.424106431338,241015.0924123939,0,0,[]
地块Block_21,1378.631577927688,125386.36721049038,0,8,[]
地块Block_22,511.98593580405077,2701.049411590524,0,0,[]
地块Block_23,900.9018141871052,5616.966615664913,0,0,[]
地块Block_24,177.65708432630484,871.0625627568821,0,0,[]
地块Block_25,489.7441157207636,2341.556979561264,0,0,[]
地块Block_26,1137.4792777595562,10320.729864627108,0,0,[]
地块Block_27,1028.6381568201919,6328.304067438127,0,0,[]
地块Block_28,218.63589360740224,1224.8041819828518,0,0,[]
地块Block_29,1366.5038472255933,11285.65513922777,0,0,[]
地块Block_30,1118.403088756585,69851.89302008002,1,7,[]
地块Block_31,1312.7101058865742,103923.15160669983,0,23,[]
地块Block_32,165.35346878947783,1000.8361083586174,0,0,[]
地块Block_33,203.5756810774145,1316.5427446160775,0,0,[]
地块Block_34,252.3637052266045,3053.3244900646305,0,1,[]
地块Block_35,395.47742264085076,9870.992603586703,0,2,[]
地块Block_36,2160.939406463336,276601.31246915704,0,50,[]
地块Block_37,2759.756382436477,343878.67553504475,2,83,[]
地块Block_38,874.3929239331753,47175.50816314464,0,7,[]
地块Block_39,596.8848075676051,5468.573200322343,0,1,[]
地块Block_40,1606.0656146861081,153323.10411333898,8,18,[]
地块Block_41,1259.6007514158184,92754.24939142216,0,0,[]
地块Block_42,3754.3367315464525,604553.6324078189,11,115,[]
地块Block_43,2424.024357145736,275230.21750250086,0,69,[]
地块Block_44,748.6298627568059,5586.2233494893435,0,0,[]
地块Block_45,261.4603147440327,1030.769997144371,0,1,[]
地块Block_46,1860.3713654122923,19693.77323197192,0,0,[]
地块Block_47,2771.59109444792,235199.79362601807,1,52,[]
地块Block_48,382.50571678864515,1634.2642897645806,0,0,[]
地块Block_49,1455.213860517325,129252.72756969344,0,0,[]
地块Block_50,186.4894140862423,913.4717995138773,0,1,[]
地块Block_51,1060.7620488563482,61515.87914344685,0,15,[]
地块Block_52,474.30581317206645,10640.03861897744,1,6,[]
地块Block_53,1119.1665409783056,14036.0683737233,0,0,[]
地块Block_54,442.71142687395,4496.651291512515,0,0,[]
地块Block_55,3159.9112466441725,411653.93246849976,3,32,[]
地块Block_56,952.0932046184641,48247.30214876094,0,11,[]
地块Block_57,1189.2694933615019,10646.170254067898,0,1,[]
地块Block_58,620.0996890286622,6567.283985521903,2,2,[]
地块Block_59,445.89611530056186,6222.069465770247,0,1,[]
地块Block_60,1871.201569750383,2384.6487944845585,0,0,[]
地块Block_61,595.3945773567614,19334.30105159688,0,0,[]
地块Block_62,333.87048507550026,5010.906923289937,0,0,[]
地块Block_63,3103.2168030730463,3939.48271369763,0,3,[]
地块Block_64,963.7897637477143,29671.977558829356,0,9,[]
地块Block_65,226.7594090148788,3177.3712441333214,0,1,[]
地块Block_66,197.15331501215104,2047.838021104761,0,1,[]
