地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,97177.58414200689,122400.98930469596,4,4,[]
地块Block_1,1707.677398362668,174647.98799933674,0,0,[]
地块Block_2,4444.569750919076,1012818.628335901,9,14,[]
地块Block_3,1908.9305807028336,144630.39484295272,5,6,[]
地块Block_4,1885.245048722518,40787.968011882665,0,0,[]
地块Block_5,1080.1416947321204,6704.1393083756575,0,0,[]
地块Block_6,1595.373604604215,12230.351032609567,0,0,[]
地块Block_7,1369.3882560418062,7558.426371399108,0,0,[]
地块Block_8,2223.588273658164,282918.5626057188,10,14,[]
地块Block_9,2250.8779283772574,306155.3253865789,3,7,[]
地块Block_10,1571.7549092022837,15965.007481135304,0,0,[]
地块Block_11,1554.3257732233483,113088.5852552379,0,0,[]
地块Block_12,3395.8288089490197,398313.2121011527,1,3,[]
地块Block_13,2949.0536948905788,22745.16433330547,0,0,[]
地块Block_14,2955.5450150663996,22154.43262092176,0,0,[]
地块Block_15,2943.3748413679787,18684.149619628,0,0,[]
地块Block_16,195.25789616916728,805.0329040734206,0,0,[]
地块Block_17,3606.753641664427,458606.6701029699,0,0,[]
地块Block_18,1716.9343315497447,180355.73576363755,1,1,[]
地块Block_19,2415.147321656782,241776.47498280197,0,0,[]
地块Block_20,1280.9989333872777,96688.92909351441,0,0,[]
地块Block_21,817.0397905554265,3047.843193330792,0,0,[]
地块Block_22,2569.0803892792496,363420.7193758701,1,1,[]
地块Block_23,871.3651204521818,3251.3392556923864,0,0,[]
地块Block_24,1055.1269187951846,64744.555864502385,5,5,[]
地块Block_25,2787.0262430880093,450842.808274977,4,5,[]
地块Block_26,545.8621839197574,1915.9940364923168,1,1,[]
地块Block_27,324.3744234604821,2492.310624063953,0,0,[]
地块Block_28,498.30395875787065,13351.595728706992,0,0,[]
地块Block_29,2171.525760249847,35151.938307633434,1,1,[]
地块Block_30,2087.208725299131,16113.148958328502,0,0,[]
地块Block_31,875.3721478881507,6022.97823397128,0,0,[]
地块Block_32,829.8777725586989,5293.6220150963545,0,0,[]
地块Block_33,501.34758512061654,13517.728834530755,1,1,[]
地块Block_34,1717.7742253306628,129555.05726244792,2,6,[]
地块Block_35,2232.2772324567864,273414.3979063685,3,4,[]
地块Block_36,1179.8552198560799,6142.420299501409,0,0,[]
地块Block_37,1474.3525908844908,131893.19670106753,2,2,[]
地块Block_38,485.13761473794136,2693.674938447738,0,0,[]
地块Block_39,799.3306663879829,4349.313058214941,0,0,[]
地块Block_40,829.5030476966226,4199.355772613206,0,0,[]
