地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,131981.43006242777,186525.85101929578,3,3,[]
地块Block_1,1253.3640846236942,6920.311145458736,0,0,[]
地块Block_2,3740.7764787843025,225989.75161390947,0,0,[]
地块Block_3,758.9455227351167,4144.108096669861,0,0,[]
地块Block_4,2039.7808809122234,246468.53358209124,1,1,[]
地块Block_5,2116.8540985676636,277631.22701596277,3,11,[]
地块Block_6,1155.7861960597288,5657.172255421509,0,0,[]
地块Block_7,1185.3473251545404,14538.067806680598,0,0,[]
地块Block_8,1164.6310177856983,9543.249619604681,0,0,[]
地块Block_9,4435.834701660122,229285.13182594877,1,4,[]
地块Block_10,1002.2593563591678,45061.50877964405,0,0,[]
地块Block_11,760.0815505465046,33343.81767171448,0,1,[]
地块Block_12,2243.2863021057096,45900.27043355141,0,11,[]
地块Block_13,566.5965666979016,10651.609377561757,0,4,[]
地块Block_14,422.11195913805113,10331.71164141937,1,5,[]
地块Block_15,987.1295413191978,28717.000816448115,0,10,[]
地块Block_16,448.23638752240373,5942.434879849228,0,0,[]
地块Block_17,312.26768659030074,5919.336994008124,0,0,[]
地块Block_18,295.3120192294452,5135.346186744564,0,1,[]
地块Block_19,445.4302271067532,4123.219652745615,0,0,[]
地块Block_20,521.4193632386596,12008.509834154163,0,0,[]
地块Block_21,112.56844130166829,717.0588356538747,0,0,[]
地块Block_22,198.69219828492731,908.9242148423857,0,0,[]
地块Block_23,854.8989409174301,4085.241739703472,0,0,[]
地块Block_24,255.39329620809409,2089.156362849308,1,1,[]
地块Block_25,256.7960898442022,975.8464542303731,0,0,[]
地块Block_26,992.1986479278534,5803.953121122224,0,0,[]
地块Block_27,324.78683360312954,2161.9954099843326,0,0,[]
地块Block_28,1419.5811162393068,9963.291632801966,0,0,[]
地块Block_29,626.2895516768539,24307.97962821844,0,1,[]
地块Block_30,935.8631508435041,25091.835397894538,0,0,[]
地块Block_31,839.1329118886038,45348.82035506143,0,2,[]
地块Block_32,1050.2873932486823,34878.624350650556,0,1,[]
地块Block_33,624.5123850929778,5104.224455293577,0,0,[]
地块Block_34,515.8282356038393,12132.707732426925,0,1,[]
地块Block_35,627.7178718203555,24400.018918583188,0,1,[]
地块Block_36,147.59402888797,1264.9670698164869,0,0,[]
地块Block_37,1382.7682302130258,66494.72930677273,0,0,[]
地块Block_38,1114.8282678556438,81719.76922240225,0,0,[]
地块Block_39,1097.428346783311,71841.07686780831,1,1,[]
地块Block_40,1246.5423440834172,76408.08044840401,0,0,[]
地块Block_41,1710.3336619872873,105044.64327272943,0,0,[]
地块Block_42,2495.920797420248,13080.291768204072,0,1,[]
地块Block_43,2519.172343590318,26520.933852737624,0,1,[]
地块Block_44,2516.664768954932,18027.425665238734,0,0,[]
地块Block_45,3317.809009123352,456529.11806114495,3,4,[]
地块Block_46,932.1771283983409,55383.93715562443,0,0,[]
地块Block_47,2708.27355627204,267226.59842786123,2,3,[]
地块Block_48,1530.4973162902775,95710.7163948062,1,1,[]
地块Block_49,1517.7085217054162,86608.78354653376,0,0,[]
地块Block_50,1824.0193137840183,204596.74206130632,0,2,[]
地块Block_51,1735.64615710446,177137.5266473799,2,8,[]
地块Block_52,1982.04496209303,206158.51255749067,2,4,[]
地块Block_53,1826.7557444922436,12488.312062247267,0,0,[]
地块Block_54,607.8426536301679,3293.618722084846,0,0,[]
地块Block_55,892.2799771989062,5081.131819600225,0,0,[]
地块Block_56,937.9440516513062,6515.286190199411,0,0,[]
地块Block_57,867.0613235300024,4803.777363905792,0,0,[]
地块Block_58,351.3331873806122,1850.408810956504,0,0,[]
地块Block_59,1087.7366710290892,71192.41772832352,1,1,[]
地块Block_60,1301.8678592558322,100429.86758743683,0,0,[]
地块Block_61,1080.1973983913974,66727.95240697607,0,0,[]
地块Block_62,857.4895629365459,39253.20700097906,6,6,[]
地块Block_63,1036.4746572675162,63912.11560357244,2,2,[]
地块Block_64,805.1130436806695,39383.71056023615,0,0,[]
地块Block_65,924.4300286541948,47463.42127930046,0,0,[]
地块Block_66,493.76241034110814,13501.069012279282,0,1,[]
地块Block_67,2340.1724545824673,192569.70036182803,1,1,[]
地块Block_68,1807.6862000183025,119152.35070610514,0,0,[]
地块Block_69,593.4645635687839,1913.3371732149483,0,0,[]
地块Block_70,2199.737530616607,13452.18134019489,0,0,[]
地块Block_71,2207.36212473355,20186.924977336952,0,0,[]
地块Block_72,922.7322320486592,9047.89718724416,0,0,[]
地块Block_73,278.0864049846479,845.4523751712709,0,0,[]
地块Block_74,162.85426697504008,917.7447307393105,0,0,[]
地块Block_75,151.7632313018583,1008.8818450805064,0,0,[]
地块Block_76,992.0717970144027,55717.447804194286,0,0,[]
地块Block_77,704.9977171110511,31584.23417112218,0,0,[]
地块Block_78,2187.130200094465,14914.376215656655,0,0,[]
地块Block_79,1727.9603037313334,173815.36597563708,1,1,[]
地块Block_80,696.9321382589139,6713.163016971015,0,0,[]
地块Block_81,575.2922144682018,1525.8930703972624,0,0,[]
地块Block_82,1044.704292082723,3001.9218069108992,0,0,[]
地块Block_83,734.2180247298313,29781.320165806046,1,1,[]
地块Block_84,1310.1334963356487,100792.5250247895,0,0,[]
地块Block_85,650.1290173869011,24403.182543187133,0,0,[]
地块Block_86,850.641357532643,46926.67496306281,0,0,[]
