地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,118054.4768641105,148069.95370267058,7,9,[]
地块Block_1,1763.034947428716,147062.3893598776,3,37,[]
地块Block_2,2618.228980856491,189133.3652280764,2,25,[]
地块Block_3,3382.508483934877,539619.7975660999,15,122,[]
地块Block_4,6068.903112562999,563560.0869081245,5,91,[]
地块Block_5,1883.9709778650797,138246.6555140503,4,31,[]
地块Block_6,1174.9240217131544,66248.52410820211,0,0,[]
地块Block_7,928.481109243567,52183.98296878315,2,2,[]
地块Block_8,633.892521855244,18507.17684999751,0,0,[]
地块Block_9,606.6106207782168,19998.25902884937,0,0,[]
地块Block_10,3031.8369801163,374180.68687178637,2,26,[]
地块Block_11,1139.1758604224497,40274.06928972427,1,9,[]
地块Block_12,2613.6779606427986,215273.93918511912,2,55,[]
地块Block_13,737.7878705997496,29410.657984102465,0,3,[]
地块Block_14,1490.4027395788917,103455.36185807038,2,30,[]
地块Block_15,3513.194402056134,407456.1662704316,8,61,[]
地块Block_16,1980.5402575082915,224617.8423378474,4,71,[]
地块Block_17,1193.6561163007175,62489.19494312581,3,10,[]
地块Block_18,3053.767774580645,49282.29549862061,0,0,[]
地块Block_19,1676.8968663644434,111471.47183810528,1,39,[]
地块Block_20,2520.6675276121446,54483.62505691777,0,0,[]
地块Block_21,350.4321341719098,4052.4448777867865,0,0,[]
地块Block_22,1540.6026750800254,50171.98972371075,0,0,[]
地块Block_23,707.7982642263607,31015.861358607886,3,3,[]
地块Block_24,506.834673427554,12717.623854269286,0,0,[]
地块Block_25,973.2151123867253,7228.271772615428,0,0,[]
地块Block_26,2145.648635191286,112702.11677450826,0,0,[]
地块Block_27,847.2099373696993,35951.95991986452,0,0,[]
地块Block_28,491.55938004078143,14647.022401715876,0,0,[]
地块Block_29,268.9922103848431,3479.302238696413,0,0,[]
地块Block_30,192.60104838643178,1425.6845191533805,0,0,[]
地块Block_31,804.8369537651414,40504.14677280152,2,3,[]
地块Block_32,826.1270338207327,35789.88425957247,0,8,[]
地块Block_33,1256.7725719175417,97219.5766308331,0,7,[]
地块Block_34,443.83403735909064,12717.746131086415,0,4,[]
地块Block_35,775.991852146541,32963.00028970206,2,10,[]
地块Block_36,507.02101905260014,15856.200356660982,3,9,[]
地块Block_37,479.63210778363793,13087.675452347024,1,7,[]
地块Block_38,884.2684417917814,43755.70990491583,3,14,[]
地块Block_39,617.8095129724155,23804.378636960293,0,6,[]
地块Block_40,1044.4349820909363,63093.759542466905,0,28,[]
地块Block_41,1321.2575964766927,88527.33980519431,4,24,[]
地块Block_42,1476.0799656507327,68419.25931005574,2,22,[]
地块Block_43,2321.0939331493896,289153.32663655316,6,90,[]
地块Block_44,4096.655748606255,676463.8803091681,44,255,[]
地块Block_45,569.3804887673815,20211.776723404808,1,1,[]
地块Block_46,1132.2977051150015,71104.80136663225,2,6,[]
地块Block_47,1532.003239905753,150173.6532168625,2,34,[]
地块Block_48,1113.3145480914195,75736.45527211975,3,16,[]
地块Block_49,3123.2812062239295,333377.4330919161,6,46,[]
地块Block_50,899.6926054068928,49155.930972291004,4,4,[]
地块Block_51,637.5100713456367,21940.41276320571,0,0,[]
地块Block_52,392.40302597359795,1176.2473414973017,0,0,[]
地块Block_53,1065.558151313232,36808.751416589155,1,1,[]
地块Block_54,566.7168931004982,19422.748840155087,0,7,[]
地块Block_55,789.2105450340927,36680.753142151996,1,7,[]
地块Block_56,541.2956232633414,2213.640234327179,0,0,[]
地块Block_57,718.5192004023723,16669.385410106017,4,5,[]
地块Block_58,361.7910352616351,3215.4781140091172,0,1,[]
地块Block_59,351.18705815428234,1900.4845039694455,0,0,[]
地块Block_60,650.0124240173299,25672.829448957928,1,2,[]
地块Block_61,367.668704439457,7717.670290806839,1,1,[]
地块Block_62,935.0499232461606,55364.65057234311,4,17,[]
地块Block_63,595.4031439174195,21828.9473714726,2,4,[]
地块Block_64,889.4141675599033,49265.742132700136,0,10,[]
地块Block_65,709.8606816020589,27892.284556647704,0,6,[]
地块Block_66,1972.6515102244177,192538.17483840446,3,51,[]
地块Block_67,991.2936682769268,46225.94934031054,0,2,[]
地块Block_68,697.3232460868138,28550.656067036274,0,11,[]
地块Block_69,1462.5859251243182,128773.15142616734,1,38,[]
地块Block_70,681.6804046597642,817.0909602794536,0,0,[]
