地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,119522.78094209665,151643.06006145864,12,12,[]
地块Block_1,1814.3446512181283,175790.64242546578,0,21,[]
地块Block_2,1869.1981543283885,33623.29744385744,0,15,[]
地块Block_3,4649.029750682111,156908.73952933453,9,37,[]
地块Block_4,2655.224930241639,305291.7600407898,10,12,[]
地块Block_5,3851.4687119750374,137120.53547821703,1,3,[]
地块Block_6,1667.3437895039879,133147.31236997095,2,4,[]
地块Block_7,690.5675854034594,29436.598581072816,4,18,[]
地块Block_8,765.7912490582075,34905.86918258164,10,13,[]
地块Block_9,764.5131839423786,33917.06984976377,2,5,[]
地块Block_10,2899.5299110490223,170442.3412387676,45,58,[]
地块Block_11,1435.7867666459395,87617.53081104001,9,10,[]
地块Block_12,374.87086015408386,1371.5417153419999,0,0,[]
地块Block_13,189.79055380681706,2185.454887515177,0,0,[]
地块Block_14,1229.9315086516683,98313.09503504432,0,5,[]
地块Block_15,706.1874011340082,3172.6460444993186,0,0,[]
地块Block_16,170.92240099058046,2303.3186055553947,0,0,[]
地块Block_17,653.4667241887581,27191.372611062357,0,8,[]
地块Block_18,1810.1190721198443,184261.53060391225,2,12,[]
地块Block_19,1412.522608800247,121725.22426938929,0,3,[]
地块Block_20,329.0044392013826,1416.9809783540513,0,0,[]
地块Block_21,540.8875183820071,18276.262098333824,0,1,[]
地块Block_22,498.6812872362995,16149.94193462844,0,2,[]
地块Block_23,828.0012123297445,4233.893992359301,0,0,[]
地块Block_24,731.3728969872801,25324.798416752295,0,0,[]
地块Block_25,208.12841328669126,902.3405256518918,0,0,[]
地块Block_26,322.5482890256141,1499.1600027630966,0,0,[]
地块Block_27,207.0474819018388,894.6015999829848,0,0,[]
地块Block_28,557.4533768779356,18924.18725830576,0,1,[]
地块Block_29,582.8270133035761,20971.560822337626,0,1,[]
地块Block_30,637.5300174147751,24807.296384028647,0,1,[]
地块Block_31,302.3202378726063,979.919183700449,0,0,[]
地块Block_32,1314.849048078998,71418.91680441362,5,5,[]
地块Block_33,1148.2243851190728,23849.82969229141,0,0,[]
地块Block_34,1058.5949928954105,54613.06146351927,6,6,[]
地块Block_35,2087.4726178056585,146059.7255710434,0,13,[]
地块Block_36,288.55428270258494,4797.241905530721,0,0,[]
地块Block_37,1271.948054828406,63612.30361272254,10,10,[]
地块Block_38,417.83084261850706,7855.178022784392,0,0,[]
地块Block_39,413.3126388791695,5839.721881850687,0,0,[]
地块Block_40,440.65084236805444,7056.685350699112,0,0,[]
地块Block_41,251.18819807023394,875.8495908914304,0,0,[]
地块Block_42,301.78078819452224,3438.4049002132024,0,0,[]
地块Block_43,246.1080653068944,1069.2529063599213,0,0,[]
地块Block_44,304.5019939593135,1156.8183296698298,0,0,[]
地块Block_45,228.31165776087988,2407.8390573509096,0,0,[]
地块Block_46,253.5808711083913,1163.220793482954,0,0,[]
地块Block_47,264.7405285228126,3231.8543925168988,0,0,[]
地块Block_48,233.19281098400114,2095.344289617334,0,0,[]
地块Block_49,319.9339454581649,6467.58833580439,0,0,[]
地块Block_50,1207.2204105498004,86338.03224734133,0,10,[]
地块Block_51,474.1715930269288,12230.755509089002,0,0,[]
地块Block_52,173.5669843107834,2385.979814484946,0,0,[]
地块Block_53,473.45434527818213,11880.536663717126,0,0,[]
地块Block_54,1752.5558873243801,136450.8282447051,5,6,[]
地块Block_55,1111.5791199379407,69430.66010407299,2,8,[]
地块Block_56,407.73478859354657,1484.81793336376,0,0,[]
地块Block_57,701.1448918066943,30712.98534495303,4,16,[]
地块Block_58,672.3284170360586,28215.15401086196,5,17,[]
地块Block_59,691.2377122681276,24078.992784767426,0,0,[]
地块Block_60,1773.2499595205493,168330.8321631629,2,15,[]
地块Block_61,1175.5541298079902,86984.05460789216,0,8,[]
地块Block_62,2629.721231892494,241501.76458576546,1,29,[]
地块Block_63,2236.551276106745,21068.879823526586,0,1,[]
地块Block_64,2845.87917476664,358901.8478522144,0,2,[]
地块Block_65,1450.1856238013652,35534.549275283454,0,0,[]
地块Block_66,3247.4094146942552,627705.6768598113,3,11,[]
地块Block_67,789.1047828392107,38946.896252124534,0,0,[]
地块Block_68,1669.1501299284737,14803.030780977162,0,0,[]
地块Block_69,2028.9664720402009,20357.401165210205,0,0,[]
地块Block_70,149.86631878601514,1185.6413270204423,0,0,[]
地块Block_71,779.1757584336127,6785.0162115468775,0,0,[]
地块Block_72,2466.6360911828706,313228.13024460606,4,5,[]
地块Block_73,1814.9604872959799,18210.446683087357,0,1,[]
地块Block_74,1502.5474357094022,139723.26367475447,0,6,[]
地块Block_75,1757.6128520827044,186795.01464948023,0,0,[]
地块Block_76,757.2483122492722,4427.9833658263415,0,0,[]
地块Block_77,1427.1628219817253,127046.89278256068,0,0,[]
地块Block_78,2874.742978782252,461702.0873001697,0,6,[]
地块Block_79,133.74079936261,659.6467035860452,0,0,[]
地块Block_80,1650.270163521831,33825.8400118848,0,0,[]
地块Block_81,1178.9812059429428,28662.761640249642,0,0,[]
地块Block_82,1390.6408964638788,117176.85123515192,0,0,[]
地块Block_83,1501.5159018296374,134938.88713755208,0,2,[]
地块Block_84,1652.5945282445753,169637.98851523775,0,6,[]
地块Block_85,1809.355344234991,203528.27959218007,0,1,[]
地块Block_86,881.4936613098475,5179.386837926412,0,0,[]
地块Block_87,1487.7492770033919,137088.9268090294,0,0,[]
