地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,123659.83790258583,156726.91466872673,1,1,[]
地块Block_1,1059.9260468131954,66694.97860656233,0,0,[]
地块Block_2,1708.1531365401543,170191.22755730827,0,0,[]
地块Block_3,1298.1142170337387,68259.5404214391,1,1,[]
地块Block_4,1067.728983030203,11023.871084983371,0,0,[]
地块Block_5,1233.0006251633743,68673.70601258174,1,1,[]
地块Block_6,1070.1628478082782,70802.00111938315,1,1,[]
地块Block_7,1038.1949729216458,65987.13069509626,0,0,[]
地块Block_8,538.3179949208351,4184.67459710574,0,0,[]
地块Block_9,2857.637926777641,234430.20365165002,1,1,[]
地块Block_10,786.6924006275175,34798.87232170535,1,2,[]
地块Block_11,1248.060229762819,10188.362214305305,0,1,[]
地块Block_12,2418.8894025858863,340242.2447788627,3,5,[]
地块Block_13,1042.4256001937588,4125.408908681757,0,0,[]
地块Block_14,2600.4445583133274,363116.5303199615,0,16,[]
地块Block_15,838.9080511754853,3148.5163384769608,0,0,[]
地块Block_16,1228.8321573301525,64412.98500636767,1,1,[]
地块Block_17,992.4742971261817,12087.91484941309,0,0,[]
地块Block_18,762.3168924472569,6616.177349567619,0,0,[]
地块Block_19,2170.973039207085,214743.74854687313,0,0,[]
地块Block_20,1646.5166273542138,119642.87614408563,0,0,[]
地块Block_21,1461.9702060934649,12639.797309487518,0,0,[]
地块Block_22,3123.122214669755,371827.6849095884,2,4,[]
地块Block_23,2275.778923461027,18157.409080374586,0,1,[]
地块Block_24,6670.465999474761,1095446.8814842126,21,24,[]
地块Block_25,2484.4907018004283,8341.584246112889,0,0,[]
地块Block_26,2109.430951696868,11619.827354848601,0,0,[]
地块Block_27,1078.158770320214,5163.703534201766,0,0,[]
地块Block_28,516.8752418574479,2617.965802870912,0,0,[]
地块Block_29,1059.1349930612084,72059.70423801125,0,0,[]
地块Block_30,1062.5018961969429,69763.37200601256,0,0,[]
地块Block_31,321.1633400621197,5720.604274161299,0,0,[]
地块Block_32,354.25110950788365,8356.224352568337,0,0,[]
地块Block_33,298.3721251297768,5628.778229164128,0,0,[]
地块Block_34,414.7896234704594,10040.380295657591,0,0,[]
地块Block_35,270.82864848573587,3541.0048158772984,0,1,[]
地块Block_36,339.9165167681231,7121.3900164104825,0,2,[]
地块Block_37,518.2995485966657,4498.448128595708,0,1,[]
地块Block_38,1492.9611162970357,4646.55387267395,0,0,[]
地块Block_39,677.0624504208968,7290.557971112712,0,0,[]
地块Block_40,978.7810855158868,49807.90672857283,0,0,[]
地块Block_41,2701.1276197936368,135529.09712798745,2,2,[]
地块Block_42,2761.6173888008634,197291.22532148357,1,1,[]
地块Block_43,738.3078374074805,35209.7162399003,0,0,[]
地块Block_44,1113.5556947737327,64340.395276738986,0,0,[]
地块Block_45,349.41259256964446,2895.639452344761,0,0,[]
地块Block_46,1875.4168094553354,204075.64992457817,0,1,[]
地块Block_47,299.8815702120578,1203.0635620476942,0,0,[]
地块Block_48,1059.5143449549473,69209.83309452306,2,2,[]
地块Block_49,1321.5261666231138,106647.40655142814,0,0,[]
地块Block_50,589.9177408943276,5523.146124195512,0,0,[]
地块Block_51,739.4079544562106,3164.784152216399,0,0,[]
地块Block_52,317.3738653182314,1571.5447916584933,0,0,[]
地块Block_53,309.0062014303148,1140.6736001516929,0,0,[]
地块Block_54,516.4032747690106,2217.062329326569,0,0,[]
地块Block_55,332.5695710715529,2791.238582122071,0,0,[]
地块Block_56,939.1519455011431,45717.942632318765,0,0,[]
地块Block_57,688.2750762795147,2352.0225958480187,0,0,[]
地块Block_58,963.2364704801676,48144.53713394486,0,0,[]
地块Block_59,280.59412253693176,1044.9226362508557,0,0,[]
地块Block_60,682.3900515608439,2550.592882183461,0,0,[]
地块Block_61,1001.5712888131536,59152.917412557865,0,9,[]
地块Block_62,651.739276060027,3964.5597665227274,0,0,[]
地块Block_63,1129.8074133801938,4413.083957438712,0,0,[]
地块Block_64,533.6171100346888,17706.125083368348,0,1,[]
地块Block_65,595.0709827981678,3766.8178937508965,0,0,[]
地块Block_66,265.3897578714678,2642.64090267871,0,0,[]
地块Block_67,200.80074233897216,1326.6333284528391,0,0,[]
地块Block_68,224.18168894945333,1131.755409482468,0,0,[]
地块Block_69,894.2258817339117,5868.3837442929635,0,0,[]
地块Block_70,3986.106904540559,62809.89968996683,0,0,[]
地块Block_71,3269.96558404322,650271.8489062642,0,1,[]
地块Block_72,1328.1579280688636,10093.940974485591,0,1,[]
地块Block_73,2953.039010760496,427016.18002648745,2,3,[]
地块Block_74,780.4580839147727,1479.1222077334623,0,0,[]
地块Block_75,2325.995948702079,13688.435813733653,0,0,[]
地块Block_76,409.56989967092153,1642.9564988892594,0,0,[]
地块Block_77,1181.4566963871848,15595.092400589789,0,0,[]
地块Block_78,1140.8164569466228,6550.535155648551,0,0,[]
地块Block_79,1084.1606302113125,1863.20264676668,0,0,[]
地块Block_80,917.9398739700327,2786.8834960935174,0,0,[]
地块Block_81,1026.9613417379705,54451.34423960396,0,0,[]
地块Block_82,975.2723157640062,47720.87675692635,0,0,[]
地块Block_83,466.7454918676422,3194.792565866561,0,0,[]
地块Block_84,194.44851388603206,1274.156180364608,0,0,[]
地块Block_85,1321.9618985209736,8467.760223933772,0,2,[]
地块Block_86,4262.936569882262,5473.942689172634,0,0,[]
地块Block_87,343.9570816071669,7193.567744511602,0,0,[]
地块Block_88,751.9565304874496,38583.27538001773,0,0,[]
地块Block_89,365.1947794369503,5592.797409109272,0,0,[]
地块Block_90,403.67037966003045,9266.022873474793,0,0,[]
地块Block_91,459.61377984090535,10145.319235052968,0,0,[]
