地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,30088.708512980134,37945.064950359265,0,0,[]
地块Block_1,5022.041092838529,1240846.9827843206,0,0,[]
地块Block_2,959.3075230565214,51275.91530040048,0,0,[]
地块Block_3,925.3031947761923,50902.54538326122,0,0,[]
地块Block_4,441.75447185429186,4419.654876086617,0,0,[]
地块Block_5,828.3691900373735,38986.34219845886,0,0,[]
地块Block_6,1285.6952087841357,99842.37640338566,0,0,[]
地块Block_7,1796.5517139001433,66584.39904339348,0,0,[]
地块Block_8,689.6726218657625,28529.3099828805,0,0,[]
地块Block_9,1243.10694952642,87265.09263909893,0,0,[]
地块Block_10,849.004696899586,6583.224195252615,0,0,[]
地块Block_11,306.0107208677421,2129.7826249984855,0,0,[]
地块Block_12,586.5111529065884,3834.4534361168426,0,0,[]
地块Block_13,1512.8583387952724,132812.79365506457,0,18,[]
地块Block_14,999.703514231255,9913.296999685012,0,0,[]
地块Block_15,559.9175630628838,4577.156043776327,0,0,[]
地块Block_16,607.4779959823534,4096.937328203509,0,0,[]
