地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,82398.38389547016,105551.31550462659,5,5,[]
地块Block_1,1173.7750980205456,10518.277553500044,0,0,[]
地块Block_2,4904.971555022939,680138.3907077658,13,41,[]
地块Block_3,1301.8588438124268,7693.409024324743,0,0,[]
地块Block_4,2498.0128141481546,38018.89936258722,0,0,[]
地块Block_5,2195.437910740244,35072.525859219015,0,1,[]
地块Block_6,4497.859079687641,691202.2976363369,4,17,[]
地块Block_7,1188.3452931099027,64224.6184812277,0,19,[]
地块Block_8,4446.638791182225,539572.0479397122,10,65,[]
地块Block_9,368.4068225751358,7386.792981927489,0,1,[]
地块Block_10,628.1341767080227,20444.2160594697,0,10,[]
地块Block_11,900.2419528136758,42654.4974280827,1,7,[]
地块Block_12,688.9891335236204,30063.18546392058,0,18,[]
地块Block_13,1707.6377290704186,27798.48305593595,0,0,[]
地块Block_14,532.5932172511939,2050.592824151834,0,0,[]
地块Block_15,480.1710175308745,1516.6891419009457,0,0,[]
地块Block_16,640.0195433214702,2655.867592581238,0,0,[]
地块Block_17,726.4715776755471,2823.826811441074,0,0,[]
地块Block_18,178.53614987217287,1792.6638938078659,0,0,[]
地块Block_19,817.4662228105298,33679.44494010038,1,12,[]
地块Block_20,385.05984799905514,9061.467660520646,0,4,[]
地块Block_21,476.65717128003126,4095.6129860121005,0,0,[]
地块Block_22,737.787870601027,29410.65798414991,0,3,[]
地块Block_23,973.2151123864681,7228.2717726078345,0,0,[]
地块Block_24,2145.648635174556,112702.11652758782,0,0,[]
地块Block_25,847.2099373696993,35951.95991986451,0,0,[]
地块Block_26,1626.8019480371747,159177.63612284113,3,7,[]
地块Block_27,2642.016069325463,12569.224778457468,0,0,[]
地块Block_28,932.6953704371429,5432.616418489716,0,0,[]
地块Block_29,350.4321341719098,4052.444877786786,0,0,[]
地块Block_30,1143.1264177587962,5213.508574249622,0,0,[]
地块Block_31,1151.3998532442126,5873.846604677084,0,0,[]
地块Block_32,1152.7998620496473,6405.574958204925,0,0,[]
地块Block_33,1308.5146379925425,5662.149756989466,0,0,[]
地块Block_34,807.4487132635213,6845.193987678414,0,0,[]
地块Block_35,707.7982642288598,31015.861358697293,3,3,[]
地块Block_36,506.8346734275731,12717.624469315178,0,0,[]
地块Block_37,1540.6026750824876,50171.99041045164,0,0,[]
地块Block_38,192.60104836828089,1425.6845178219821,0,0,[]
地块Block_39,804.8369537651577,40504.14677280151,2,3,[]
地块Block_40,1174.924021715312,66248.52410772677,0,0,[]
地块Block_41,826.1270338207029,35789.88425945095,0,8,[]
地块Block_42,268.9922103848431,3479.3022386964126,0,0,[]
地块Block_43,491.5593676903448,14647.022141966227,0,0,[]
地块Block_44,606.6106207781739,19998.259027651056,0,0,[]
地块Block_45,566.7168931004982,19422.748840155087,0,7,[]
地块Block_46,633.892521855244,18507.17684999751,0,0,[]
地块Block_47,789.2105450340814,36680.75313755386,1,7,[]
地块Block_48,580.9324423091582,686.0036153466634,0,0,[]
