地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,140587.0099575125,179583.89738754992,7,7,[]
地块Block_1,629.410934467636,6133.237670371119,0,0,[]
地块Block_2,1379.855110320401,115811.70708527789,2,5,[]
地块Block_3,1283.8609881990103,101681.39492564887,0,8,[]
地块Block_4,730.5567152733931,4393.096452871097,0,0,[]
地块Block_5,1443.3384357663533,126046.34536976252,1,6,[]
地块Block_6,679.7035941407169,7702.87269852058,0,1,[]
地块Block_7,1892.0677643370475,97189.95801931575,1,1,[]
地块Block_8,1005.5488601847785,62547.59952835463,2,6,[]
地块Block_9,882.6242273739604,48380.98026516868,0,3,[]
地块Block_10,1887.8764471645218,114484.18192986437,0,6,[]
地块Block_11,583.1802929678772,3235.323978951676,0,0,[]
地块Block_12,2256.571626780984,160650.82361428853,0,6,[]
地块Block_13,1212.2870535736752,6896.611325351736,0,0,[]
地块Block_14,1435.292355912529,128590.00259813918,1,23,[]
地块Block_15,1293.9939506238156,102619.06554292492,1,2,[]
地块Block_16,108.01997259154882,725.7771529534227,0,0,[]
地块Block_17,841.339306736661,9964.267905734705,0,0,[]
地块Block_18,1909.8905251280485,220854.34915597423,1,3,[]
地块Block_19,1975.5141967248037,239266.74879561673,0,0,[]
地块Block_20,874.2987685549388,6997.041577659501,0,0,[]
地块Block_21,639.9749064891603,4024.2172471149306,0,0,[]
地块Block_22,2026.4204117867234,254511.3932641298,0,3,[]
地块Block_23,947.5051332919522,12987.463079499546,0,0,[]
地块Block_24,1226.1506050703392,75170.30738840782,0,2,[]
地块Block_25,1782.9157441707112,133072.3774702039,0,7,[]
地块Block_26,1413.798653666044,119766.26345321054,0,13,[]
地块Block_27,867.6340597867533,6616.65780064612,0,1,[]
地块Block_28,2031.2236772380402,253332.57571007745,0,1,[]
地块Block_29,1121.0448667532103,78421.94963840613,0,0,[]
地块Block_30,703.2445467902587,4208.11852329226,0,0,[]
地块Block_31,1601.3359717703572,11175.52506381216,0,0,[]
地块Block_32,1177.199155398157,70292.3859753073,1,4,[]
