地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,112535.44676399088,142388.88034102757,7,8,[]
地块Block_1,809.5896264516746,3104.9711222280425,0,0,[]
地块Block_2,1853.8225857947252,160189.67542307213,6,7,[]
地块Block_3,1483.6758658064334,6259.452494561334,0,0,[]
地块Block_4,1929.7857880389474,194575.39243225814,6,9,[]
地块Block_5,540.3608712360723,12794.365572215002,0,1,[]
地块Block_6,948.7901694179466,48123.521406077234,0,4,[]
地块Block_7,761.3757823829712,34988.13466428948,0,0,[]
地块Block_8,1185.6794940178231,75964.80401710121,0,4,[]
地块Block_9,3510.364451816118,441287.4935497367,26,94,[]
地块Block_10,1172.8391793769367,87750.48525584444,9,17,[]
地块Block_11,1022.081131961471,65596.00836667109,2,30,[]
地块Block_12,1916.4153443273094,209835.726215712,8,53,[]
地块Block_13,2644.4308321122794,475960.3204385987,9,26,[]
地块Block_14,1647.6167505406504,139244.46666349558,8,11,[]
地块Block_15,453.61070948823397,2172.8906099370206,0,0,[]
地块Block_16,823.6688819604518,34093.37731021947,2,3,[]
地块Block_17,1154.760499447563,62814.29340790407,0,0,[]
地块Block_18,2473.456273346504,211243.3934687337,3,6,[]
地块Block_19,3037.286147173812,550292.4417492446,10,18,[]
地块Block_20,1890.3564390556623,147172.18604898985,0,0,[]
地块Block_21,1320.8639030034801,94661.8095958847,1,2,[]
地块Block_22,691.9521912626873,27993.56676093111,0,0,[]
地块Block_23,690.592430285031,27726.484862688812,0,0,[]
地块Block_24,408.9029697951797,8974.581411058898,1,1,[]
地块Block_25,1064.8210509796263,52198.26118296021,0,0,[]
地块Block_26,702.7665392143018,23018.376641769766,0,0,[]
地块Block_27,677.8228448861848,20926.26407712709,0,0,[]
地块Block_28,633.2410416675013,22216.83958303064,0,0,[]
地块Block_29,680.7711204183925,23498.411959861638,0,10,[]
地块Block_30,787.0418348504861,8898.762407278677,0,0,[]
地块Block_31,411.6496635868814,8931.762534296817,0,2,[]
地块Block_32,1138.9075808492898,61485.57730121348,0,0,[]
地块Block_33,953.9603701195834,46560.85048218703,1,1,[]
地块Block_34,654.2267793805665,24980.979222846618,0,0,[]
地块Block_35,132.4849924813945,1385.8939664611614,0,0,[]
地块Block_36,664.901792413124,25057.662990149132,0,0,[]
地块Block_37,182.28404678466407,2557.214443043574,0,1,[]
地块Block_38,807.5144061767597,33465.09782839065,0,0,[]
地块Block_39,1385.0990511974621,102589.57668872672,1,1,[]
地块Block_40,1224.0763422237437,76244.86745410819,0,0,[]
地块Block_41,457.22682317817817,9612.337721988575,0,0,[]
地块Block_42,374.6756015886018,1667.8341521627824,0,0,[]
地块Block_43,445.9011883974957,2499.8338814493723,0,0,[]
地块Block_44,2055.8384719810333,219557.38324278363,1,15,[]
地块Block_45,1922.6363355209683,190921.6909502595,15,29,[]
地块Block_46,681.7177689624816,26929.180369202404,2,2,[]
地块Block_47,655.8174917261613,22666.386605401964,0,0,[]
地块Block_48,913.9577451854948,42470.37868004416,0,1,[]
地块Block_49,2111.350154148099,272256.18589502416,35,104,[]
地块Block_50,945.5410039765367,2415.1146510411477,0,0,[]
地块Block_51,3932.1725354337495,545508.0552960596,14,24,[]
地块Block_52,1140.616661885593,6085.110070321582,0,1,[]
地块Block_53,2378.27270024731,149381.38746248087,5,14,[]
地块Block_54,532.1256451708297,21986.687953319153,2,3,[]
地块Block_55,1195.640925961213,57199.880328270665,2,2,[]
地块Block_56,1013.5803653769668,3553.030850870419,0,0,[]
地块Block_57,1056.6597583806965,51878.38064011453,0,2,[]
地块Block_58,663.8764373092703,25899.892773072384,0,0,[]
地块Block_59,850.2732910405695,44428.26734956501,0,0,[]
地块Block_60,1772.2550370397255,146628.1887072608,10,11,[]
地块Block_61,191.7743694896097,1368.852869010865,0,0,[]
地块Block_62,781.7213721883778,32358.85704789419,1,4,[]
地块Block_63,841.180077818965,2133.8607414518833,0,0,[]
地块Block_64,1253.966708582404,7068.2924844267545,0,0,[]
地块Block_65,1499.9158230043286,7733.638393339542,0,0,[]
地块Block_66,1127.0641338038129,2091.379842420144,0,0,[]
地块Block_67,371.8259066316184,6002.04067258504,0,0,[]
地块Block_68,379.16910872196956,6620.528266357568,0,1,[]
地块Block_69,1127.0965039863531,3012.142211933635,1,1,[]
地块Block_70,1159.1922406201372,7427.78773976088,2,2,[]
地块Block_71,1020.2715776718668,6030.4263232086705,0,1,[]
地块Block_72,1648.43439194822,124202.0535512481,2,12,[]
地块Block_73,1199.8714613701234,52517.16768714546,2,11,[]
地块Block_74,242.78971761709147,1650.087054808957,0,1,[]
地块Block_75,1872.7346042676809,207002.25055998063,12,34,[]
地块Block_76,2321.71428460841,251704.34267583716,2,12,[]
地块Block_77,329.222207383646,7000.012491703277,1,1,[]
