地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,120740.27064850219,153403.64695627886,5,5,[]
地块Block_1,1742.2200699061982,184030.022436702,0,0,[]
地块Block_2,1580.2561544320306,157233.98382568042,0,49,[]
地块Block_3,1470.4031608704333,125022.94620007418,1,38,[]
地块Block_4,1786.0402353446018,184724.5667990383,6,8,[]
地块Block_5,2577.1238094483274,193247.0969984618,11,16,[]
地块Block_6,817.3102470088531,7853.334887801664,0,1,[]
地块Block_7,1818.7596703650634,146062.9910708772,0,23,[]
地块Block_8,932.9276256241639,52371.26170046292,0,20,[]
地块Block_9,1057.3717567465346,10623.834218029091,0,1,[]
地块Block_10,1075.2276432264116,71109.05424492726,0,13,[]
地块Block_11,994.5835496547874,55036.74712033929,0,25,[]
地块Block_12,2432.1655932719736,339955.6756234921,3,77,[]
地块Block_13,1488.2357013454716,125482.0363282385,0,14,[]
地块Block_14,1907.531630586315,145998.75647950964,0,60,[]
地块Block_15,1372.8617244424568,110726.77148074516,0,0,[]
地块Block_16,1594.2531016848718,157046.38171053276,0,1,[]
地块Block_17,2527.6770661989144,239957.55270670107,0,40,[]
地块Block_18,1348.376222460243,112031.38127936867,0,21,[]
地块Block_19,1371.0503735157622,14640.715211245195,0,0,[]
地块Block_20,1917.3672755866207,203885.63563876928,1,24,[]
地块Block_21,4023.822470137743,379213.2040583882,0,31,[]
地块Block_22,1030.6470352553854,13703.427239588487,0,0,[]
地块Block_23,2263.119192389432,200926.31433169532,0,16,[]
地块Block_24,1006.3285871982157,5915.553207363315,0,0,[]
地块Block_25,1727.2100921367835,173402.91120243256,27,28,[]
地块Block_26,1026.3574937243677,16335.350080979646,0,0,[]
地块Block_27,1491.839644395746,125874.67753120036,0,1,[]
地块Block_28,776.025265201878,3862.4311213252195,0,0,[]
地块Block_29,1147.6798611028116,68775.27882666513,2,7,[]
地块Block_30,476.6482457128549,2500.362872659516,0,0,[]
地块Block_31,699.3826148826581,2856.6240441141654,0,0,[]
地块Block_32,404.95865232929486,4751.4436274124455,0,0,[]
地块Block_33,575.5414296428595,3357.170351854874,0,0,[]
地块Block_34,1453.425695614756,10950.443646953168,0,0,[]
地块Block_35,595.2884135440183,3123.8808921953155,0,0,[]
地块Block_36,993.0272214051511,5352.8037634826715,0,0,[]
地块Block_37,1042.099475648287,66525.84800613754,0,21,[]
地块Block_38,1578.1363192262058,141854.90991267838,1,6,[]
地块Block_39,222.1330170066511,1519.0983084619036,0,0,[]
地块Block_40,1498.7504139860048,10367.109835474665,0,0,[]
地块Block_41,912.1181442691311,5006.847503090623,0,0,[]
地块Block_42,854.1792917299805,5943.0074619570605,0,0,[]
地块Block_43,885.9628155475816,42840.773939516184,0,16,[]
地块Block_44,1013.8967987196663,63518.35370934038,0,2,[]
地块Block_45,4292.244880400442,180406.41777466203,3,34,[]
地块Block_46,1848.4586182806431,178235.18183649442,0,0,[]
地块Block_47,2204.483915589313,267971.85101149743,2,2,[]
地块Block_48,2252.2342985787445,316002.2782734395,3,5,[]
地块Block_49,182.5811679942036,1919.5365964134503,0,1,[]
地块Block_50,174.87404160868687,1829.6269656419659,0,1,[]
地块Block_51,173.33168374524655,1848.0432352178577,1,2,[]
地块Block_52,1045.072336430157,65323.23131121699,1,29,[]
地块Block_53,918.9790799879471,51141.918246615634,0,22,[]
地块Block_54,2131.779511278907,283734.25459592836,2,3,[]
地块Block_55,1043.2181859384455,10974.8262821485,0,0,[]
地块Block_56,1427.830026514152,115526.8855795601,0,44,[]
地块Block_57,1548.8455566386674,114218.93607597634,1,31,[]
地块Block_58,735.63740303978,34590.70051483632,0,19,[]
地块Block_59,1021.7806919305372,65707.54749486878,1,23,[]
地块Block_60,1083.9522873376902,73506.16195763575,0,13,[]
地块Block_61,457.292653928168,9816.792024858012,0,5,[]
地块Block_62,1266.9079795532082,102518.15412214634,0,30,[]
地块Block_63,961.1863693667628,57661.85283806351,0,20,[]
地块Block_64,1251.2076656974084,92590.87768592437,2,48,[]
地块Block_65,697.3091164322053,28982.74611444534,0,9,[]
地块Block_66,320.51983431486553,5868.605239505512,0,0,[]
地块Block_67,378.3826731725401,3270.384429811708,0,0,[]
地块Block_68,1309.4133383589806,12397.823074582398,0,0,[]
