地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,50373.69825664687,64202.61837876404,0,0,[]
地块Block_1,3828.0419617351913,906076.2116983425,0,0,[]
地块Block_2,1739.4264174425987,16880.20736539448,0,0,[]
地块Block_3,2961.0325978422597,527102.695481366,0,0,[]
地块Block_4,1443.4949441918332,18957.595532995652,0,0,[]
地块Block_5,3208.5166732381786,371244.2235615094,0,0,[]
地块Block_6,1076.944433879714,5716.757241103742,0,0,[]
地块Block_7,1835.329728243668,24060.291918052022,0,1,[]
地块Block_8,117.7956580357784,827.0956988635974,0,0,[]
地块Block_9,751.7186061941119,2232.3671816321644,0,0,[]
地块Block_10,753.6026805520651,7192.112637948182,0,0,[]
地块Block_11,1582.262655854457,7025.299350921887,0,0,[]
地块Block_12,617.9013308249106,3710.009364014569,0,0,[]
地块Block_13,1320.3695662861783,12137.6183380816,0,0,[]
地块Block_14,1905.2847014417468,189775.06767496816,0,0,[]
地块Block_15,136.3067342833665,1002.7864249712443,0,0,[]
地块Block_16,583.1538666067395,7981.098496513759,0,0,[]
地块Block_17,1871.7749897216581,24687.017369059955,0,1,[]
地块Block_18,2868.1366481127675,471437.5839633699,0,0,[]
地块Block_19,1114.3001457976927,12379.684969053844,0,0,[]
地块Block_20,1839.306516693309,9811.937670661275,0,0,[]
地块Block_21,689.0545276179282,5675.81132344041,0,0,[]
地块Block_22,655.2020518927818,5438.287365943692,0,0,[]
地块Block_23,1019.6499515487619,12589.144829314166,0,0,[]
