地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,36759.88492814375,46814.4146319379,0,0,[]
地块Block_1,1582.2626558531952,7025.299350907684,0,0,[]
地块Block_2,5174.5635476541665,781002.3585010916,0,0,[]
地块Block_3,1835.3297282420165,24060.291910225686,0,1,[]
地块Block_4,617.9013308237865,3710.0093638786016,0,0,[]
地块Block_5,2160.92868910571,22497.641539121778,0,0,[]
地块Block_6,684.6828999800919,3775.9999524035666,0,0,[]
地块Block_7,1783.5490248042051,17201.450519825674,0,0,[]
地块Block_8,2409.429432471549,286925.19779624627,2,2,[]
地块Block_9,757.9390962568575,4177.404188366389,0,0,[]
地块Block_10,117.7956580357784,827.0956988635974,0,0,[]
地块Block_11,751.7186062351452,2232.367181632174,0,0,[]
地块Block_12,1443.4949441918334,18957.595532995656,0,0,[]
地块Block_13,3208.5166732009484,371244.2235615094,0,0,[]
地块Block_14,1076.9444338797136,5716.757241103736,0,0,[]
地块Block_15,1114.300145797693,12379.68496905384,0,0,[]
