地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,81465.72127871847,154228.15707610172,2,2,[]
地块Block_1,1094.5665611999145,73416.01159134858,0,0,[]
地块Block_2,1179.3007909861133,84059.27208242068,3,3,[]
地块Block_3,1001.0422444144161,50044.00238184948,0,0,[]
地块Block_4,1260.6794305215249,91040.62373575287,1,1,[]
地块Block_5,1774.7069717731129,15596.688438244963,0,0,[]
地块Block_6,4731.410654623065,831790.2482391298,2,3,[]
地块Block_7,3899.4988795910426,514708.1006968096,2,50,[]
地块Block_8,720.1179202251992,6017.289371283962,0,0,[]
地块Block_9,932.7391350552657,48230.52452179362,0,0,[]
地块Block_10,810.9429118628939,39409.68643528177,0,0,[]
地块Block_11,529.6116218975751,3893.9567997317376,0,0,[]
地块Block_12,769.6590274762611,35106.255106947916,0,0,[]
地块Block_13,665.1934358563473,25626.36787259204,0,0,[]
地块Block_14,884.1983403143774,42766.33102156401,0,0,[]
地块Block_15,799.0050987358479,38150.84351422509,0,0,[]
地块Block_16,520.1904750356643,3613.110741284758,0,0,[]
地块Block_17,741.1983018570278,31759.1224507567,0,0,[]
地块Block_18,538.8472586236527,6562.252912847296,0,0,[]
地块Block_19,745.9632092156768,31400.72170210932,0,0,[]
地块Block_20,330.635164301521,3833.8250066616647,0,0,[]
地块Block_21,1501.2809226315983,33676.632165651274,0,0,[]
地块Block_22,520.820606003828,4696.201489066433,0,0,[]
地块Block_23,349.6019820568119,3470.60376118397,0,0,[]
地块Block_24,1158.723697975074,81867.68079683794,0,0,[]
地块Block_25,800.8369794135493,37932.29283407183,0,0,[]
地块Block_26,599.9343706235499,21791.295045636114,0,0,[]
地块Block_27,861.5607937555646,41833.01032396292,0,0,[]
地块Block_28,833.2806572565347,42013.3531326614,0,0,[]
地块Block_29,795.341008418184,37633.88543720085,0,0,[]
地块Block_30,513.9608664120103,3861.916617603063,0,0,[]
地块Block_31,713.371055771503,30058.93511659955,1,1,[]
地块Block_32,3562.5755947117345,33285.304394373736,0,1,[]
地块Block_33,1474.3307065451554,113952.44558551097,1,2,[]
地块Block_34,600.449436506527,2957.9611820319915,0,0,[]
地块Block_35,352.06003716851865,2006.9848409620263,0,0,[]
地块Block_36,2083.515005919711,245605.54959839355,0,0,[]
地块Block_37,146.45846328805044,920.2047044831048,0,0,[]
地块Block_38,203.2344803447413,2633.422749345724,0,0,[]
地块Block_39,997.4096372934922,51002.26915315037,0,0,[]
地块Block_40,1163.7017788634598,80948.3353842322,1,1,[]
地块Block_41,716.4028681463951,5523.011745033608,0,0,[]
地块Block_42,299.59433170164425,3071.8506165633885,0,0,[]
地块Block_43,260.6830034090559,1035.4253103695848,0,0,[]
地块Block_44,265.3864619153005,777.5182797475575,0,0,[]
地块Block_45,1193.3269828326293,87663.1017112042,0,0,[]
地块Block_46,1320.2170646686695,5095.019695067185,0,0,[]
地块Block_47,523.6669676301001,2931.612267377997,0,0,[]
地块Block_48,1717.5181313859046,8122.4279289863025,1,1,[]
