地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,138558.18808396554,175243.6863401584,14,15,[]
地块Block_1,3366.4062763498805,363670.20603162976,8,31,[]
地块Block_2,2746.8154811492136,476355.3845118314,10,148,[]
地块Block_3,1695.7107167593458,67488.38946107253,9,29,[]
地块Block_4,891.9288771728392,39553.84855605029,2,5,[]
地块Block_5,372.74324290902547,1911.8908450543208,0,1,[]
地块Block_6,689.5021531521171,28806.026103391887,5,9,[]
地块Block_7,961.7942482980909,53137.0141679077,3,25,[]
地块Block_8,919.6087003757392,40029.64597871865,2,18,[]
地块Block_9,838.8306496733869,44493.19748349967,2,5,[]
地块Block_10,1468.33414771787,116994.41046430134,4,44,[]
地块Block_11,2003.8868208940146,241467.18262768516,3,59,[]
地块Block_12,2383.212421502107,200797.58220037364,23,39,[]
地块Block_13,1964.5338343775757,244023.30011490098,19,51,[]
地块Block_14,921.6694975776434,3952.449364498191,0,2,[]
地块Block_15,1885.9500344838732,218276.80226708404,50,68,[]
地块Block_16,761.8410844575805,35792.806392537444,2,6,[]
地块Block_17,614.0238560597925,21607.580222218967,1,4,[]
地块Block_18,1408.9390520032434,116115.7215196274,0,35,[]
地块Block_19,1044.4349820909142,63093.75954246691,0,28,[]
地块Block_20,775.991850791767,32963.00006792849,2,10,[]
地块Block_21,935.0499232461605,55364.65057234312,4,17,[]
地块Block_22,595.4031439174195,21828.947371472594,2,4,[]
地块Block_23,617.8095129724156,23804.378636960286,0,6,[]
地块Block_24,479.63210778363793,13087.675452347024,1,7,[]
地块Block_25,718.5192004023723,16669.385410106017,4,5,[]
地块Block_26,507.02101905260014,15856.200356660984,3,9,[]
地块Block_27,283.8073096881509,4976.122367999626,2,4,[]
地块Block_28,329.6159760284505,6652.256022523257,0,1,[]
地块Block_29,397.69045817254215,9564.362110116994,1,3,[]
地块Block_30,823.2117072633987,37934.87452451781,3,7,[]
地块Block_31,1114.008343217873,74495.8860749136,7,14,[]
地块Block_32,269.389182381703,1048.5377241275526,0,0,[]
地块Block_33,2025.2114663527611,156717.96266003928,18,34,[]
地块Block_34,516.7633475842973,15498.738759993093,0,3,[]
地块Block_35,1204.2001624288478,86468.03756113847,2,13,[]
地块Block_36,593.2303961279143,21732.63152761694,2,11,[]
