地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,70921.41874653968,91270.11484486789,5,5,[]
地块Block_1,1966.3640445572753,239615.36124665686,1,1,[]
地块Block_2,1840.8250760156884,207137.0577928149,0,0,[]
地块Block_3,1949.9010109559213,237000.02762860333,0,0,[]
地块Block_4,5332.501413101934,1011951.7603181009,2,11,[]
地块Block_5,3036.3129377255223,31961.945561171546,0,0,[]
地块Block_6,3845.083684707622,440764.68102338415,0,21,[]
地块Block_7,2228.194464751129,300672.9905598601,1,60,[]
地块Block_8,878.7661780156641,47478.27908887902,1,1,[]
地块Block_9,2217.244921549685,20805.1328592869,0,0,[]
地块Block_10,1910.6067645977555,224474.7007638199,0,0,[]
地块Block_11,2114.9397371903333,275525.93149792106,0,35,[]
地块Block_12,3014.5690295107156,538226.7910511044,0,100,[]
地块Block_13,1937.7309709809604,233837.4681457866,6,10,[]
地块Block_14,1801.0787251573745,201375.84157429368,2,6,[]
地块Block_15,2508.1142529296717,270939.7173463527,6,22,[]
地块Block_16,511.06469354443465,11681.524636355578,3,5,[]
地块Block_17,1053.5573345543141,10014.849995556633,0,0,[]
地块Block_18,314.18046933072554,2789.8103944005356,0,0,[]
地块Block_19,691.8488795454595,6446.013400256626,0,0,[]
地块Block_20,2699.6700922631558,239313.45731215604,0,6,[]
地块Block_21,2445.814437956242,238102.80782556796,0,22,[]
地块Block_22,815.2964009384725,5180.357691650007,0,0,[]
地块Block_23,830.1414477011747,6973.33169084166,0,0,[]
地块Block_24,1121.893513762827,64697.81255825383,0,0,[]
地块Block_25,2007.5389807667084,103565.48049832834,0,6,[]
地块Block_26,1283.1584076168747,14586.436947544456,0,0,[]
地块Block_27,1136.8520640987795,83093.80953201295,0,1,[]
