地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,153424.55778483395,197731.9469652832,2,2,[]
地块Block_1,1317.8470285056874,108011.20585720307,2,2,[]
地块Block_2,695.2691574232009,3341.8406939058113,0,0,[]
地块Block_3,4789.5976216168665,320631.4295380594,0,1,[]
地块Block_4,579.2697707468614,20264.906646113068,0,1,[]
地块Block_5,521.4193632368981,12008.466886201226,0,0,[]
地块Block_6,445.4302271071044,4123.219652840592,0,0,[]
地块Block_7,2871.099370348887,175307.34082452612,1,2,[]
地块Block_8,1936.9522174991803,10165.325146532625,0,1,[]
地块Block_9,1962.5902909139052,21785.075596930714,0,1,[]
地块Block_10,1934.8550613565012,15835.497813793016,0,0,[]
地块Block_11,312.2676865896102,5919.336987061023,0,0,[]
地块Block_12,295.31201922825954,5135.346186831805,0,1,[]
地块Block_13,1720.7722364314104,54402.707918521446,5,15,[]
地块Block_14,7163.321707937271,194344.96539627467,2,60,[]
地块Block_15,502.3250135807447,9168.975348834365,0,3,[]
地块Block_16,421.0280715445777,2966.477938020772,0,0,[]
地块Block_17,456.160484707388,6362.1724524018,0,2,[]
地块Block_18,4515.258233315622,85899.15153792768,0,15,[]
地块Block_19,792.0663763019112,19963.424170127575,0,4,[]
地块Block_20,3686.461020027129,159045.06314399114,1,18,[]
地块Block_21,1278.4696406192309,8601.944718219152,0,0,[]
地块Block_22,753.820054055128,4906.231675507195,0,0,[]
地块Block_23,1934.4789392476932,152989.46930808158,0,5,[]
地块Block_24,1578.614496679532,90108.7371158852,0,3,[]
地块Block_25,375.77943293914376,3125.383467222897,0,0,[]
地块Block_26,1232.598296646456,78594.85463009974,5,10,[]
地块Block_27,714.2590076442581,17657.897430683042,1,1,[]
地块Block_28,506.422519962885,13549.980919596008,0,1,[]
地块Block_29,1199.4597837165393,22298.76802321825,0,8,[]
地块Block_30,463.66070646699086,2820.5063670300865,0,0,[]
地块Block_31,2699.0955248333657,330825.20422001753,0,0,[]
地块Block_32,511.1370354917702,2299.154063202195,0,0,[]
地块Block_33,168.59768387567559,1781.116456175019,0,0,[]
地块Block_34,493.22650601982025,2636.296750614982,0,0,[]
地块Block_35,1385.3223210611668,119063.86196753872,0,0,[]
地块Block_36,1737.5086887622044,182919.2671935902,1,1,[]
地块Block_37,1709.4122787882825,173622.61223510132,2,3,[]
地块Block_38,682.6118429402233,4826.1554698243235,0,0,[]
地块Block_39,686.4391120910094,2507.6611820338976,0,0,[]
地块Block_40,1777.8373730982025,125418.07861322635,3,4,[]
地块Block_41,809.7301840036353,41910.55538740413,0,0,[]
地块Block_42,913.3611744706784,49408.66312682313,1,1,[]
地块Block_43,867.3758422408685,33758.802529663706,0,0,[]
地块Block_44,1435.2067772815383,110060.73924151082,0,0,[]
地块Block_45,1356.9345166549,100028.10718135283,0,0,[]
地块Block_46,1444.374473363464,86264.09837411929,0,0,[]
地块Block_47,1229.406107381757,91285.57332388742,0,0,[]
地块Block_48,1672.4440691031093,170547.649257574,0,0,[]
地块Block_49,639.6559657858435,3320.5479618909685,0,0,[]
地块Block_50,1414.059705786237,95083.03776356597,1,1,[]
地块Block_51,372.6938975143446,1828.6257243384566,0,0,[]
地块Block_52,960.9683212035214,5005.044782057649,0,0,[]
地块Block_53,510.90132358278464,1726.2495360945404,0,0,[]
地块Block_54,283.7266665111338,1303.206688518393,0,0,[]
地块Block_55,861.897090401682,3409.361306275984,0,0,[]
地块Block_56,700.1936875738827,22313.10197170882,0,8,[]
地块Block_57,448.2363875223655,5942.434879921091,0,0,[]
地块Block_58,901.7755479168895,19553.87739828513,0,6,[]
地块Block_59,709.6988467033351,25513.506891772755,0,1,[]
地块Block_60,519.7513309323399,17350.112711892318,0,1,[]
地块Block_61,473.0865675104254,10280.000490842142,0,0,[]
地块Block_62,403.30584656206713,3667.8840957422567,0,0,[]
地块Block_63,303.9205858246821,5178.816329737696,0,0,[]
地块Block_64,112.56844130166829,717.0588356538747,0,0,[]
地块Block_65,729.9398065177952,32825.29249430906,0,1,[]
地块Block_66,953.2328622464545,5257.297686470789,0,0,[]
地块Block_67,161.33046558188875,675.7687818495141,0,0,[]
地块Block_68,987.1295413180527,28717.00081651754,0,10,[]
地块Block_69,339.02843796436775,5452.32017401099,0,2,[]
地块Block_70,707.2001369314905,12161.513382162471,0,4,[]
地块Block_71,854.8989409176837,4085.2417491578126,0,0,[]
地块Block_72,761.7714883463218,5556.072049248232,0,0,[]
地块Block_73,1665.9393421226205,165074.37709046915,0,15,[]
地块Block_74,577.9111291602351,9061.754163294312,0,3,[]
地块Block_75,559.7683416783971,9071.435526405785,0,2,[]
地块Block_76,580.792008787735,10441.674367210815,0,3,[]
地块Block_77,282.2405136297823,1357.8801558387117,0,0,[]
地块Block_78,438.7537428047883,11252.820027825597,0,4,[]
地块Block_79,867.3428504318431,21202.384237297818,0,9,[]
地块Block_80,451.69186263795814,9860.664318248479,0,2,[]
地块Block_81,441.0548665292813,7256.358056039599,0,2,[]
地块Block_82,2243.286302107145,45900.27031425776,0,11,[]
地块Block_83,566.5965666979063,10651.609558817338,0,4,[]
地块Block_84,760.0815505463715,33343.81767171274,0,1,[]
地块Block_85,198.69219828492734,908.9242148423859,0,0,[]
地块Block_86,324.78683360312954,2161.9954099843326,0,0,[]
地块Block_87,624.5123850929776,5104.224455293575,0,0,[]
地块Block_88,147.59402888797,1264.967069816487,0,0,[]
地块Block_89,4435.834701660327,229285.13146051328,1,4,[]
地块Block_90,627.7178718203556,24400.018918583188,0,1,[]
地块Block_91,1050.2873932486825,34878.62435065058,0,1,[]
地块Block_92,839.1329118886038,45348.82035506143,0,2,[]
地块Block_93,1002.2593563591678,45061.50877964406,0,0,[]
地块Block_94,2004.5061405964232,248275.41329324315,1,5,[]
地块Block_95,1061.5231327165984,7496.549804106918,0,0,[]
地块Block_96,255.39329620809409,2089.1563628493072,1,1,[]
地块Block_97,422.11195913966077,10331.690125206347,1,5,[]
地块Block_98,256.79608984420213,975.8464512939925,0,0,[]
地块Block_99,1419.5811162393068,9963.291632801953,0,0,[]
地块Block_100,935.8631508435042,25091.835397910232,0,0,[]
地块Block_101,1057.2604577296509,7924.462876328513,0,0,[]
地块Block_102,2039.780880912224,246468.53358209124,1,1,[]
地块Block_103,2116.8540985678364,277631.22701594996,3,11,[]
地块Block_104,992.1986479278532,5803.9531211222165,0,0,[]
地块Block_105,1155.7861960597288,5657.172255421508,0,0,[]
地块Block_106,1185.3473251545402,14538.0678066806,0,0,[]
地块Block_107,1164.6310177856985,9543.24961960469,0,0,[]
地块Block_108,515.8282356038393,12132.707732426932,0,1,[]
地块Block_109,892.2799771989062,5081.131819600225,0,0,[]
地块Block_110,1735.64615710446,177137.5266473799,2,8,[]
地块Block_111,937.9440516513062,6515.286190199411,0,0,[]
地块Block_112,607.8426536302094,3293.6187137892693,0,0,[]
地块Block_113,1517.7085217054164,86608.78354653376,0,0,[]
地块Block_114,867.0613235300024,4803.777363905792,0,0,[]
地块Block_115,1824.0193137840183,204596.74206130632,0,2,[]
地块Block_116,351.33318738061297,1850.4088228087094,0,0,[]
地块Block_117,1530.4973162915883,95710.71639489949,1,1,[]
地块Block_118,758.9455227351167,4144.108096669861,0,0,[]
地块Block_119,626.2895516768538,24307.979628218436,0,1,[]
