地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,91771.87605916486,117460.53929884754,2,2,[]
地块Block_1,2428.091479906252,364530.46268685925,2,4,[]
地块Block_2,1390.537257223463,10329.802123468211,0,1,[]
地块Block_3,850.2891210976373,46018.58904761766,0,0,[]
地块Block_4,234.56343026203552,1477.7341915705683,0,0,[]
地块Block_5,1716.9240875622065,123401.9763524404,1,1,[]
地块Block_6,1268.5699172787538,4204.62781778031,0,0,[]
地块Block_7,1618.8334585128794,120503.89433493628,0,0,[]
地块Block_8,1926.093617824963,162251.18336743957,2,3,[]
地块Block_9,1520.4521312804518,12369.036024068711,0,0,[]
地块Block_10,2251.5017995536273,16802.852008406586,0,0,[]
地块Block_11,2709.4752735322268,21721.622311195275,0,0,[]
地块Block_12,267.3174884358524,1403.348261831997,0,0,[]
地块Block_13,1966.4126950186771,116173.19827054431,1,1,[]
地块Block_14,4876.009124668105,480244.5118201021,5,8,[]
地块Block_15,1726.7215134945598,84499.52283192094,2,3,[]
地块Block_16,1114.9966782031254,66883.3207386549,0,0,[]
地块Block_17,397.42982612496996,2700.861589084894,0,0,[]
地块Block_18,324.13525926602813,2078.847052359843,0,0,[]
地块Block_19,318.58729766612385,2113.5331087604127,0,0,[]
地块Block_20,558.7558440828822,4246.915752691113,0,0,[]
地块Block_21,3065.503725603323,24606.013697945153,0,0,[]
地块Block_22,1321.9618985209736,8467.760223933778,0,2,[]
地块Block_23,1999.9235309669696,128300.3001962118,2,3,[]
地块Block_24,1068.3187479902172,8966.54301040669,0,0,[]
地块Block_25,1176.8348961820582,9295.881633224184,0,0,[]
地块Block_26,457.77259987788517,1923.4270473276197,0,0,[]
地块Block_27,718.7478076593061,30002.384929338783,0,0,[]
地块Block_28,757.4244714039982,2915.0216312946645,0,0,[]
地块Block_29,3037.4716022706416,573974.46003867,1,1,[]
地块Block_30,2014.2017136572085,196174.02436848858,2,3,[]
地块Block_31,875.6903487058975,7065.005897005238,0,1,[]
地块Block_32,2048.354665301519,215259.21562658442,0,0,[]
地块Block_33,1328.945773576984,99045.1169700032,0,0,[]
地块Block_34,727.7136533798141,2690.373446002978,0,0,[]
地块Block_35,1668.5074208909698,6373.448499530219,0,0,[]
地块Block_36,1175.1497960586998,98236.74364888053,1,1,[]
地块Block_37,160.04418097607353,1263.3912712185904,0,0,[]
地块Block_38,516.7977252082596,1941.9996098997485,0,0,[]
地块Block_39,446.23991861062143,1844.2043149549147,0,0,[]
地块Block_40,947.8978722211422,53857.47145205252,0,0,[]
地块Block_41,386.057270492119,1263.1079597986818,0,0,[]
地块Block_42,1503.805528580613,5265.8214317581105,0,0,[]
地块Block_43,2151.404928108948,287753.3493610664,0,0,[]
地块Block_44,1168.3929795410609,8849.261026988122,0,0,[]
地块Block_45,570.7311685549839,2535.3063653803183,0,0,[]
地块Block_46,1466.8972624059852,137208.99823572556,0,2,[]
地块Block_47,819.3242943349597,3144.7122132862123,0,0,[]
地块Block_48,681.0861489123563,5550.887924974542,0,0,[]
地块Block_49,771.3406645384423,6786.935475537978,0,0,[]
地块Block_50,1033.5318939532594,3696.159651040144,0,0,[]
地块Block_51,1656.1043495636204,161066.51640599567,0,0,[]
地块Block_52,634.1190595469084,2606.401592171042,0,0,[]
地块Block_53,1056.6324450468956,6465.796999438364,0,0,[]
地块Block_54,691.7310497729776,6175.748518929128,0,0,[]
地块Block_55,1147.86957519371,3780.6493931707814,0,0,[]
