地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,67092.06047850117,85227.61938815626,1,2,[]
地块Block_1,1349.498424147753,103577.83410147358,1,3,[]
地块Block_2,1506.700245587756,142914.8130144248,7,14,[]
地块Block_3,2320.363671650541,31454.878883293528,0,0,[]
地块Block_4,1858.1565854983357,224375.51294203656,2,3,[]
地块Block_5,982.3616119268964,9350.17452413794,0,0,[]
地块Block_6,131.9619736231753,813.2504160770582,0,0,[]
地块Block_7,1219.9632204986885,93075.15317012997,0,0,[]
地块Block_8,1388.1605267308291,117378.82395572586,0,0,[]
地块Block_9,564.8459453783412,4249.356268194761,0,0,[]
地块Block_10,399.8055698996045,3038.6877155311327,0,0,[]
地块Block_11,297.13959977880785,2267.9162118840964,0,0,[]
地块Block_12,1783.8625856079598,194676.23924457887,3,4,[]
地块Block_13,1099.864309743924,72123.48995561457,0,0,[]
地块Block_14,2375.273884963106,219068.25743087308,2,3,[]
地块Block_15,1113.8926230056677,74330.3374904292,0,0,[]
地块Block_16,586.6615871840105,6971.984531130064,0,0,[]
地块Block_17,830.9177813689215,7720.719465483105,0,0,[]
地块Block_18,464.18512149879297,4178.388942755,0,0,[]
地块Block_19,292.75006230227586,2236.18249021763,0,0,[]
地块Block_20,1700.5711902129576,139171.1295545734,0,2,[]
地块Block_21,1067.3432698746024,8156.130245880049,0,0,[]
地块Block_22,2375.1394853361535,19636.218678580706,0,1,[]
地块Block_23,2931.4010436158146,184976.04586332635,6,14,[]
地块Block_24,1972.2315922068174,24788.187047572676,0,0,[]
地块Block_25,886.883765347222,47274.704561575054,0,1,[]
地块Block_26,608.5256810123635,7253.630894017472,0,0,[]
地块Block_27,1506.8464705058482,13290.074485506419,0,1,[]
地块Block_28,1386.1392464514493,120303.05882882368,1,1,[]
地块Block_29,408.5057710367977,10429.152457134041,0,1,[]
地块Block_30,267.0636515646622,3221.5986136775364,0,0,[]
地块Block_31,2301.997018255097,194327.41953639546,0,3,[]
地块Block_32,988.1394954344594,59592.14598097092,0,0,[]
地块Block_33,1385.3473354895518,124879.40723893238,2,2,[]
地块Block_34,520.1590874120667,21377.988486742826,0,1,[]
地块Block_35,867.0511632617691,1177.077152879008,0,0,[]
