地块名称,地块周长,地块面积,POI总数,建筑总数,包含建筑ID
地块Block_0,129669.50229967722,163461.99280134295,11,12,[]
地块Block_1,1408.9390520029988,116115.72151947311,0,35,[]
地块Block_2,1044.4349820908242,63093.75954246688,0,28,[]
地块Block_3,1321.2575964768494,88527.33980521307,4,24,[]
地块Block_4,1476.0799656507334,68419.25931005576,2,22,[]
地块Block_5,2321.0939331492064,289153.32388470974,6,90,[]
地块Block_6,1972.6515102234105,192538.1748372889,3,51,[]
地块Block_7,4096.655748575153,676463.8801429012,44,255,[]
地块Block_8,2622.503110914697,153742.4855824895,0,25,[]
地块Block_9,889.4141675599031,49265.74213270014,0,10,[]
地块Block_10,607.518718137189,21818.828595431358,0,4,[]
地块Block_11,752.4388068528108,35491.54428596191,1,5,[]
地块Block_12,637.5100713456366,21940.41276320571,0,0,[]
地块Block_13,2618.2289808563464,189133.36522790685,2,25,[]
地块Block_14,3382.5084839347974,539619.7975660731,15,122,[]
地块Block_15,3123.281206223958,333377.43334148155,6,46,[]
地块Block_16,1883.9709778650797,138246.65551405028,4,31,[]
地块Block_17,1174.9240217153117,66248.52410772681,0,0,[]
地块Block_18,928.481109243567,52183.982968783144,2,2,[]
地块Block_19,1065.558151313232,36808.751416589155,1,1,[]
地块Block_20,268.992210384843,3479.302238696413,0,0,[]
地块Block_21,2145.648635179824,112702.11652767028,0,0,[]
地块Block_22,1540.6026634227142,50171.99041947771,0,0,[]
地块Block_23,973.2151123864962,7228.271772607868,0,0,[]
地块Block_24,443.8340373590371,12717.7445620832,0,4,[]
地块Block_25,606.6106207781739,19998.25902765105,0,0,[]
地块Block_26,826.1270338206971,35789.88368984107,0,8,[]
地块Block_27,633.8925218552439,18507.176849997515,0,0,[]
地块Block_28,491.5593676903448,14647.022141966227,0,0,[]
地块Block_29,192.60104836828089,1425.6845178219828,0,0,[]
地块Block_30,789.2105450340814,36680.75313751931,1,7,[]
地块Block_31,566.716893100498,19422.748840155087,0,7,[]
地块Block_32,367.66870443897164,7717.66342677854,1,1,[]
地块Block_33,569.3804887673815,20211.776723404808,1,1,[]
地块Block_34,1132.2977051150815,71104.80136663228,2,6,[]
地块Block_35,1532.0032399056627,150173.65321689632,2,34,[]
地块Block_36,899.6926054070105,49155.92997100272,4,4,[]
地块Block_37,650.0124240173299,25672.82944895793,1,2,[]
地块Block_38,775.991852146541,32963.00028970206,2,10,[]
地块Block_39,507.02101905260014,15856.200356660984,3,9,[]
地块Block_40,479.63210778363793,13087.675452347024,1,7,[]
地块Block_41,884.2684417917795,43755.70990484273,3,14,[]
地块Block_42,1113.3145480914197,75736.45527211973,3,16,[]
地块Block_43,718.5192004037362,16669.385422850042,4,5,[]
地块Block_44,361.7910352616351,3215.4781140091163,0,1,[]
地块Block_45,541.2956232633414,2213.64023432718,0,0,[]
地块Block_46,709.8606816020589,27892.284556647704,0,6,[]
地块Block_47,595.4031439174195,21828.9473714726,2,4,[]
地块Block_48,617.8095129724155,23804.37863696029,0,6,[]
地块Block_49,935.0499232461605,55364.65057234312,4,17,[]
地块Block_50,854.301522809013,45397.941589428585,0,8,[]
地块Block_51,659.9427296956419,23018.46759118065,3,5,[]
地块Block_52,389.9154025185445,8990.27211778598,0,8,[]
地块Block_53,838.830649673142,44493.19748349966,2,5,[]
地块Block_54,1381.1619902744646,82594.17947853635,13,48,[]
地块Block_55,1468.3341477180866,116994.41047487024,4,44,[]
地块Block_56,1091.2052737353854,65887.26843767126,2,33,[]
地块Block_57,1061.319217292566,66787.70163047797,1,12,[]
地块Block_58,1554.0847813834955,147606.01214677843,4,49,[]
地块Block_59,5299.726018241365,1174803.0274810025,18,241,[]
地块Block_60,745.6494784421004,4036.3312655689597,0,0,[]
地块Block_61,1795.6978046954277,183470.08072146188,4,58,[]
地块Block_62,2003.8868208933031,241467.18262787248,3,59,[]
地块Block_63,1462.5859291920938,128773.15172163134,1,38,[]
地块Block_64,991.2936682770032,46225.949339346305,0,2,[]
地块Block_65,1088.603430094275,69400.60494649096,3,33,[]
地块Block_66,614.0238560573259,21607.580221987817,1,4,[]
地块Block_67,808.3457226939279,33608.079028580054,1,3,[]
地块Block_68,697.3232460868138,28550.65606703627,0,11,[]
地块Block_69,685.5843718753289,27798.69228145465,3,9,[]
地块Block_70,646.984560755801,22191.19799964653,1,7,[]
地块Block_71,1045.6893602729206,70380.01203970032,1,13,[]
地块Block_72,961.794247536386,53137.013387524574,3,25,[]
地块Block_73,370.87765961018175,6216.385276041631,0,3,[]
地块Block_74,453.1617207781804,11900.02891956075,2,6,[]
地块Block_75,570.1043864989568,19207.81970135044,4,12,[]
地块Block_76,754.1535294116314,26644.35273521261,0,11,[]
地块Block_77,1836.4719906393711,99058.6744213689,0,34,[]
地块Block_78,1101.4491497489332,63136.89282531855,1,15,[]
地块Block_79,919.608700375631,40029.64597861358,2,18,[]
地块Block_80,1140.1853548368288,80600.6896113969,1,34,[]
地块Block_81,955.3784003235579,30481.96160410626,1,11,[]
地块Block_82,861.8981525063342,41407.82089228427,1,17,[]
地块Block_83,702.087126691385,18867.006668618327,0,7,[]
地块Block_84,492.607275684053,14715.26985860519,5,10,[]
地块Block_85,3406.635362615583,66239.21837766307,0,0,[]
地块Block_86,854.29410546363,47642.29925350803,1,9,[]
地块Block_87,198.49213345222788,1359.3710014890983,0,0,[]
地块Block_88,832.1817936035065,42407.66885167627,4,5,[]
地块Block_89,395.1802944291634,7805.774792024755,0,5,[]
地块Block_90,535.4708495441167,17293.509116345864,1,9,[]
